grade_datetime,Firm,ToGrade,priorPriceTarget,prev_feed_target,currentPriceTarget,chain_break
2020-12-18 13:50:49,Susquehanna,Positive,0.0,,180.0,False
2021-01-04 10:07:32,Needham,Buy,0.0,,200.0,False
2021-01-04 10:34:44,Jefferies,Buy,0.0,,170.0,False
2021-01-04 10:36:04,Baird,Outperform,0.0,,175.0,False
2021-01-04 11:10:41,Morgan Stanley,Equal-Weight,0.0,,140.0,False
2021-01-04 11:12:21,Wells Fargo,Equal-Weight,0.0,,160.0,False
2021-01-04 11:13:24,Goldman Sachs,Neutral,0.0,,143.0,False
2021-01-04 11:14:44,Stifel,Hold,0.0,,130.0,False
2021-01-04 11:16:22,JMP Securities,Market Outperform,0.0,,180.0,False
2021-01-04 12:57:28,Loop Capital,Hold,0.0,,150.0,False
2021-01-04 13:37:46,DA Davidson,Buy,0.0,,172.0,False
2021-01-04 13:39:12,Credit Suisse,Neutral,0.0,,156.0,False
2021-01-04 14:14:45,B of A Securities,Neutral,0.0,,158.0,False
2021-01-04 16:28:49,Canaccord Genuity,Buy,0.0,,175.0,False
2021-01-15 10:41:37,Truist Securities,Hold,0.0,,154.0,False
2021-02-22 12:35:57,Loop Capital,Buy,150.0,150.0,240.0,False
2021-02-26 12:20:26,Needham,Buy,200.0,200.0,225.0,False
2021-02-26 13:37:40,Credit Suisse,Neutral,156.0,156.0,162.0,False
2021-02-26 14:45:09,DA Davidson,Buy,172.0,172.0,210.0,False
2021-02-26 16:21:22,Piper Sandler,Overweight,182.0,,198.0,False
2021-02-26 16:38:11,Canaccord Genuity,Buy,175.0,175.0,220.0,False
2021-02-26 16:45:31,Mizuho,Neutral,150.0,,176.0,False
2021-03-01 13:31:23,Morgan Stanley,Equal-Weight,140.0,140.0,160.0,False
2021-03-03 14:24:37,Truist Securities,Hold,154.0,154.0,180.0,False
2021-04-01 16:33:22,Wolfe Research,Peer Perform,0.0,,180.0,False
2021-04-06 10:51:22,Evercore ISI Group,Outperform,0.0,,245.0,False
2021-04-27 10:06:13,Needham,Buy,0.0,225.0,210.0,False
2021-05-14 10:24:51,Needham,Buy,210.0,210.0,194.0,False
2021-05-14 11:20:10,Wells Fargo,Overweight,0.0,160.0,200.0,False
2021-05-14 13:04:29,Truist Securities,Hold,180.0,180.0,160.0,False
2021-05-14 13:43:32,B of A Securities,Neutral,190.0,158.0,180.0,True
2021-05-14 13:46:59,Wedbush,Neutral,175.0,,150.0,False
2021-05-14 13:56:56,Credit Suisse,Neutral,162.0,162.0,164.0,False
2021-05-14 13:59:19,Baird,Outperform,210.0,175.0,200.0,True
2021-05-14 14:16:45,Mizuho,Neutral,176.0,176.0,165.0,False
2021-05-14 14:17:56,Barclays,Equal-Weight,180.0,,140.0,False
2021-05-21 11:36:05,Morgan Stanley,Equal-Weight,160.0,160.0,125.0,False
2021-05-27 10:40:23,RBC Capital,Outperform,0.0,,170.0,False
2021-06-09 11:56:28,Loop Capital,Buy,240.0,240.0,195.0,False
2021-07-13 12:56:55,Gordon Haskett,Buy,0.0,,172.0,False
2021-08-03 08:34:18,Keybanc,Overweight,0.0,,180.0,False
2021-08-13 10:19:32,Needham,Buy,194.0,194.0,200.0,False
2021-08-13 10:47:22,JMP Securities,Outperform,190.0,180.0,180.0,True
2021-08-13 11:35:07,Credit Suisse,Neutral,164.0,164.0,167.0,False
2021-08-13 11:50:40,Wells Fargo,Overweight,200.0,200.0,210.0,False
2021-08-17 10:59:55,Citigroup,Neutral,149.0,,152.0,False
2021-08-17 12:06:12,Morgan Stanley,Equal-Weight,125.0,125.0,140.0,False
2021-09-13 10:08:26,Goldman Sachs,Sell,0.0,143.0,132.0,False
2021-09-27 08:57:24,JP Morgan,Neutral,0.0,,170.0,False
2021-10-01 13:23:34,Loop Capital,Buy,195.0,195.0,205.0,False
2021-10-25 11:40:05,JMP Securities,Market Outperform,180.0,180.0,190.0,False
2021-11-05 11:17:01,Needham,Buy,200.0,200.0,210.0,False
2021-11-05 11:19:19,Credit Suisse,Neutral,167.0,167.0,179.0,False
2021-11-05 11:56:35,RBC Capital,Outperform,170.0,170.0,195.0,False
2021-11-05 13:10:05,Mizuho,Neutral,165.0,165.0,190.0,False
2021-11-05 13:11:20,JMP Securities,Market Outperform,190.0,190.0,205.0,False
2021-11-08 13:21:43,Wells Fargo,Overweight,210.0,210.0,225.0,False
2021-11-08 14:32:27,Truist Securities,Hold,160.0,160.0,180.0,False
2021-11-17 13:12:45,Morgan Stanley,Equal-Weight,140.0,140.0,190.0,False
2021-12-16 11:10:18,RBC Capital,Sector Perform,195.0,195.0,175.0,False
2022-01-10 15:17:39,Piper Sandler,Neutral,215.0,198.0,169.0,True
2022-01-19 13:42:04,Morgan Stanley,Equal-Weight,190.0,190.0,160.0,False
2022-02-16 09:30:18,Keybanc,Overweight,194.0,180.0,210.0,True
2022-02-16 11:14:42,Piper Sandler,Neutral,169.0,169.0,194.0,False
2022-02-16 11:20:02,Needham,Buy,210.0,210.0,220.0,False
2022-02-16 12:45:37,Mizuho,Neutral,190.0,190.0,205.0,False
2022-02-16 12:56:53,Morgan Stanley,Equal-Weight,160.0,160.0,175.0,False
2022-02-16 13:08:14,Credit Suisse,Neutral,179.0,179.0,185.0,False
2022-02-16 13:41:05,Wolfe Research,Peer Perform,150.0,180.0,170.0,True
2022-02-16 13:43:00,Baird,Outperform,200.0,200.0,210.0,False
2022-02-16 15:20:05,DA Davidson,Buy,230.0,210.0,235.0,True
2022-02-16 15:37:37,Truist Securities,Hold,180.0,180.0,190.0,False
2022-02-17 12:02:01,Citigroup,Neutral,205.0,152.0,214.0,True
2022-03-02 15:25:23,Tigress Financial,Buy,206.0,,214.0,False
2022-03-11 09:55:49,Deutsche Bank,Hold,0.0,,150.0,False
2022-04-20 08:47:56,Citigroup,Buy,214.0,214.0,200.0,False
2022-05-03 08:29:16,Keybanc,Overweight,210.0,210.0,195.0,False
2022-05-04 10:14:00,Piper Sandler,Neutral,194.0,194.0,174.0,False
2022-05-04 10:48:50,Barclays,Equal-Weight,185.0,140.0,170.0,True
2022-05-04 11:29:02,UBS,Neutral,178.0,,185.0,False
2022-05-04 11:37:11,Stifel,Hold,205.0,130.0,180.0,True
2022-05-04 11:39:24,Credit Suisse,Neutral,185.0,185.0,190.0,False
2022-05-04 13:23:42,Mizuho,Neutral,205.0,205.0,175.0,False
2022-05-05 09:55:43,DA Davidson,Buy,235.0,235.0,210.0,False
2022-05-05 11:14:26,Susquehanna,Positive,235.0,180.0,190.0,True
2022-05-05 11:47:28,Morgan Stanley,Equal-Weight,175.0,175.0,145.0,False
2022-06-03 11:48:10,Truist Securities,Hold,190.0,190.0,160.0,False
2022-06-10 11:39:25,Goldman Sachs,Sell,150.0,132.0,95.0,True
2022-06-23 12:47:21,Morgan Stanley,Equal-Weight,145.0,145.0,100.0,False
2022-06-29 14:00:12,JP Morgan,Neutral,185.0,170.0,110.0,True
2022-07-07 14:13:27,Evercore ISI Group,Outperform,205.0,245.0,150.0,True
2022-07-14 11:44:17,Truist Securities,Hold,160.0,160.0,120.0,False
2022-07-14 14:29:47,Citigroup,Buy,200.0,200.0,160.0,False
2022-08-01 08:28:47,Keybanc,Overweight,195.0,195.0,145.0,False
2022-08-01 12:14:33,Deutsche Bank,Hold,155.0,150.0,120.0,True
2022-08-01 13:24:09,UBS,Neutral,185.0,185.0,120.0,False
2022-08-03 10:32:26,Needham,Buy,220.0,220.0,150.0,False
2022-08-03 10:44:09,Piper Sandler,Neutral,174.0,174.0,121.0,False
2022-08-03 11:02:09,Citigroup,Buy,160.0,160.0,140.0,False
2022-08-03 12:11:48,Credit Suisse,Neutral,190.0,190.0,165.0,False
2022-08-03 12:21:37,Baird,Outperform,155.0,210.0,140.0,True
2022-08-03 12:24:06,Mizuho,Neutral,175.0,175.0,135.0,False
2022-08-03 12:26:22,Deutsche Bank,Hold,120.0,120.0,110.0,False
2022-08-03 12:28:19,Canaccord Genuity,Buy,200.0,220.0,175.0,True
2022-08-03 12:30:46,DA Davidson,Buy,210.0,210.0,140.0,False
2022-08-03 13:16:08,RBC Capital,Sector Perform,175.0,175.0,115.0,False
2022-08-03 14:22:18,Susquehanna,Positive,190.0,190.0,150.0,False
2022-08-23 11:28:44,Morgan Stanley,Equal-Weight,100.0,100.0,125.0,False
2022-09-23 12:21:05,Tigress Financial,Buy,214.0,214.0,160.0,False
2022-10-05 13:29:02,Bernstein,Outperform,0.0,,143.0,False
2022-10-06 13:03:38,Jefferies,Buy,140.0,170.0,138.0,True
2022-10-24 12:55:55,Morgan Stanley,Equal-Weight,125.0,125.0,105.0,False
2022-11-02 08:28:05,Keybanc,Overweight,145.0,145.0,142.0,False
2022-11-02 10:29:43,Piper Sandler,Neutral,121.0,121.0,110.0,False
2022-11-02 10:32:32,Goldman Sachs,Sell,100.0,95.0,98.0,True
2022-11-02 11:04:18,Credit Suisse,Neutral,165.0,165.0,154.0,False
2022-11-02 11:07:34,UBS,Neutral,120.0,120.0,112.0,False
2022-11-02 11:09:01,Baird,Outperform,140.0,140.0,120.0,False
2022-11-02 11:12:02,Mizuho,Neutral,135.0,135.0,125.0,False
2022-11-02 11:33:46,Morgan Stanley,Equal-Weight,105.0,105.0,110.0,False
2022-11-02 12:32:56,Wells Fargo,Overweight,185.0,225.0,165.0,True
2022-11-02 12:34:43,Susquehanna,Positive,150.0,150.0,135.0,False
2022-11-22 11:30:51,Barclays,Equal-Weight,101.0,170.0,103.0,True
2022-11-22 11:32:43,Baird,Neutral,120.0,120.0,100.0,False
2022-12-07 09:29:48,Morgan Stanley,Underweight,110.0,110.0,80.0,False
2023-01-05 12:31:53,Mizuho,Neutral,125.0,125.0,110.0,False
2023-01-13 13:05:36,Goldman Sachs,Sell,98.0,98.0,87.0,False
2023-01-19 12:50:51,Wells Fargo,Overweight,165.0,165.0,130.0,False
2023-01-24 13:55:48,UBS,Neutral,112.0,112.0,114.0,False
2023-01-25 11:17:30,Barclays,Equal-Weight,103.0,103.0,105.0,False
2023-01-25 13:37:25,B of A Securities,Neutral,125.0,180.0,130.0,True
2023-02-15 09:34:43,Keybanc,Overweight,142.0,142.0,144.0,False
2023-02-15 11:06:29,Needham,Buy,150.0,150.0,155.0,False
2023-02-15 11:27:11,Credit Suisse,Neutral,154.0,154.0,160.0,False
2023-02-15 11:31:56,Piper Sandler,Neutral,110.0,110.0,131.0,False
2023-02-15 11:42:15,Barclays,Equal-Weight,105.0,105.0,128.0,False
2023-02-15 11:45:13,UBS,Neutral,114.0,114.0,130.0,False
2023-02-15 12:06:46,Baird,Neutral,100.0,100.0,125.0,False
2023-02-15 12:15:49,Mizuho,Neutral,110.0,110.0,125.0,False
2023-02-15 12:21:15,Wells Fargo,Overweight,130.0,130.0,165.0,False
2023-02-15 12:28:12,Cowen & Co.,Outperform,135.0,,145.0,False
2023-02-15 12:49:55,Goldman Sachs,Sell,87.0,87.0,98.0,False
2023-02-15 13:02:28,B of A Securities,Neutral,130.0,130.0,145.0,False
2023-02-15 13:04:59,Susquehanna,Positive,135.0,135.0,155.0,False
2023-02-15 13:16:35,RBC Capital,Sector Perform,110.0,115.0,135.0,True
2023-02-15 13:19:08,Canaccord Genuity,Buy,145.0,175.0,165.0,True
2023-02-15 13:54:52,DA Davidson,Buy,132.0,140.0,145.0,True
2023-02-16 12:53:14,Citigroup,Buy,140.0,140.0,148.0,False
2023-02-16 13:42:40,Goldman Sachs,Sell,87.0,98.0,98.0,True
2023-02-16 14:41:57,Loop Capital,Buy,135.0,205.0,145.0,True
2023-02-16 14:42:05,Morgan Stanley,Underweight,80.0,80.0,100.0,False
2023-02-28 12:58:37,Argus Research,Buy,0.0,,144.0,False
2023-03-14 09:57:53,Needham,Buy,0.0,155.0,155.0,False
2023-03-29 08:48:41,Tigress Financial,Buy,160.0,160.0,185.0,False
2023-04-20 13:43:18,Truist Securities,Hold,120.0,120.0,130.0,False
2023-05-10 09:41:24,Piper Sandler,Neutral,131.0,131.0,117.0,False
2023-05-10 09:52:57,Barclays,Equal-Weight,128.0,128.0,112.0,False
2023-05-10 11:14:02,Morgan Stanley,Underweight,100.0,100.0,95.0,False
2023-05-10 11:36:33,DA Davidson,Buy,145.0,145.0,140.0,False
2023-05-10 12:08:50,Credit Suisse,Neutral,160.0,160.0,150.0,False
2023-05-10 13:51:37,B of A Securities,Neutral,145.0,145.0,135.0,False
2023-05-10 14:03:05,Canaccord Genuity,Buy,165.0,165.0,145.0,False
2023-05-10 14:38:50,RBC Capital,Sector Perform,135.0,135.0,105.0,False
2023-05-10 14:39:36,Evercore ISI Group,Outperform,160.0,150.0,145.0,True
2023-05-10 16:51:24,Needham,Buy,155.0,155.0,150.0,False
2023-05-11 14:55:48,Citigroup,Buy,148.0,148.0,135.0,False
2023-05-15 07:52:14,Keybanc,Overweight,144.0,144.0,135.0,False
2023-05-17 13:29:03,Argus Research,Buy,144.0,144.0,124.0,False
2023-06-01 12:00:25,Truist Securities,Hold,130.0,130.0,116.0,False
2023-06-06 08:33:21,Wedbush,Neutral,0.0,150.0,130.0,False
2023-06-07 07:57:26,Needham,Buy,0.0,150.0,150.0,False
2023-06-08 08:10:38,Wells Fargo,Underweight,0.0,165.0,99.0,False
2023-06-12 09:55:37,Needham,Buy,0.0,150.0,150.0,False
2023-07-11 09:28:18,Needham,Buy,150.0,150.0,160.0,False
2023-07-12 14:26:07,B of A Securities,Neutral,135.0,135.0,146.0,False
2023-07-13 10:33:56,Barclays,Equal-Weight,112.0,112.0,136.0,False
2023-07-19 19:49:12,Argus Research,Buy,124.0,124.0,168.0,False
