date,close,n_targets,mean_target,median_target,n_rated_24m,share_buy_24m,share_hold_or_worse_24m,share_sell_24m,pt_premium_pct
2020-12-10,144.7100067138672,0,,,0,,,,
2020-12-11,139.25,0,,,1,0.0,1.0,0.0,
2020-12-14,130.0,0,,,1,0.0,1.0,0.0,
2020-12-15,124.8000030517578,0,,,1,0.0,1.0,0.0,
2020-12-16,137.99000549316406,0,,,1,0.0,1.0,0.0,
2020-12-17,147.0500030517578,0,,,1,0.0,1.0,0.0,
2020-12-18,157.3000030517578,1,180.0,180.0,2,0.5,0.5,0.0,14.431021301870551
2020-12-21,163.02000427246094,1,180.0,180.0,2,0.5,0.5,0.0,10.41589699578207
2020-12-22,163.19000244140625,1,180.0,180.0,2,0.5,0.5,0.0,10.300874629026024
2020-12-23,158.00999450683594,1,180.0,180.0,2,0.5,0.5,0.0,13.916844666564888
2020-12-24,154.83999633789062,1,180.0,180.0,2,0.5,0.5,0.0,16.249034007470154
2020-12-28,149.0,1,180.0,180.0,2,0.5,0.5,0.0,20.805369127516784
2020-12-29,150.0,1,180.0,180.0,2,0.5,0.5,0.0,19.999999999999996
2020-12-30,148.42999267578125,1,180.0,180.0,2,0.5,0.5,0.0,21.269291168920134
2020-12-31,146.8000030517578,1,180.0,180.0,2,0.5,0.5,0.0,22.6158012657103
2021-01-04,139.14999389648438,14,163.5,165.0,17,0.4117647058823529,0.5882352941176471,0.0,17.499106842670752
2021-01-05,148.3000030517578,14,163.5,165.0,19,0.42105263157894735,0.5789473684210527,0.0,10.249491999630834
2021-01-06,142.77000427246094,14,163.5,165.0,19,0.42105263157894735,0.5789473684210527,0.0,14.519853685777107
2021-01-07,151.27000427246094,14,163.5,165.0,19,0.42105263157894735,0.5789473684210527,0.0,8.084878285261986
2021-01-08,149.77000427246094,14,163.5,165.0,19,0.42105263157894735,0.5789473684210527,0.0,9.167386883799189
2021-01-11,148.1300048828125,14,163.5,165.0,19,0.42105263157894735,0.5789473684210527,0.0,10.376017424253048
2021-01-12,160.8000030517578,14,163.5,165.0,19,0.42105263157894735,0.5789473684210527,0.0,1.6791025478855914
2021-01-13,169.99000549316406,14,163.5,165.0,19,0.42105263157894735,0.5789473684210527,0.0,-3.81787474759806
2021-01-14,180.5,14,163.5,165.0,19,0.42105263157894735,0.5789473684210527,0.0,-9.418282548476453
2021-01-15,169.27000427246094,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-3.7829133598220377
2021-01-19,173.69000244140625,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-6.231409766023111
2021-01-20,161.8300018310547,15,162.86666666666667,160.0,20,0.4,0.6,0.0,0.6405887807467536
2021-01-21,180.3999938964844,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-9.719139591478342
2021-01-22,181.8699951171875,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-10.448853005288793
2021-01-25,177.52999877929688,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-8.259636238075728
2021-01-26,192.7400054931641,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-15.499293335631315
2021-01-27,201.25,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-19.072463768115945
2021-01-28,187.3699951171875,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-13.077509253920628
2021-01-29,183.6300048828125,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-11.307159867145023
2021-02-01,180.44000244140625,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-9.739157358106398
2021-02-02,179.1699981689453,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-9.099364664225584
2021-02-03,185.72000122070312,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-12.305262978583741
2021-02-04,195.8000030517578,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-16.819885532067914
2021-02-05,195.30999755859372,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-16.6111982476442
2021-02-08,200.42999267578125,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-18.74136974593299
2021-02-09,199.8800048828125,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-18.517779323572835
2021-02-10,211.66000366210935,15,162.86666666666667,160.0,20,0.4,0.6,0.0,-23.05269590438804
