Firm,date,ToGrade,rating_bucket,Action,priceTargetAction,target,prior_target,target_0906,date_0906,changed_since_0906,target_corrected,rating_corrected,correction_note,last_action_chain_break,prev_feed_target,chain_breaks_total,chain_breaks_since_sep2025,source
DA Davidson,2026-08-31,Buy,Buy,main,Raises,220.0,175.0,220.0,2026-08-31,,220.0,Buy,,False,175.0,2,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Rosenblatt,2026-09-01,Buy,Buy,init,Announces,220.0,0.0,220.0,2026-09-01,,220.0,Buy,,False,,0,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Bernstein,2026-08-24,Outperform,Buy,main,Raises,217.0,168.0,217.0,2026-08-24,,217.0,Buy,,True,162.0,3,2,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
B. Riley Securities,2026-08-07,Buy,Buy,main,Raises,210.0,180.0,210.0,2026-08-07,,210.0,Buy,,True,170.0,2,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Wedbush,2026-08-07,Outperform,Buy,up,Raises,200.0,152.0,200.0,2026-08-07,,200.0,Buy,,True,130.0,3,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Canaccord Genuity,2026-08-07,Buy,Buy,main,Raises,200.0,180.0,200.0,2026-08-07,,200.0,Buy,,False,180.0,3,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Susquehanna,2026-08-07,Positive,Buy,main,Raises,200.0,170.0,200.0,2026-08-07,,200.0,Buy,,False,170.0,2,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Evercore ISI Group,2026-08-24,Outperform,Buy,main,Raises,200.0,190.0,200.0,2026-08-24,,200.0,Buy,,True,155.0,4,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Raymond James,2026-09-08,Outperform,Buy,up,Announces,200.0,0.0,,,new firm,200.0,Buy,,False,,0,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Baird,2026-09-08,Outperform,Buy,main,Raises,200.0,175.0,175.0,2026-08-07,changed,200.0,Buy,,False,175.0,4,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
RBC Capital,2026-08-07,Outperform,Buy,main,Raises,195.0,173.0,195.0,2026-08-07,,195.0,Buy,,False,173.0,3,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Citigroup,2026-08-07,Buy,Buy,main,Raises,193.0,175.0,193.0,2026-08-07,,193.0,Buy,,False,175.0,4,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Citizens,2026-08-07,Market Outperform,Buy,main,Raises,190.0,170.0,190.0,2026-08-07,,190.0,Buy,,False,170.0,0,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Oppenheimer,2026-08-07,Outperform,Buy,main,Raises,190.0,180.0,190.0,2026-08-07,,190.0,Buy,,False,180.0,0,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Wells Fargo,2026-08-07,Overweight,Buy,main,Raises,186.0,181.0,186.0,2026-08-07,,186.0,Buy,,False,181.0,4,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Tigress Financial,2026-04-08,Buy,Buy,main,Lowers,185.0,200.0,185.0,2026-04-08,,185.0,Buy,,False,200.0,0,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Benchmark,2026-08-07,Buy,Buy,main,Raises,180.0,160.0,180.0,2026-08-07,,180.0,Buy,,False,160.0,1,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Mizuho,2026-03-03,Outperform,Buy,main,Raises,175.0,156.0,175.0,2026-03-03,,175.0,Buy,,True,151.0,3,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
B of A Securities,2026-08-07,Neutral,Hold,main,Raises,175.0,160.0,175.0,2026-08-07,,175.0,Hold,,True,146.0,7,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Jefferies,2026-07-14,Buy,Buy,main,Raises,175.0,160.0,175.0,2026-07-14,,175.0,Buy,,True,165.0,6,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
UBS,2026-08-07,Neutral,Hold,main,Raises,172.0,163.0,172.0,2026-08-07,,172.0,Hold,,False,163.0,3,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Piper Sandler,2026-08-07,Neutral,Hold,main,Raises,170.0,145.0,170.0,2026-08-07,,170.0,Hold,,True,132.0,4,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
JP Morgan,2026-08-07,Neutral,Hold,main,Raises,170.0,140.0,170.0,2026-08-07,,170.0,Hold,,False,140.0,3,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
CICC,2026-06-05,Outperform,Buy,init,Announces,165.0,0.0,165.0,2026-06-05,,165.0,Buy,,False,,0,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
BMO Capital,2026-08-10,Market Perform,Hold,main,Raises,165.0,146.0,165.0,2026-08-10,,165.0,Hold,,True,140.0,3,2,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Truist Securities,2026-09-10,Hold,Hold,main,Raises,161.0,134.0,134.0,2026-06-12,changed,161.0,Hold,,False,134.0,2,1,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
TD Cowen,2026-02-13,Buy,Buy,main,Raises,160.0,150.0,160.0,2026-02-13,,160.0,Buy,,False,150.0,3,0,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
Cantor Fitzgerald,2026-08-07,Neutral,Hold,main,Raises,160.0,140.0,160.0,2026-08-07,,160.0,Hold,,True,141.0,3,2,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-12"
