scope,horizon_quarters,candidate,scoring,window,coverage_pass,magnitude_pass,deletion_pass,paired_guidegrowth_interval_pass,direct_guidegrowth_pass,promotion_pass
calendar_flight,2,fixed_flight,integer_interval,W1,True,False,False,,False,False
calendar_flight,2,fixed_flight,integer_interval,W2,True,False,False,,False,False
calendar_flight,2,fixed_flight,raw_midpoint,W1,True,False,False,,False,False
calendar_flight,2,fixed_flight,raw_midpoint,W2,True,False,False,,False,False
calendar_flight,2,joint_flight,integer_interval,W1,True,False,False,,False,False
calendar_flight,2,joint_flight,integer_interval,W2,True,False,False,,False,False
calendar_flight,2,joint_flight,raw_midpoint,W1,True,False,False,,False,False
calendar_flight,2,joint_flight,raw_midpoint,W2,True,False,False,,False,False
candidate_specific,2,fixed,integer_interval,both,True,False,False,False,,False
candidate_specific,2,fixed,raw_midpoint,both,True,False,False,False,,False
candidate_specific,2,joint,integer_interval,both,True,False,False,False,,False
candidate_specific,2,joint,raw_midpoint,both,True,False,False,False,,False
candidate_specific,3,fixed,integer_interval,both,True,False,False,False,,False
candidate_specific,3,fixed,raw_midpoint,both,True,False,False,False,,False
candidate_specific,3,joint,integer_interval,both,True,False,False,False,,False
candidate_specific,3,joint,raw_midpoint,both,True,False,False,False,,False
candidate_specific,4,fixed,integer_interval,both,True,False,False,False,,False
candidate_specific,4,fixed,raw_midpoint,both,True,False,False,False,,False
candidate_specific,4,joint,integer_interval,both,True,False,False,False,,False
candidate_specific,4,joint,raw_midpoint,both,True,False,False,False,,False
common4,2,fixed,integer_interval,both,True,False,False,False,,False
common4,2,fixed,raw_midpoint,both,True,False,False,False,,False
common4,2,joint,integer_interval,both,True,False,False,False,,False
common4,2,joint,raw_midpoint,both,True,False,False,False,,False
common4,3,fixed,integer_interval,both,True,False,False,False,,False
common4,3,fixed,raw_midpoint,both,True,False,False,False,,False
common4,3,joint,integer_interval,both,True,False,False,False,,False
common4,3,joint,raw_midpoint,both,True,False,False,False,,False
common4,4,fixed,integer_interval,both,True,True,True,True,,True
common4,4,fixed,raw_midpoint,both,True,True,True,True,,True
common4,4,joint,integer_interval,both,True,False,False,False,,False
common4,4,joint,raw_midpoint,both,True,False,False,False,,False
