scope,horizon_quarters,window,candidate_sample,scoring,candidate,reference,deleted_unit,deleted_value,n,rmse_ratio
common4,2,W1,joint,raw_midpoint,joint,fixed,year,2023,10,0.8288426200154908
common4,2,W1,joint,raw_midpoint,joint,fixed,year,2024,7,1.0637505365588653
common4,2,W1,joint,raw_midpoint,joint,fixed,year,2025,7,0.846328343931057
common4,2,W1,joint,raw_midpoint,joint,fixed,year,2026,9,0.7406318157686743
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2023Q4,10,0.8288426200154908
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2024Q1,10,0.8849806964996476
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2024Q2,10,1.0217065548193056
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2024Q3,10,0.8628076757927099
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2024Q4,10,0.8598571860403721
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2025Q1,10,0.876796381128678
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2025Q2,10,0.9473096500353553
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2025Q3,10,0.7238929149504506
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2025Q4,10,0.8634624537900983
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2026Q1,10,0.8389658450928786
common4,2,W1,joint,raw_midpoint,joint,fixed,quarter,2026Q2,10,0.7697861346971069
common4,2,W1,joint,integer_interval,joint,fixed,year,2023,10,0.8286373334656935
common4,2,W1,joint,integer_interval,joint,fixed,year,2024,7,1.064560709883345
common4,2,W1,joint,integer_interval,joint,fixed,year,2025,7,0.845228963811115
common4,2,W1,joint,integer_interval,joint,fixed,year,2026,9,0.7401651061531818
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2023Q4,10,0.8286373334656935
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2024Q1,10,0.8847074728502428
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2024Q2,10,1.022544498745211
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2024Q3,10,0.8625821054130937
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2024Q4,10,0.8597318006077072
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2025Q1,10,0.8764619577334543
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2025Q2,10,0.9475284624972075
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2025Q3,10,0.7226240332814543
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2025Q4,10,0.8631593477150156
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2026Q1,10,0.8388675028033187
common4,2,W1,joint,integer_interval,joint,fixed,quarter,2026Q2,10,0.7691580025650113
common4,2,W1,joint,raw_midpoint,joint,guide_growth,year,2023,10,1.0412053230010947
common4,2,W1,joint,raw_midpoint,joint,guide_growth,year,2024,7,1.2765444688793992
common4,2,W1,joint,raw_midpoint,joint,guide_growth,year,2025,7,0.8937224416690017
common4,2,W1,joint,raw_midpoint,joint,guide_growth,year,2026,9,1.1422985310984382
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2023Q4,10,1.0412053230010947
