scope,horizon_quarters,window,candidate_sample,scoring,model,n,n_year_clusters,rmse_musd,mae_musd,signed_distance_bias_musd,within_rounding_interval,targets
common4,2,W1,joint,raw_midpoint,joint,11,4,64.28731767190047,46.25691227699045,-27.192744602724527,1,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,joint,raw_midpoint,fixed,11,4,74.59238075721366,59.477043018004515,11.694344588812823,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,joint,raw_midpoint,guide_growth,11,4,59.062532976620474,55.03243738101173,1.105394230334985,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,joint,raw_midpoint,revenue_growth,11,4,118.69124062413414,94.07543311626688,-11.093104331835672,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,joint,integer_interval,joint,11,4,63.92837947515429,45.79334259843918,-27.092811287809624,1,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,joint,integer_interval,fixed,11,4,74.19431396010839,58.977043018004515,11.648890043358278,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,joint,integer_interval,guide_growth,11,4,58.596931355092046,54.53243738101173,1.0599396848804397,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,joint,integer_interval,revenue_growth,11,4,118.29533028729342,93.57543311626688,-11.138558877290217,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,fixed,raw_midpoint,joint,11,4,64.28731767190047,46.25691227699045,-27.192744602724527,1,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,fixed,raw_midpoint,fixed,11,4,74.59238075721366,59.477043018004515,11.694344588812823,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,fixed,raw_midpoint,guide_growth,11,4,59.062532976620474,55.03243738101173,1.105394230334985,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,fixed,raw_midpoint,revenue_growth,11,4,118.69124062413414,94.07543311626688,-11.093104331835672,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,fixed,integer_interval,joint,11,4,63.92837947515429,45.79334259843918,-27.092811287809624,1,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,fixed,integer_interval,fixed,11,4,74.19431396010839,58.977043018004515,11.648890043358278,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,fixed,integer_interval,guide_growth,11,4,58.596931355092046,54.53243738101173,1.0599396848804397,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W1,fixed,integer_interval,revenue_growth,11,4,118.29533028729342,93.57543311626688,-11.138558877290217,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,joint,raw_midpoint,joint,11,4,64.28731767190047,46.25691227699045,-27.192744602724527,1,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,joint,raw_midpoint,guide_growth,11,4,59.062532976620474,55.03243738101173,1.105394230334985,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,joint,raw_midpoint,revenue_growth,11,4,118.69124062413414,94.07543311626688,-11.093104331835672,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,joint,integer_interval,joint,11,4,63.92837947515429,45.79334259843918,-27.092811287809624,1,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,joint,integer_interval,guide_growth,11,4,58.596931355092046,54.53243738101173,1.0599396848804397,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,joint,integer_interval,revenue_growth,11,4,118.29533028729342,93.57543311626688,-11.138558877290217,0,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,fixed,raw_midpoint,fixed,14,4,84.57568193695109,69.94269851026993,32.39914974447647,0,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,fixed,raw_midpoint,guide_growth,14,4,75.03912526245227,66.2290185831403,11.769858305410756,0,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,fixed,raw_midpoint,revenue_growth,14,4,113.11501683759404,90.49536588603965,7.862943605387646,0,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,fixed,integer_interval,fixed,14,4,84.1626596335337,69.44269851026993,32.25629260161933,0,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,fixed,integer_interval,guide_growth,14,4,74.59819905045202,65.7290185831403,11.698429733982184,0,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W1,fixed,integer_interval,revenue_growth,14,4,112.715401202689,89.99536588603965,7.720086462530503,0,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,joint,raw_midpoint,joint,10,3,63.83111546800376,44.01431526886972,-23.043730827177207,1,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,joint,raw_midpoint,fixed,10,3,77.01234700842336,61.07131187195186,17.217214495547204,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,joint,raw_midpoint,guide_growth,10,3,61.305022225608276,57.7264938399609,-1.5932536257835181,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,joint,raw_midpoint,revenue_growth,10,3,124.24943389264482,101.0653362904247,-14.620054902488118,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,joint,integer_interval,joint,10,3,63.487250120666566,43.55438862246333,-22.98380418077081,1,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,joint,integer_interval,fixed,10,3,76.61644914686312,60.57131187195186,17.117214495547206,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,joint,integer_interval,guide_growth,10,3,60.83444136541704,57.2264938399609,-1.5932536257835181,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,joint,integer_interval,revenue_growth,10,3,123.8430720159682,100.5653362904247,-14.620054902488118,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,fixed,raw_midpoint,joint,10,3,63.83111546800376,44.01431526886972,-23.043730827177207,1,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
