scope,horizon_quarters,candidate,window,coverage_pass_raw,magnitude_pass_raw,deletion_pass_raw,paired_guidegrowth_interval_pass_raw,direct_guidegrowth_pass_raw,promotion_pass_raw,coverage_pass_interval,magnitude_pass_interval,deletion_pass_interval,paired_guidegrowth_interval_pass_interval,direct_guidegrowth_pass_interval,promotion_pass_interval,coverage_pass_changed,magnitude_pass_changed,deletion_pass_changed,paired_guidegrowth_interval_pass_changed,direct_guidegrowth_pass_changed,promotion_pass_changed
calendar_flight,2,fixed_flight,W1,True,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False
calendar_flight,2,fixed_flight,W2,True,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False
calendar_flight,2,joint_flight,W1,True,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False
calendar_flight,2,joint_flight,W2,True,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False
candidate_specific,2,fixed,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
candidate_specific,2,joint,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
candidate_specific,3,fixed,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
candidate_specific,3,joint,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
candidate_specific,4,fixed,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
candidate_specific,4,joint,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
common4,2,fixed,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
common4,2,joint,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
common4,3,fixed,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
common4,3,joint,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
common4,4,fixed,both,True,True,True,True,,True,True,True,True,True,,True,False,False,False,False,False,False
common4,4,joint,both,True,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False
