target,horizon_q,window,weighting,method,object,spec_id,n,mae,oracle,thin
adj_ebitda_margin_pct,0,W1,equal,driver-lines,margin_v2,e_revknown_rw,14,1.9597990176654725,True,False
adj_ebitda_margin_pct,0,W1,equal,cycle-flex,flex_margin,revknown_rw,14,2.193844755525037,True,False
adj_ebitda_margin_pct,0,W1,equal,margin-ts,per_night_seasonal,g_k4_rw_nightsknown,14,2.268579621039502,True,False
adj_ebitda_margin_pct,0,W1,equal,margin-ts,incremental_margin,k4_rw_revknown,14,2.769528176049901,True,False
adj_ebitda_margin_pct,0,W1,equal,guide-policy-margin,q4_implied,guide_mid,3,2.868380342387359,False,True
adj_ebitda_margin_pct,0,W1,equal,margin-ts,pct_rev_seasonal,drift_k4_rw_revknown,14,3.781432418892753,True,False
adj_ebitda_margin_pct,0,W1,equal,guide-policy-margin,actual_given_guide,rw_hl4_revknown,14,3.89658272160323,True,False
adj_ebitda_margin_pct,0,W1,recency,driver-lines,margin_v2,e_revknown_rw,14,1.4353673367701594,True,False
adj_ebitda_margin_pct,0,W1,recency,margin-ts,per_night_seasonal,g_k4_rw_nightsknown,14,1.4856308554903288,True,False
adj_ebitda_margin_pct,0,W1,recency,cycle-flex,flex_margin,revknown_rw,14,1.6730172931841114,True,False
adj_ebitda_margin_pct,0,W1,recency,guide-policy-margin,q4_implied,guide_mid,3,2.133059438881261,False,True
adj_ebitda_margin_pct,0,W1,recency,margin-ts,incremental_margin,k4_rw_revknown,14,2.226717473658552,True,False
adj_ebitda_margin_pct,0,W1,recency,guide-policy-margin,actual_given_guide,rw_hl4_revknown,14,2.346564432406451,True,False
adj_ebitda_margin_pct,0,W1,recency,margin-ts,pct_rev_seasonal,drift_k4_rw_revknown,14,2.7486654110381847,True,False
adj_ebitda_margin_pct,0,W2,equal,margin-ts,per_night_seasonal,g_k4_rw_nightsknown,10,1.3118085658150378,True,False
adj_ebitda_margin_pct,0,W2,equal,driver-lines,margin_v2,e_revknown_rw,10,1.449103509311776,True,False
adj_ebitda_margin_pct,0,W2,equal,cycle-flex,flex_margin,revknown_rw,10,1.7598446377977313,True,False
adj_ebitda_margin_pct,0,W2,equal,margin-ts,incremental_margin,k4_rw_revknown,10,1.919801032846212,True,False
adj_ebitda_margin_pct,0,W2,equal,guide-policy-margin,actual_given_guide,rw_hl4_revknown,10,2.014614668194452,True,False
adj_ebitda_margin_pct,0,W2,equal,guide-policy-margin,q4_implied,guide_mid,2,2.473490240754318,False,True
adj_ebitda_margin_pct,0,W2,equal,margin-ts,pct_rev_seasonal,drift_k4_rw_revknown,10,2.7532576245131684,True,False
adj_ebitda_margin_pct,0,W2,recency,margin-ts,per_night_seasonal,g_k4_rw_nightsknown,10,1.1765631465118802,True,False
adj_ebitda_margin_pct,0,W2,recency,driver-lines,margin_v2,e_revknown_rw,10,1.2107595103161768,True,False
adj_ebitda_margin_pct,0,W2,recency,cycle-flex,flex_margin,revknown_rw,10,1.4771705519926983,True,False
adj_ebitda_margin_pct,0,W2,recency,guide-policy-margin,actual_given_guide,rw_hl4_revknown,10,1.714746531339004,True,False
adj_ebitda_margin_pct,0,W2,recency,guide-policy-margin,q4_implied,guide_mid,2,1.8788759210858967,False,True
adj_ebitda_margin_pct,0,W2,recency,margin-ts,incremental_margin,k4_rw_revknown,10,1.947924454876664,True,False
adj_ebitda_margin_pct,0,W2,recency,margin-ts,pct_rev_seasonal,drift_k4_rw_revknown,10,2.428320623854668,True,False
adj_ebitda_margin_pct,1,W1,equal,margin-ts,q_sentence_direction,k_abs_rw,1,0.2485778549628285,False,True
adj_ebitda_margin_pct,1,W1,equal,margin-ts,q_sentence_direction,k_fit_rw,1,0.4608572323738755,False,True
