method,object,spec_id,target,window,horizon_q,weighting,n,first_quarter,last_quarter,mae,rmse,bias,crps,pinball_mean,cov80,cov90,pit_mean,ratio_seasonal_naive,n_match_seasonal_naive,ratio_seasonal_naive_drift,n_match_seasonal_naive_drift,ratio_trailing4,n_match_trailing4,ratio_pct_rev_last4,n_match_pct_rev_last4,ratio_guide_implied,n_match_guide_implied,ratio_q_guide_implied,n_match_q_guide_implied,ratio_street,n_match_street,beats_seasonal_naive,survives_both_windows,mae_full_sample,hindsight_gap_mae,hindsight_share,n_params,n_obs,param_obs_ratio,conformal_cov_empirical,replays_present,survives_both_windows_eq_and_rw
street-bias,dispersion_conditioned,rw_hl4_med,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.2232269750553424,1.5845248949457642,0.1341344995765382,2.368016327049952,1.1462605075813657,1.0,1.0,0.5188373484026303,0.5467993830326132,14,0.5129595538431566,14,0.1290735322921389,14,,0,0.2792873568961298,14,0.5467993830326132,14,0.7683210101496962,14,True,True,1.2232269750553424,0.0,0.0,5,14,0.3571428571428571,1.0,2,True
street-bias,dispersion_conditioned,rw_hl4,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.329812600239019,1.812311701413519,0.4425150631005622,2.429010852022013,1.171855940378134,1.0,1.0,0.4993080444365015,0.5944446322619665,14,0.5576561766737961,14,0.1403203273796987,14,,0,0.3036230019952937,14,0.5944446322619665,14,0.8352684997640862,14,True,True,1.329812600239019,0.0,0.0,5,14,0.3571428571428571,1.0,2,True
street-bias,dispersion_conditioned,rw_hl4_usd,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.329812600239019,1.812311701413519,0.4425150631005622,2.429010852022013,1.171855940378134,1.0,1.0,0.4993080444365015,0.5944446322619665,14,0.5576561766737961,14,0.1403203273796987,14,,0,0.3036230019952937,14,0.5944446322619665,14,0.8352684997640862,14,True,True,1.329812600239019,0.0,0.0,5,14,0.3571428571428571,1.0,2,True
street-bias,street_plus_flowthrough,rw_hl4_med,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.548492300753299,2.162396703197636,0.8687228999369649,2.5220257070596257,1.2070623916080103,1.0,1.0,0.4599792382066546,0.6921974841540327,14,0.6493593878503524,14,0.1633951630083752,14,,0,0.3535519823145083,14,0.6921974841540327,14,0.9726233912311938,14,True,True,1.548492300753299,0.0,0.0,6,14,0.4285714285714285,1.0,2,True
baselines-margin,street,street|adj_ebitda_margin_pct|h0|PIT,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.5920779972124075,1.9969868184606103,-1.2191457761029765,1.2760785791713136,0.559059696791599,1.0,1.0,0.618244017391913,0.7116808935448443,14,0.667637025496952,14,0.1679942765940903,14,,0,0.3635034747282451,14,0.7116808935448443,14,1.0,14,True,True,,,,1,14,0.0714285714285714,1.0,1,True
street-bias,street_plus_bias,rw_hl4,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.5994726552413805,2.2428599569146583,1.0398862468100296,2.561674592257364,1.2246315242184524,1.0,1.0,0.4526875122244695,0.714986407999998,14,0.6707379712418681,14,0.1687745525783153,14,,0,0.3651918241009926,14,0.714986407999998,14,1.0046446581398147,14,True,True,1.5994726552413805,0.0,0.0,3,14,0.2142857142857142,1.0,2,True
street-bias,street_plus_bias,rw_hl4_usd,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.5994726552413805,2.2428599569146583,1.0398862468100296,2.561674592257364,1.2246315242184524,1.0,1.0,0.4526875122244695,0.714986407999998,14,0.6707379712418681,14,0.1687745525783153,14,,0,0.3651918241009926,14,0.714986407999998,14,1.0046446581398147,14,True,True,1.5994726552413805,0.0,0.0,3,14,0.2142857142857142,1.0,2,True
street-bias,street_plus_bias,rw_hl4_med,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.613628872402981,2.0302713355954265,0.7292502038012826,2.5232219461207186,1.2040741972087925,1.0,1.0,0.4709094896472919,0.7213144329437652,14,0.6766743730605028,14,0.1702683006644869,14,,0,0.3684239736164431,14,0.7213144329437652,14,1.0135363187157331,14,True,True,1.613628872402981,0.0,0.0,3,14,0.2142857142857142,1.0,2,True
street-bias,street_plus_flowthrough,rw_hl4,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.6607963792190017,2.29355952533998,0.6924918534695756,2.566338046071132,1.223532580676527,1.0,1.0,0.4685134528152156,0.7423989611238437,14,0.6964540408945492,14,0.1752453628437132,14,,0,0.3791932654802287,14,0.7423989611238437,14,1.0431626981384794,14,True,True,1.6607963792190017,0.0,0.0,6,14,0.4285714285714285,0.875,2,True
street-bias,street_plus_flowthrough,rw_hl4_usd,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.6607963792190017,2.29355952533998,0.6924918534695756,2.566338046071132,1.223532580676527,1.0,1.0,0.4685134528152156,0.7423989611238437,14,0.6964540408945492,14,0.1752453628437132,14,,0,0.3791932654802287,14,0.7423989611238437,14,1.0431626981384794,14,True,True,1.6607963792190017,0.0,0.0,6,14,0.4285714285714285,0.875,2,True
