label,alt-augmented|margin_aug|ridge_all_eq,baselines-margin|street|street|adj_ebitda_margin_pct|h0|PIT,cycle-flex|flex_margin|l0_rw,driver-lines|margin_v2|b_elastic_eq,guide-policy-margin|actual_given_guide|rw_hl4_pin,margin-ts|q_sentence_direction|k_fit_median,margin-ts|sarima_margin|lines_aicc,street-bias|dispersion_conditioned|rw_hl4_med,street-bias|street_plus_bias|rw_hl4,street-bias|street_plus_flowthrough|rw_hl4_med
alt-augmented|margin_aug|ridge_all_eq,1.0,0.8324493012087587,0.9923444238934547,0.9984059833243449,0.19042975966914388,0.34575025841855517,0.9320558422644326,0.7420720535513785,0.7121193002480404,0.6722652358482886
baselines-margin|street|street|adj_ebitda_margin_pct|h0|PIT,0.8324493012087587,1.0,0.8202091152642036,0.8381346534907377,0.1346815971167901,0.23996797206964657,0.6894790030572063,0.8022232299157784,0.8587684799918703,0.6644235925407693
cycle-flex|flex_margin|l0_rw,0.9923444238934547,0.8202091152642036,1.0,0.9880756441059289,0.10500527518243194,0.2919534878706041,0.9399080235118733,0.7656628793472562,0.7215536705391492,0.7079590223817461
driver-lines|margin_v2|b_elastic_eq,0.9984059833243449,0.8381346534907377,0.9880756441059289,1.0,0.20001707768548413,0.3693610775120174,0.9291541228213474,0.7199201249301121,0.7019425458421309,0.6602474286608461
guide-policy-margin|actual_given_guide|rw_hl4_pin,0.19042975966914388,0.1346815971167901,0.10500527518243194,0.20001707768548413,1.0,0.12136247773417723,0.07910873673484117,0.06400815708886133,0.14271018313321693,0.021881814547792363
margin-ts|q_sentence_direction|k_fit_median,0.34575025841855517,0.23996797206964657,0.2919534878706041,0.3693610775120174,0.12136247773417723,1.0,0.442045635216474,-0.01594152589790241,-0.15231028997548055,-0.15343888217151996
margin-ts|sarima_margin|lines_aicc,0.9320558422644326,0.6894790030572063,0.9399080235118733,0.9291541228213474,0.07910873673484117,0.442045635216474,1.0,0.6767923850392011,0.5563845547666826,0.645690444898466
street-bias|dispersion_conditioned|rw_hl4_med,0.7420720535513785,0.8022232299157784,0.7656628793472562,0.7199201249301121,0.06400815708886133,-0.01594152589790241,0.6767923850392011,1.0,0.9158655443155544,0.8517249997375574
street-bias|street_plus_bias|rw_hl4,0.7121193002480404,0.8587684799918703,0.7215536705391492,0.7019425458421309,0.14271018313321693,-0.15231028997548055,0.5563845547666826,0.9158655443155544,1.0,0.8710833273951657
street-bias|street_plus_flowthrough|rw_hl4_med,0.6722652358482886,0.6644235925407693,0.7079590223817461,0.6602474286608461,0.021881814547792363,-0.15343888217151996,0.645690444898466,0.8517249997375574,0.8710833273951657,1.0
