method,lines_object,margin_object,spec_id,window,weighting,n_lines,mean_line_mae_ratio_naive,best_line_mae_ratio_naive,worst_line_mae_ratio_naive,margin_mae,margin_mae_ratio_naive,margin_mae_ratio_street,margin_survives_both,n_params,line_win_margin_loss
alt-augmented,lines_aug,margin_aug,best1_rw,W1,equal,5,0.5084610224182331,0.3150989964002487,0.7728803260317261,2.4309311660114687,1.086659866791839,1.5268920054594195,False,15,True
alt-augmented,lines_aug,margin_aug,surv_emp_computer_systems_design_rw,W1,equal,5,0.5164714680393001,0.338733648727605,0.7967774305914737,2.245140386231271,1.0036088175355358,1.4101949717051052,False,11,True
driver-lines,lines_v2,margin_v2,a_unit_rw,W1,equal,5,0.5228995863151913,0.338733648727605,0.7917585733405863,2.3015184310564814,1.028810583647353,1.4456065815156316,False,7,True
driver-lines,lines_v2,margin_v2,a_unit_eq,W1,equal,5,0.5268567256161456,0.3363830509705657,0.8242775537842408,2.282771114894818,1.020430273925805,1.4338312060663831,False,7,True
alt-augmented,lines_aug,margin_aug,ridge_all_rw,W1,equal,5,0.5277432901392116,0.3365792394601333,0.802994980975475,2.248344381140204,1.0050410475919116,1.4122074327243157,False,37,True
alt-augmented,lines_aug,margin_aug,none_rw,W1,equal,5,0.5316927386176524,0.338733648727605,0.7967774305914737,2.2590052259941182,1.0098065927504158,1.418903615243376,False,10,True
driver-lines,lines_v2,margin_v2,b_elastic_rw,W1,equal,5,0.5316927386176524,0.338733648727605,0.7967774305914737,2.2590052259941182,1.0098065927504158,1.418903615243376,False,10,True
cycle-flex,flex_lines,flex_margin,l0_rw,W1,equal,5,0.5334789143291007,0.2968272391190595,0.832040044580465,2.20058721586878,0.9836929339234572,1.382210682970194,True,12,False
driver-lines,lines_v2,margin_v2,c_mix_rw,W1,equal,5,0.5363362152891036,0.338733648727605,0.8199641953101343,2.23877194477516,1.000762036087699,1.4061948903854324,False,12,True
alt-augmented,lines_aug,margin_aug,best1_eq,W1,equal,5,0.5373228067614704,0.323538322690298,0.8917615228834143,2.444502228664252,1.0927263195736727,1.5354161246775386,False,15,True
margin-ts,per_night_seasonal,per_night_seasonal,g_k4_rw,W1,equal,5,0.5386089397847901,0.3728859762385659,0.7545413828404176,2.416456812204779,1.080189630365819,1.5178005200975009,False,7,True
driver-lines,lines_v2,margin_v2,d_steps_rw,W1,equal,5,0.5519050677375317,0.3457605258436917,0.8382057397165942,2.55379867458732,1.1415833431818114,1.60406630771784,False,14,True
margin-ts,per_night_seasonal,per_night_seasonal,g_k4_ew,W1,equal,5,0.5562968442452443,0.3807516688341662,0.774121727287139,2.538860260929526,1.1349056655813825,1.5946833417551485,False,7,True
alt-augmented,lines_aug,margin_aug,ridge_all_eq,W1,equal,5,0.5584380414429273,0.3459992891586224,0.8703838120130244,2.182563578687451,0.9756361187193052,1.3708898574749058,True,37,False
cycle-flex,flex_lines,flex_margin,l0_eq,W1,equal,5,0.5664753871857146,0.3083164857355989,0.9011157677145258,2.2439281085302105,1.0030669126294782,1.4094335280426815,False,12,True
alt-augmented,lines_aug,margin_aug,none_eq,W1,equal,5,0.5676560563078784,0.3564831701526514,0.8671493731176073,2.214424705499332,0.9898784832507712,1.3909021476187726,True,10,False
driver-lines,lines_v2,margin_v2,b_elastic_eq,W1,equal,5,0.5676560563078784,0.3564831701526514,0.8671493731176073,2.214424705499332,0.9898784832507712,1.3909021476187726,True,10,False
margin-ts,per_night_seasonal,per_night_seasonal,nogrowth,W1,equal,5,0.5888313321528511,0.4120376234027197,0.730427637277842,2.714047297980664,1.213216695119085,1.7047200594020695,False,2,True
margin-ts,sarima_margin,sarima_margin,lines_aicc,W1,equal,5,0.5949044269699056,0.3744873511147981,0.9651299235673988,2.038262763694964,0.9111316577991028,1.2802530826151657,True,15,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k8_rw,W1,equal,5,0.6079852601284547,0.3641211421289695,0.912925672696964,2.6538511604083728,1.1863081887202742,1.6669102676219631,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,nodrift,W1,equal,5,0.6801148069411911,0.353005637184673,1.0712411923364638,2.23706721882381,1.0000000000000009,1.4051241350868005,False,2,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k4_rw,W1,equal,5,0.7050611604477788,0.316723622950943,1.1119317350805884,3.781432418892753,1.690352613043488,2.3751552533944427,False,7,True
cycle-flex,flex_lines,flex_margin,dl_rw,W1,equal,5,0.7268633008595031,0.4201181700143811,1.2895703548653863,2.71584479982453,1.214020203314432,1.7058490881600916,False,22,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k4_ew,W1,equal,5,0.7336225434272832,0.3248039667573709,1.1438781463126864,4.017644700245485,1.795942771159938,2.523522532991497,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k8_rw,W1,equal,5,1.1008017748671364,0.4483230780301268,1.7275928317511156,5.938916750554285,2.654777961333148,3.730292586765736,False,7,False
alt-augmented,lines_aug,margin_aug,best1_rw,W1,recency,5,0.5183157861482429,0.2356119883769785,0.9927710293030456,2.0549485421296567,1.0743742304595696,1.6438567572314025,False,15,True
alt-augmented,lines_aug,margin_aug,surv_emp_computer_systems_design_rw,W1,recency,5,0.5400858966437289,0.2618605171125339,0.9927710293030456,1.681411230945932,0.8790803566601595,1.3450454631874895,True,11,False
alt-augmented,lines_aug,margin_aug,ridge_all_rw,W1,recency,5,0.5560486229894244,0.2640809472168238,1.097925399201903,1.6991439935653156,0.8883514516791026,1.359230792434734,True,37,False
alt-augmented,lines_aug,margin_aug,best1_eq,W1,recency,5,0.5582989761862603,0.2364568817104541,0.9961429957118472,2.071841156090862,1.0832060764902307,1.6573700092852228,False,15,True
driver-lines,lines_v2,margin_v2,a_unit_rw,W1,recency,5,0.5596472526104421,0.2618605171125339,1.1007235536663131,1.7018733717536352,0.8897784331974183,1.361414159407641,True,7,False
driver-lines,lines_v2,margin_v2,a_unit_eq,W1,recency,5,0.5609539933723675,0.277735721286613,1.1767059226012668,1.679388687818188,0.8780229247235967,1.3434275291520763,True,7,False
alt-augmented,lines_aug,margin_aug,none_rw,W1,recency,5,0.5616764015163824,0.2618605171125339,1.1007235536663131,1.6665190930459626,0.8712944053975571,1.3331324926120238,True,10,False
driver-lines,lines_v2,margin_v2,b_elastic_rw,W1,recency,5,0.5616764015163824,0.2618605171125339,1.1007235536663131,1.6665190930459626,0.8712944053975571,1.3331324926120238,True,10,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k4_rw,W1,recency,5,0.5700232653752954,0.300107500594322,1.094651788484947,1.790293245541693,0.9360063712264296,1.4321456663140926,True,7,False
driver-lines,lines_v2,margin_v2,c_mix_rw,W1,recency,5,0.5710451041417726,0.2618605171125339,1.1007235536663131,1.6749319772366986,0.8756928542117548,1.3398623820672677,True,12,False
cycle-flex,flex_lines,flex_margin,l0_rw,W1,recency,5,0.5710520830544528,0.2549631430873609,1.090903717546298,1.5528943328636666,0.8118887746582619,1.2422383286049332,True,12,False
driver-lines,lines_v2,margin_v2,d_steps_rw,W1,recency,5,0.5834250117098743,0.2704370724992467,1.1007235536663131,1.742909917159274,0.91123328035637,1.394241357303595,True,14,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k4_ew,W1,recency,5,0.5849620711755287,0.300204670161396,1.1267175857409344,1.8998430167961355,0.9932815042896338,1.519780041597835,True,7,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k8_rw,W1,recency,5,0.5875830805538033,0.3198500089946218,1.118936500118949,1.841537912335968,0.9627982583824936,1.4731388542479076,True,7,False
alt-augmented,lines_aug,margin_aug,ridge_all_eq,W1,recency,5,0.601547661502777,0.2705337655039926,1.1667419792532885,1.5823292053562994,0.827278001120436,1.2657847644661024,True,37,False
