scheme,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4
best_single_prior_mae,50.11777344483114,29.294124937518895,,,,
ew_all,50.49167300979139,29.47818342250652,19.328804298295235,34.16655611975,50.152815769516685,27.581724246786198
ew_three_least_correlated,49.41488039214043,31.64707192412169,19.169525214920327,34.73950165098722,49.87486087171229,34.296801249283874
ew_top3_prior_mae,49.972964515544845,29.0404291613603,,,,
family_B50_A30_C20,50.62567398681094,30.027617134342048,19.28898452745151,34.309792502559304,50.08332704506559,29.26049349741062
family_equal_thirds,50.63240604381589,30.7114842225702,19.269074642029643,34.38141069396396,50.04858268284004,30.099878122722824
invmae_all,50.43089591153883,29.428683905761105,19.325864908972896,34.15356899272008,50.14485052624437,27.550391766968175
invmae_recency,50.44154620780155,29.417410366038283,19.325917576948523,34.15885407230485,50.15023819601169,27.53390036585529
m5_60_plus_two_independent_40,49.99704593458108,29.077007483956752,19.147919961085567,33.26980279889929,49.67174449610358,24.9308516276054
m5_dispersion_only,50.11777344483114,29.294124937518895,,,,
m5_m3_5050,50.10162176515061,31.90076770028028,19.169525214920327,34.73950165098722,49.87486087171229,34.296801249283874
median_all,50.47523027327644,28.71448564448444,19.169525214920327,34.58083503830782,49.87486087171229,26.690996913999296
recommended_ws23_60_20_20,50.38505213726459,30.165343115720415,19.269074642029643,34.38141069396396,50.04858268284004,30.099878122722824
