label,mean_pairwise_corr,min_pairwise_corr
margin-ts|q_sentence_direction|k_fit_median,0.19500337586819977,-0.15343888217151996
guide-policy-margin|actual_given_guide|nov_sentence_pin,0.5412530515977799,0.38764264977140345
street-bias|street_plus_flowthrough|rw_hl4_med,0.6051128726249781,-0.15343888217151996
street-bias|street_plus_bias|rw_hl4,0.6367891802249205,-0.15231028997548055
street-bias|dispersion_conditioned|rw_hl4_med,0.6547096984297931,-0.01594152589790241
margin-ts|sarima_margin|lines_aicc,0.7008785314245718,0.442045635216474
baselines-margin|street|street|adj_ebitda_margin_pct|h0|PIT,0.7108687114421749,0.23996797206964657
cycle-flex|flex_margin|l0_rw,0.7570448268848596,0.2919534878706041
alt-augmented|margin_aug|ridge_all_eq,0.7593669950654931,0.34575025841855517
driver-lines|margin_v2|b_elastic_eq,0.7602127853960505,0.3693610775120174
