method,object,target,window,horizon_q,prior_basis,spec_id,quarter,vintage_date,point,actual,err,abs_err,seasonal_naive_point,seasonal_naive_abs_err,label
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2023Q1,2023-02-14,16.99995170503195,14.411441144114413,2.5885105609175376,2.5885105609175376,15.176246589486508,0.7648054453720956,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2023Q2,2023-05-09,33.9200403611475,32.971014492753625,0.9490258683938748,0.9490258683938748,33.79105720383992,0.8200427110862947,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2023Q3,2023-08-03,51.37657358930398,53.98881365911098,-2.612240069807001,2.612240069807001,50.512929853938935,3.475883805172046,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2023Q4,2023-11-01,26.89600807718228,33.27321911632101,-6.377211039138732,6.377211039138732,26.603575184016822,6.6696439323041865,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2024Q1,2024-02-13,15.731559000687668,19.79458450046685,-4.063025499779183,4.063025499779183,14.411441144114413,5.383143356352438,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2024Q2,2024-05-08,34.71986981743376,32.532751091703055,2.1871187257307056,2.1871187257307056,32.971014492753625,0.4382634010505697,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2024Q3,2024-08-06,54.20735665777553,52.46516613076098,1.74219052701455,1.74219052701455,53.98881365911098,1.5236475283500042,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2024Q4,2024-11-07,32.76386953909256,30.846774193548388,1.9170953455441728,1.9170953455441728,33.27321911632101,2.426444922772621,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2025Q1,2025-02-13,16.226939158732723,18.35387323943662,-2.126934080703897,2.126934080703897,19.79458450046685,1.4407112610302306,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2025Q2,2025-05-01,31.88871622758293,33.68863049095607,-1.799914263373143,1.799914263373143,32.532751091703055,1.155879399253017,alt-augmented|margin_aug|ridge_all_eq
alt-augmented,margin_aug,adj_ebitda_margin_pct,W1,0,PIT,ridge_all_eq,2025Q3,2025-08-06,52.628853750967,50.085470085470085,2.5433836654969117,2.5433836654969117,52.46516613076098,2.379696045290892,alt-augmented|margin_aug|ridge_all_eq
