scheme,eval_window,n,first_quarter,last_quarter,mae,rw_mae,rmse,bias,ratio_to_street
m5_60_plus_two_independent_40,first_half,5,2024Q1,2025Q1,0.8040206158167855,0.7329070096599293,0.9119234921334806,-0.082888008379296,0.5115313590572325
m5_dispersion_only,first_half,5,2024Q1,2025Q1,0.8734808709466805,0.8327364295401981,1.2224019938264754,0.6119886679189633,0.555723134750648
m5_m3_5050,first_half,5,2024Q1,2025Q1,0.8734808709466805,0.8327364295401981,1.2224019938264754,0.6119886679189633,0.555723134750648
family_equal_thirds,first_half,5,2024Q1,2025Q1,1.0915195124836892,0.9518137915620868,1.4991265559138829,-0.5347285225226137,0.6944429641161108
ew_three_least_correlated,first_half,5,2024Q1,2025Q1,1.1998926918992965,1.0673682817895958,1.390174023623584,-1.1998926918992965,0.7633917928666056
recommended_ws23_60_20_20,first_half,5,2024Q1,2025Q1,1.2238022538171394,1.177678317511777,1.3482542214140567,0.4799341345174071,0.7786034559280963
best_single_prior_mae,first_half,5,2024Q1,2025Q1,1.2269540428609147,1.0730333232509948,1.6030647783550074,-0.2953480007263408,0.7806086768158546
family_B50_A30_C20,first_half,5,2024Q1,2025Q1,1.2398616822058883,1.1275919875376386,1.398562909213927,-0.10511537867353837,0.7888207327836577
invmae_all,first_half,5,2024Q1,2025Q1,1.2423488868375778,1.1458045255063918,1.464210924245052,-0.347627908934809,0.7904031339565544
invmae_recency,first_half,5,2024Q1,2025Q1,1.2522794337446996,1.156793480666487,1.4496976847819707,-0.2926780995212354,0.7967211139382259
ew_all,first_half,5,2024Q1,2025Q1,1.2613643557213017,1.1791833372891949,1.4564795105370778,-0.3274220638976878,0.8025010932001994
median_all,first_half,5,2024Q1,2025Q1,1.5064873289676683,1.3814990466827501,1.6487616537895793,0.01813405843495559,0.9584524272508627
ew_top3_prior_mae,first_half,5,2024Q1,2025Q1,1.5488367313432363,1.3300856982831728,2.0534585629525273,-0.6499472074418137,0.9853958251268349
_street_baseline,first_half,5,2024Q1,2025Q1,1.5717914485215911,1.4558788888556986,2.0965284293771314,-1.2021492749562892,1.0
m5_dispersion_only,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.7869452728492963,0.702679427505449,1.073940134781474,0.06864823999963968,0.6001819096841574
m5_m3_5050,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.7869452728492963,0.702679427505449,1.073940134781474,0.06864823999963968,0.6001819096841574
m5_60_plus_two_independent_40,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.8073186265243454,0.7408163731479024,0.9691452766141639,-0.2722247673140078,0.6157201163895473
family_equal_thirds,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.9903347494844799,0.8224852335210298,1.3008349489770392,-0.2709409079621853,0.7553015713787807
recommended_ws23_60_20_20,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.993248057729874,0.8210616225341448,1.1473376947567393,0.1251665097947047,0.7575234729093514
best_single_prior_mae,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.0036246200595804,0.7761440445607823,1.3513534722881466,-0.2725354925032889,0.7654373967994471
ew_three_least_correlated,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.0139096298646233,0.7863536089894881,1.2912681672229214,-0.6788779279665643,0.7732814960511787
invmae_all,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.018750451794557,0.8003510693057648,1.2590659688120607,-0.1986843363623855,0.7769734602202105
invmae_recency,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.0238626636543486,0.8037543395196143,1.2507267694843038,-0.16907584053718666,0.7808724061603907
family_B50_A30_C20,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.025484243823455,0.8181856511324086,1.2147354094483775,-0.01338865731214547,0.7821091415677671
ew_all,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.0390979412939245,0.8185551239913174,1.2665514529451591,-0.1594969458670313,0.7924919410172194
median_all,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.160221213078275,0.8873697946077044,1.366134759005137,-0.01629531017410919,0.8848693897100796
ew_top3_prior_mae,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.1728624874033255,0.9042673212579395,1.5975757822335066,-0.39652726850425746,0.8945105482849061
_street_baseline,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.3111779281441889,1.116338895524589,1.743516340312482,-1.126356841361538,1.0
m5_dispersion_only,second_half,5,2025Q2,2026Q2,0.7004096747519121,0.6479971941106162,0.901347985895547,-0.47469218791968404,0.6666984618685036
m5_m3_5050,second_half,5,2025Q2,2026Q2,0.7004096747519121,0.6479971941106162,0.901347985895547,-0.47469218791968404,0.6666984618685036
recommended_ws23_60_20_20,second_half,5,2025Q2,2026Q2,0.7626938616426088,0.6711227723209858,0.9027613893264339,-0.22960111492799767,0.7259848668049662
best_single_prior_mae,second_half,5,2025Q2,2026Q2,0.7802951972582463,0.651317479471852,1.0404305505549478,-0.24972298428023693,0.7427390376920735
invmae_all,second_half,5,2025Q2,2026Q2,0.7951520167515362,0.6551057828277079,1.0132031370671704,-0.04974076378996202,0.7568807879583628
invmae_recency,second_half,5,2025Q2,2026Q2,0.7954458935639976,0.6553196654022867,1.0134157718069516,-0.045473581553137875,0.7571605202720494
ew_top3_prior_mae,second_half,5,2025Q2,2026Q2,0.7968882434634146,0.7252327478631031,0.9422338829584426,-0.14310732956670122,0.7585334488509673
m5_60_plus_two_independent_40,second_half,5,2025Q2,2026Q2,0.8106166372319052,0.74414185084989,1.0231718716140346,-0.46156152624871966,0.7716010853204661
family_B50_A30_C20,second_half,5,2025Q2,2026Q2,0.8111068054410218,0.6880963115624371,0.9975901056578858,0.07833806404924744,0.7720676613870954
median_all,second_half,5,2025Q2,2026Q2,0.8139550971888816,0.6796140362367515,1.0070915392937716,-0.05072467878317397,0.7747788628391934
ew_all,second_half,5,2025Q2,2026Q2,0.8168315268665474,0.666929638090549,1.0425797817436615,0.008428172163625191,0.7775168479226403
