method,object,spec_id,target,n_params,n_obs,oracle,n_W1_equal,n_W2_equal,mae_W1_equal,mae_W1_recency,mae_W2_equal,mae_W2_recency,ratio_seasonal_naive_W1_equal,ratio_seasonal_naive_W2_equal,ratio_seasonal_naive_W1_recency,ratio_seasonal_naive_W2_recency,ratio_street_W1_equal,ratio_street_W2_equal,survives_both_equal,survives_both_recency,FLAG_rw_W2_win_vanishes_in_W1,FLAG_eq_W2_win_vanishes_in_W1,naive_error_removed_pp_W2_equal,error_removed_per_param
street-bias,dispersion_conditioned,rw_hl4,adj_ebitda_margin_pct,5,14,False,14,10,1.329812600239019,0.820465429271642,0.7434341416697261,0.6220216287507766,0.5944446322619665,0.3795245518153268,0.428958144751823,0.3544330559430756,0.8352684997640862,0.5669971448664988,True,True,False,False,0.6204754481846733,0.12409508963693465
street-bias,dispersion_conditioned,rw_hl4_usd,adj_ebitda_margin_pct,5,14,False,14,10,1.329812600239019,0.820465429271642,0.7434341416697261,0.6220216287507766,0.5944446322619665,0.3795245518153268,0.428958144751823,0.3544330559430756,0.8352684997640862,0.5669971448664988,True,True,False,False,0.6204754481846733,0.12409508963693465
street-bias,dispersion_conditioned,rw_hl4_med,adj_ebitda_margin_pct,5,14,False,14,10,1.2232269750553424,0.8597211937888567,0.7869452728492966,0.7026794275054494,0.5467993830326132,0.4017370675370497,0.4494819588180263,0.4003925351265792,0.7683210101496962,0.600181909684158,True,True,False,False,0.5982629324629503,0.11965258649259006
street-bias,street_plus_flowthrough,rw_hl4,adj_ebitda_margin_pct,6,14,False,14,10,1.6607963792190017,1.133875761485544,0.9871797799496852,0.9266365662703232,0.7423989611238437,0.5039571665421322,0.592816254863635,0.5280051605140893,1.0431626981384794,0.752895361308375,True,True,False,False,0.4960428334578678,0.08267380557631131
street-bias,street_plus_flowthrough,rw_hl4_usd,adj_ebitda_margin_pct,6,14,False,14,10,1.6607963792190017,1.133875761485544,0.9871797799496852,0.9266365662703232,0.7423989611238437,0.5039571665421322,0.592816254863635,0.5280051605140893,1.0431626981384794,0.752895361308375,True,True,False,False,0.4960428334578678,0.08267380557631131
street-bias,street_plus_flowthrough,rw_hl4_med,adj_ebitda_margin_pct,6,14,False,14,10,1.548492300753299,1.1324327197945816,1.0219302042859029,0.9797300043812306,0.6921974841540327,0.5216973246575156,0.5920617995697608,0.5582582395878287,0.9726233912311938,0.779398571582363,True,True,False,False,0.4783026753424844,0.07971711255708074
street-bias,street_plus_flowthrough,rw_hl4_from21,adj_ebitda_margin_pct,6,14,False,14,10,1.85810816396419,1.3466791781040055,1.085369042838937,1.1292241885866547,0.8306000590099099,0.5540829731232292,0.704074761965562,0.6434412591237542,1.167096189519344,0.8277816607049997,True,True,False,False,0.4459170268767708,0.0743195044794618
street-bias,street_plus_bias,rw_hl4,adj_ebitda_margin_pct,3,14,False,14,10,1.5994726552413805,1.0174651245787705,1.1885097760058585,0.8759782652573893,0.714986407999998,0.60673651475526,0.531954103875461,0.4991396426494486,1.0046446581398147,0.9064443127776322,True,True,False,False,0.39326348524474,0.13108782841491332
street-bias,street_plus_bias,rw_hl4_usd,adj_ebitda_margin_pct,3,14,False,14,10,1.5994726552413805,1.0174651245787705,1.1885097760058585,0.8759782652573893,0.714986407999998,0.60673651475526,0.531954103875461,0.4991396426494486,1.0046446581398147,0.9064443127776322,True,True,False,False,0.39326348524474,0.13108782841491332
street-bias,street_plus_flowthrough,ew,adj_ebitda_margin_pct,6,14,False,14,10,1.85897820538736,1.5711892903519276,1.2772760365185527,1.4230941093558758,0.8309889795643969,0.6520518605930751,0.821453798049247,0.8108907645005469,1.167642671177085,0.9741439427114064,True,True,False,False,0.34794813940692493,0.05799135656782082
