market,region,us,australia,europe,interval,interval_label,snapshot0,snapshot1,interval_days,n_vintages,matched_future_row_retention_pct,unavailable_row_retention_pct,stable_panel_listings,broad_rate_pct,stable_rate_pct,screened_rate_pct,short_run_rate_pct,short_run_reopened,short_run_initial_unavailable,short_run_top10_share_pct,broad_reclosed_pct,short_run_reclosed_pct,short_run_reopened_followed,short_run_d001_030_pct,short_run_d001_030_initial,short_run_d031_060_pct,short_run_d031_060_initial,short_run_d061_090_pct,short_run_d061_090_initial,short_run_d091_180_pct,short_run_d091_180_initial,short_run_rate_per90_pct
austin,NA_US,True,False,False,1,I1_Sep_to_Dec,2025-09-16,2025-12-22,97,5,86.62074396175663,82.45709615908471,540,40.26519941218687,46.96131378816268,47.86987240324792,20.611798980335035,283,1373,56.18374558303887,18.683019084188203,30.0,160.0,5.902777777777778,288,18.617021276595743,188,19.736842105263158,304,14.91442542787286,409,19.12434956938302
austin,NA_US,True,False,False,2,I2_Dec_to_Mar,2025-12-22,2026-03-25,93,5,64.66600045627914,56.853666415419404,540,39.87373737373737,42.14226452993319,43.11587650174396,8.174692049272117,146,1786,53.42465753424658,18.631525018500597,51.28205128205128,78.0,1.8867924528301887,583,8.142493638676845,393,15.428571428571427,175,11.397058823529411,272,7.910992305747211
austin,NA_US,True,False,False,3,I3_Mar_to_Jun,2026-03-25,2026-06-22,89,5,91.02273854340504,88.68358496627047,540,34.40841519603582,37.82805972535929,39.95924126038564,10.158730158730158,224,2205,44.642857142857146,18.280552717888057,38.46153846153847,130.0,9.975669099756692,411,20.16460905349794,243,9.46372239747634,317,8.73015873015873,1134,10.272873194221509
austin,NA_US,True,False,False,4,I4_Jun_to_Aug,2026-06-22,2026-08-25,64,5,91.18657012098835,89.45239505071555,540,23.580031464112857,29.113390473514123,32.50012087221389,9.952128999748048,395,3969,34.43037974683544,,,,11.38121546961326,905,8.584686774941995,1724,6.907378335949764,637,14.343434343434344,495,13.995181405895693
bangkok,APAC,False,False,False,1,I1_Sep_to_Dec,2025-09-26,2025-12-28,93,5,91.84843877072905,91.90768083156982,1213,32.4029024503209,48.16895336156831,50.82525226547253,10.353599592978886,407,3931,37.83783783783784,9.454510715536731,35.9375,128.0,7.169410515135423,1883,9.07003444316877,871,16.01123595505618,356,16.049382716049383,567,10.019612509334406
bangkok,APAC,False,False,False,2,I2_Dec_to_Mar,2025-12-28,2026-03-30,92,5,48.77374304790672,36.50151791628905,1213,50.576734657522046,52.271338093194444,53.826252298868496,22.3454157782516,524,2345,48.282442748091604,10.70241980535709,29.411764705882355,221.0,15.102974828375288,874,19.414893617021274,376,35.11450381679389,262,27.70700636942675,628,21.85964587002874
bangkok,APAC,False,False,False,3,I3_Mar_to_Jun,2026-03-30,2026-06-29,91,5,93.33966260132914,94.36126185921212,1213,46.36048616498577,47.095174566415785,48.29887386045403,17.825971965088602,674,3781,25.96439169139466,10.821995618187227,31.31578947368421,380.0,13.217213114754097,976,19.401041666666664,768,19.939577039274926,331,21.59090909090909,1144,17.63008216327444
bangkok,APAC,False,False,False,4,I4_Jun_to_Aug,2026-06-29,2026-08-30,62,5,94.53959406877695,93.59052725335755,1213,29.70059153930844,33.77038138152088,34.909590980883394,14.114490161001788,789,5590,29.02408111533587,,,,14.534883720930234,860,13.885647607934656,857,14.213197969543149,985,14.245921209709511,2513,20.488776040163884
barcelona,EMEA,False,False,True,1,I1_Sep_to_Dec,2025-09-14,2025-12-14,91,5,83.03140482003724,82.75363584749094,1209,28.773861231469116,34.77279769897582,45.01842909797423,8.996539792387544,494,5491,29.1497975708502,34.11364285899868,55.021834061135365,229.0,8.321579689703809,1418,8.902077151335313,674,9.12087912087912,910,8.185053380782918,1967,8.897676717745924
barcelona,EMEA,False,False,True,2,I2_Dec_to_Mar,2025-12-14,2026-03-21,97,5,82.28381779637466,79.36797235252521,1209,23.33450452372288,26.779155188246094,39.190339565532675,6.377067811592372,505,7919,29.306930693069305,24.5882140926293,59.3607305936073,219.0,4.402895054282268,1658,6.871165644171779,1630,4.196750902527076,2216,9.478908188585608,2015,5.916867041683645
