source_ref,sha256,bytes,treatment,information_date
data/processed/overnight/02_kpi_panel_quarterly.csv,c8a42085fb1bda12e979308257413ae877efd36c14b79152ecee558ccb8c16ac,16007,repo_read_only,2026-09-13
data/processed/forecast_methods/fx_lag_v2/fx_daily_2026-09-11.csv,0f848e437bb44278fb0dbd88eedf200c8b8d157b7750ff2d7357f378d5cbd0d4,1328483,repo_read_only,2026-09-13
analysis/src/forecast_methods/kernel_engine_v2/engine.py,328431c5f9379e6d4ae7e9c5d01212ee1bcd550b02c3c9783b85851e3e9a3279,25811,repo_read_only,2026-09-13
analysis/src/forecast_methods/fx_lag_v2/fetch_fx_v2.py,efe91edf0c83a865d415b933a0feec2bc1be3c6bef55dbb2bbbe8134c006ff5f,4787,repo_read_only,2026-09-13
data/processed/forecast_methods/harness/calendar.csv,8433249c908b2adf1a18e9d47aa8b81a0759471ef592aa926c4050a45880efe2,3423,repo_read_only,2026-09-13
data/raw/regulatory/quantification/abnb_2025_10k.json,e4f90f265209909d6f7ef87ffb8c43a622b6c09298b61ab8107a15e843a0cf34,436980,repo_read_only,2026-09-13
data/raw/regulatory/quantification/abnb_2026q2_10q.html,6c7458231b9bbd4369b701da6c0c44b3e710006ea37f725e928122888274bfc1,1391190,repo_read_only,2026-09-13
docs/revenue-forecast-strategy/05_backtests/ALPHA_F_RNPL.md,636850c6c887cd0efecd05322f2a8d2a59ab2146aa5ed13bcca4a115d024b6ee,21362,repo_read_only,2026-09-13
docs/revenue-forecast-strategy/05_backtests/L3_COHORT_FX_PREREG.md,686ebe8e4e860274fb52b0a730f045b41e22e8ac0e681ae6d86ea7bab0b1cf0d,5623,repo_read_only,2026-09-13
docs/revenue-forecast-strategy/05_backtests/L3_COHORT_FX_AUDIT_REPAIR_v2.md,eb6d739a1b506c38301faf136b691d0fc0bbd40b578b3fe60126a0554428a035,2274,repo_read_only,2026-09-13
docs/revenue-forecast-strategy/05_backtests/L3_COHORT_FX_PERIOD_COVERAGE_v2.md,36b1b3b05b9bf3cca7bc82c3a5c386243ca0f74c55bb10e35b6dc46cf39360af,1600,repo_read_only,2026-09-13
analysis/src/forecast_methods/cohort_fx_v2/engine.py,b6cf645f3b265475f5c676e17526bcb3f656950bcc79e7b5d34b4de200256860,11928,package_source,2026-09-13
analysis/src/forecast_methods/cohort_fx_v2/run.py,7e0eb300fedef876a59ff7ea3fa97ba6df5408314d720da939d1da0c17f8d859,16310,package_source,2026-09-13
EXTERNAL_FX_BUNDLE/FX_ENGINE_MENTAL_MAP.md,ef5f3ee682138c0739f56a831adbf1586fdc7c76c67c07a88e581a0e34c44475,5670,external_read_only_interface_audit_not_runtime_dependency,2026-09-13
EXTERNAL_FX_BUNDLE/reusable_r/fx-engine-validation.md,76cb9b865cdedc2189c6ed7472d20db1bab624f32734de4515fb1ec5fd23a050,6463,external_read_only_interface_audit_not_runtime_dependency,2026-09-13
EXTERNAL_FX_BUNDLE/reusable_r/fx_engine/README.md,f2440b1cefe831404a755d961c42b1a8a7c1b4147763c3c7ab493981b76cd240,11903,external_read_only_interface_audit_not_runtime_dependency,2026-09-13
EXTERNAL_FX_BUNDLE/reusable_r/fx_engine/contract.R,2a319596da11fe4f9a2501c6c569fad34c70486c8babedae367933f8858b37bc,5845,external_read_only_interface_audit_not_runtime_dependency,2026-09-13
EXTERNAL_FX_BUNDLE/reusable_r/fx_engine/engine.R,ed6306b5ae6b588c3877f4da42b92d439b71412a484fe95e0a033d5712583cac,5940,external_read_only_interface_audit_not_runtime_dependency,2026-09-13
