case,centre,sd,p_ge_4
base,3.52,1.68,0.3866
Q3 runs +6.5 (Aug/Sep hold +6),3.12,1.68,0.3004
Q3 runs +4.5 (Sep fades to +2),3.65,1.68,0.4168
FY26 forecast cut to +4.0 in Nov,2.55,1.68,0.1939
FY26 raised to +4.8,4.22,1.68,0.5519
no election/CR drag (adj +0.8),4.42,1.68,0.5982
shutdown in Dec (adj -1.5),1.92,1.68,0.107
AR phi 0.8 (persistence high),3.87,1.68,0.4684
AR phi 0.4,3.17,1.68,0.3096
sd 1.2,3.52,1.2,0.3437
sd 2.2,3.52,2.2,0.4131
"joint bull (Q3 6.5, FY 4.8, no drag, phi 0.8)",5.31,1.68,0.7821
"joint bear (Q3 4.5, FY 4.0, shutdown)",1.41,1.68,0.0615
