q2_assumed,q3_assumed,fy26_forecast,implied_q4
4.5,4.5,4.0,3.09
4.5,4.5,4.4,4.75
4.5,4.5,4.8,6.42
4.5,5.2,4.0,2.3
4.5,5.2,4.4,3.97
4.5,5.2,4.8,5.63
4.5,6.0,4.0,1.4
4.5,6.0,4.4,3.07
4.5,6.0,4.8,4.73
5.2,4.5,4.0,2.33
5.2,4.5,4.4,4.0
5.2,4.5,4.8,5.66
5.2,5.2,4.0,1.54
5.2,5.2,4.4,3.21
5.2,5.2,4.8,4.87
5.2,6.0,4.0,0.64
5.2,6.0,4.4,2.31
5.2,6.0,4.8,3.97
6.0,4.5,4.0,1.46
6.0,4.5,4.4,3.13
6.0,4.5,4.8,4.8
6.0,5.2,4.0,0.67
6.0,5.2,4.4,2.34
6.0,5.2,4.8,4.01
6.0,6.0,4.0,-0.23
6.0,6.0,4.4,1.44
6.0,6.0,4.8,3.11
