q3_case,q3_assumed,fy26_forecast,implied_q4
"Q3 +5.0 (Jul 8.2 actual, Aug ~5.0, Sep ~2)",5.0,4.0,1.59
"Q3 +5.0 (Jul 8.2 actual, Aug ~5.0, Sep ~2)",5.0,4.4,3.26
"Q3 +5.0 (Jul 8.2 actual, Aug ~5.0, Sep ~2)",5.0,4.8,4.92
"Q3 +5.5 (Jul 8.2 actual, Aug ~5.5, Sep ~3)",5.5,4.0,1.03
"Q3 +5.5 (Jul 8.2 actual, Aug ~5.5, Sep ~3)",5.5,4.4,2.69
"Q3 +5.5 (Jul 8.2 actual, Aug ~5.5, Sep ~3)",5.5,4.8,4.36
"Q3 +6.0 (Jul 8.2 actual, Aug ~6.0, Sep ~4)",6.0,4.0,0.46
"Q3 +6.0 (Jul 8.2 actual, Aug ~6.0, Sep ~4)",6.0,4.4,2.13
"Q3 +6.0 (Jul 8.2 actual, Aug ~6.0, Sep ~4)",6.0,4.8,3.8
measured 2026Q1,3.5333333333333337,,"mean of Jan +0.4, Feb +4.3, Mar +5.9 (Mar from the repo note)"
measured 2026Q2,5.6000000000000005,,"mean of Apr +4.4, May +4.0, Jun +8.4 (all snapshotted)"
