month,revpar_yoy_pct,revpar_usd,adr_yoy_pct,occ_yoy_pct,published,snapshot
2023-07,0.8,110.8,1.3,-0.5,2023-08-22,sources/lodging_monthly/costar-u-s-hotel-industry-showed-mixed-month-over-month-performance-in-july.html
2023-08,1.5,101.35,1.8,-0.3,2023-09-21,sources/lodging_monthly/costar-august-2023-u-s-hotel-performance-improved-year-over-year.html
2023-11,2.4,88.36,3.6,-1.2,2023-12-26,sources/lodging_monthly/costar-u-s-hotel-industry-reports-lower-performance-from-november.html
2024-01,0.9,75.99,2.7,-1.7,2024-02-22,sources/lodging_monthly/u-s-hotel-performance-lowered-in-january-2024.html
2024-04,2.0,102.51,0.8,1.2,2024-05-22,sources/lodging_monthly/costar-u-s-hotel-performance-showed-mixed-results-in-april-2024.html
2024-05,4.0,105.46,2.4,1.5,2024-06-20,sources/lodging_monthly/costar-may-u-s-hotel-performance-improves-from-previous-month.html
2024-06,1.5,112.33,1.5,0.0,2024-07-24,sources/lodging_monthly/costar-u-s-hotel-industry-improves-monthly-performance.html
2024-07,0.0,111.18,0.5,-0.5,2024-08-26,sources/lodging_monthly/costar-u-s-hotel-performance-remained-mostly-flat-in-july.html
2024-08,3.9,105.67,2.3,1.5,2024-09-24,sources/lodging_monthly/costar-u-s-hotel-industry-showed-mixed-performance-during-august.html
2024-09,-1.3,105.04,1.2,-2.5,2024-10-21,sources/lodging_monthly/costar-september-reports-mixed-u-s-hotel-performance-results.html
2024-12,4.4,83.3,3.3,1.1,2025-01-27,sources/lodging_monthly/costar-december-2024-shows-mixed-performance-results.html
2025-01,4.5,79.42,3.4,1.0,2025-02-25,sources/lodging_monthly/costar-u-s-hotel-industry-reports-lower-performance-from-january.html
2025-02,1.9,94.24,1.4,0.5,2025-03-21,sources/lodging_monthly/costar-february-2025-reports-mixed-u-s-hotel-industry-performance-results.html
2025-03,0.8,102.89,1.1,-0.3,2025-04-24,sources/lodging_monthly/costar-mixed-u-s-hotel-industry-performance-results-in-march.html
2025-04,-0.1,103.11,1.8,-1.9,2025-05-21,sources/lodging_monthly/costar-continues-to-report-mixed-monthly-performance-results.html
2025-05,0.1,106.3,0.8,-0.7,2025-06-20,sources/lodging_monthly/costar-steady-u-s-hotel-industry-performance-results-in-may.html
2025-06,-1.2,111.32,0.4,-1.7,2025-07-22,sources/lodging_monthly/costar-reports-mixed-u-s-hotel-industry-performance-results-in-june.html
2025-07,-1.1,110.37,-0.1,-1.0,2025-08-28,sources/lodging_monthly/costar-reports-negative-u-s-hotel-industry-performance-results-in-july.html
2025-08,-1.0,105.06,0.3,-1.3,2025-09-19,sources/lodging_monthly/costar-reports-mixed-u-s-hotel-industry-performance-results-in-august.html
2025-09,-2.1,103.19,-0.1,-1.9,2025-10-21,sources/lodging_monthly/costar-reports-negative-u-s-hotel-industry-performance-results-in-september.html
2025-10,-0.9,110.35,1.5,-2.4,2025-11-19,sources/lodging_monthly/costar-reports-mixed-u-s-hotel-industry-performance-results-in-october.html
2025-11,-2.3,88.97,0.6,-2.8,2025-12-22,sources/lodging_monthly/costar-reports-mixed-u-s-hotel-industry-performance-results-in-november.html
2026-01,0.4,79.69,0.6,-0.2,2026-02-26,sources/lodging_monthly/costar-reports-mostly-positive-u-s-hotel-industry-performance-results-in-january.html
2026-02,4.3,98.28,2.0,2.3,2026-04-01,sources/lodging_monthly/costar-reports-positive-u-s-hotel-industry-performance-results-in-february.html
2026-04,4.4,107.73,2.8,1.6,2026-06-09,sources/lodging_monthly/costar-reports-positive-u-s-hotel-industry-performance-results-in-april.html
2026-05,4.0,110.76,3.4,0.6,2026-06-24,sources/lodging_monthly/costar-reports-positive-u-s-hotel-industry-performance-results-in-may.html
2026-06,8.4,120.97,6.7,1.6,2026-07-27,sources/lodging_monthly/costar-reports-positive-u-s-hotel-industry-performance-results-in-june.html
2026-07,8.2,119.77,5.7,2.3,2026-08-26,sources/lodging_monthly/costar-reports-positive-u-s-hotel-industry-performance-results-in-july.html
