month,revpar_yoy_pct,published,snapshot
2023-07,0.8,2023-08-22,costar-u-s-hotel-industry-showed-mixed-month-over-month-performance-in-july.html
2023-08,1.5,2023-09-21,costar-august-2023-u-s-hotel-performance-improved-year-over-year.html
2023-11,2.4,2023-12-26,costar-u-s-hotel-industry-reports-lower-performance-from-november.html
2024-01,0.9,2024-02-22,u-s-hotel-performance-lowered-in-january-2024.html
2024-04,2.0,2024-05-22,costar-u-s-hotel-performance-showed-mixed-results-in-april-2024.html
2024-05,4.0,2024-06-20,costar-may-u-s-hotel-performance-improves-from-previous-month.html
2024-06,1.5,2024-07-24,costar-u-s-hotel-industry-improves-monthly-performance.html
2024-07,0.0,2024-08-26,costar-u-s-hotel-performance-remained-mostly-flat-in-july.html
2024-08,3.9,2024-09-24,costar-u-s-hotel-industry-showed-mixed-performance-during-august.html
2024-09,-1.3,2024-10-21,costar-september-reports-mixed-u-s-hotel-performance-results.html
2024-12,4.4,2025-01-27,costar-december-2024-shows-mixed-performance-results.html
2025-01,4.5,2025-02-25,costar-u-s-hotel-industry-reports-lower-performance-from-january.html
2025-02,1.9,2025-03-21,costar-february-2025-reports-mixed-u-s-hotel-industry-performance-results.html
2025-03,0.8,2025-04-24,costar-mixed-u-s-hotel-industry-performance-results-in-march.html
2025-04,-0.1,2025-05-21,costar-continues-to-report-mixed-monthly-performance-results.html
2025-05,0.1,2025-06-20,costar-steady-u-s-hotel-industry-performance-results-in-may.html
2025-06,-1.2,2025-07-22,costar-reports-mixed-u-s-hotel-industry-performance-results-in-june.html
2025-07,-1.1,2025-08-28,costar-reports-negative-u-s-hotel-industry-performance-results-in-july.html
2025-08,-1.0,2025-09-19,costar-reports-mixed-u-s-hotel-industry-performance-results-in-august.html
2025-09,-2.1,2025-10-21,costar-reports-negative-u-s-hotel-industry-performance-results-in-september.html
2025-10,-0.9,2025-11-19,costar-reports-mixed-u-s-hotel-industry-performance-results-in-october.html
2025-11,-2.3,2025-12-22,costar-reports-mixed-u-s-hotel-industry-performance-results-in-november.html
2026-01,0.4,2026-02-26,costar-reports-mostly-positive-u-s-hotel-industry-performance-results-in-january.html
2026-02,4.3,2026-04-01,costar-reports-positive-u-s-hotel-industry-performance-results-in-february.html
2026-03,5.9,2026-04 (repo note 06_consumer-choice section 1.2; STR release not saved),UNSAVED: research/notes/overnight/06_consumer-choice-and-willingness-to-pay.md
2026-04,4.4,2026-06-09,costar-reports-positive-u-s-hotel-industry-performance-results-in-april.html
2026-05,4.0,2026-06-24,costar-reports-positive-u-s-hotel-industry-performance-results-in-may.html
2026-06,8.4,2026-07-27,costar-reports-positive-u-s-hotel-industry-performance-results-in-june.html
2026-07,8.2,2026-08-26,costar-reports-positive-u-s-hotel-industry-performance-results-in-july.html
FY2023,4.9,2024-01-18,lodging_costar_fy2023_annual.html
FY2025,-0.3,2026-01-22,hoteldive_fy2025_us_hotel_performance_*.html
