year,q2,jul,q3,q4,d_q4_jul,d_q4_q2,d_q4_q3
2004,27.09,15.83,9.71,3.2,-12.62,-23.88,-6.51
2005,5.55,7.77,6.67,5.43,-2.34,-0.12,-1.24
2006,0.42,-1.29,-0.46,2.88,4.17,2.46,3.34
2007,7.41,9.85,12.25,12.49,2.65,5.08,0.24
2008,10.2,9.7,7.63,-2.73,-12.42,-12.93,-10.35
2009,-8.18,-7.21,-5.88,1.3,8.52,9.48,7.18
2010,8.7,15.27,13.08,8.78,-6.48,0.08,-4.29
2011,12.67,8.12,9.01,6.12,-2.0,-6.55,-2.89
2012,4.78,-6.59,2.08,5.48,12.07,0.7,3.4
2013,9.45,19.11,12.92,12.81,-6.3,3.36,-0.1
2014,9.09,6.59,5.89,2.95,-3.63,-6.14,-2.94
2015,8.61,13.61,10.5,10.21,-3.4,1.6,-0.29
2016,-4.07,-3.43,-2.63,-2.75,0.67,1.32,-0.12
2017,5.45,-0.36,0.01,3.48,3.84,-1.97,3.47
2018,1.98,1.24,1.44,1.2,-0.04,-0.78,-0.24
2019,3.73,-0.02,0.1,2.04,2.06,-1.69,1.94
2024,13.48,9.15,7.17,5.93,-3.23,-7.55,-1.24
2025,0.5,-3.09,-4.4,-2.55,0.54,-3.05,1.85
