month,overseas,yoy_pct
2023-01-01,1930467.0,323.71
2023-02-01,1791183.0,165.39
2023-03-01,2157606.0,174.43
2023-04-01,2583769.0,198.96
2023-05-01,2588488.0,168.7
2023-06-01,2551730.0,256.89
2023-07-01,3137570.0,305.03
2023-08-01,3340574.0,166.6
2023-09-01,2929318.0,72.35
2023-10-01,2982006.0,21.38
2023-11-01,2404745.0,23.89
2023-12-01,3071025.0,23.75
2024-01-01,2394242.0,24.02
2024-02-01,2253174.0,25.79
2024-03-01,2706146.0,25.42
2024-04-01,2820940.0,9.18
2024-05-01,3042475.0,17.54
2024-06-01,2901542.0,13.71
2024-07-01,3424737.0,9.15
2024-08-01,3595498.0,7.63
2024-09-01,3061483.0,4.51
2024-10-01,3153605.0,5.75
2024-11-01,2555748.0,6.28
2024-12-01,3249659.0,5.82
2025-01-01,2522578.0,5.36
2025-02-01,2198100.0,-2.44
2025-03-01,2391265.0,-11.64
2025-04-01,3047094.0,8.02
2025-05-01,2958732.0,-2.75
2025-06-01,2802955.0,-3.4
2025-07-01,3318992.0,-3.09
2025-08-01,3492907.0,-2.85
2025-09-01,2826200.0,-7.69
2025-10-01,3055342.0,-3.12
2025-11-01,2466985.0,-3.47
2025-12-01,3208088.0,-1.28
2026-01-01,2416502.0,-4.21
2026-02-01,2215408.0,0.79
2026-03-01,2476428.0,3.56
2026-04-01,2616826.0,-14.12
2026-05-01,2765264.0,-6.54
2026-06-01,2751222.0,-1.85
2026-07-01,3085919.0,-7.02
