match_no,round,group,date,time_local,datetime_utc,team1,team2,ground,city,ft1,ft2,et,pens
1,Matchday 1,Group A,2026-06-11,13:00 UTC-6,2026-06-11T19:00:00Z,Mexico,South Africa,Mexico City,Mexico City,2,0,,
2,Matchday 1,Group A,2026-06-11,20:00 UTC-6,2026-06-12T02:00:00Z,South Korea,Czech Republic,Guadalajara (Zapopan),Guadalajara,2,1,,
3,Matchday 8,Group A,2026-06-18,12:00 UTC-4,2026-06-18T16:00:00Z,Czech Republic,South Africa,Atlanta,Atlanta,1,1,,
4,Matchday 8,Group A,2026-06-18,19:00 UTC-6,2026-06-19T01:00:00Z,Mexico,South Korea,Guadalajara (Zapopan),Guadalajara,1,0,,
5,Matchday 14,Group A,2026-06-24,19:00 UTC-6,2026-06-25T01:00:00Z,Czech Republic,Mexico,Mexico City,Mexico City,0,3,,
6,Matchday 14,Group A,2026-06-24,19:00 UTC-6,2026-06-25T01:00:00Z,South Africa,South Korea,Monterrey (Guadalupe),Monterrey,1,0,,
7,Matchday 2,Group B,2026-06-12,15:00 UTC-4,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,Toronto,Toronto,1,1,,
8,Matchday 3,Group B,2026-06-13,12:00 UTC-7,2026-06-13T19:00:00Z,Qatar,Switzerland,San Francisco Bay Area (Santa Clara),San Francisco Bay Area,1,1,,
9,Matchday 8,Group B,2026-06-18,12:00 UTC-7,2026-06-18T19:00:00Z,Switzerland,Bosnia & Herzegovina,Los Angeles (Inglewood),Los Angeles,4,1,,
10,Matchday 8,Group B,2026-06-18,15:00 UTC-7,2026-06-18T22:00:00Z,Canada,Qatar,Vancouver,Vancouver,6,0,,
11,Matchday 14,Group B,2026-06-24,12:00 UTC-7,2026-06-24T19:00:00Z,Switzerland,Canada,Vancouver,Vancouver,2,1,,
12,Matchday 14,Group B,2026-06-24,12:00 UTC-7,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,Seattle,Seattle,3,1,,
13,Matchday 3,Group C,2026-06-13,18:00 UTC-4,2026-06-13T22:00:00Z,Brazil,Morocco,New York/New Jersey (East Rutherford),New York/New Jersey,1,1,,
14,Matchday 3,Group C,2026-06-13,21:00 UTC-4,2026-06-14T01:00:00Z,Haiti,Scotland,Boston (Foxborough),Boston,0,1,,
15,Matchday 9,Group C,2026-06-19,18:00 UTC-4,2026-06-19T22:00:00Z,Scotland,Morocco,Boston (Foxborough),Boston,0,1,,
16,Matchday 9,Group C,2026-06-19,20:30 UTC-4,2026-06-20T00:30:00Z,Brazil,Haiti,Philadelphia,Philadelphia,3,0,,
17,Matchday 14,Group C,2026-06-24,18:00 UTC-4,2026-06-24T22:00:00Z,Scotland,Brazil,Miami (Miami Gardens),Miami,0,3,,
18,Matchday 14,Group C,2026-06-24,18:00 UTC-4,2026-06-24T22:00:00Z,Morocco,Haiti,Atlanta,Atlanta,4,2,,
19,Matchday 2,Group D,2026-06-12,18:00 UTC-7,2026-06-13T01:00:00Z,USA,Paraguay,Los Angeles (Inglewood),Los Angeles,4,1,,
20,Matchday 3,Group D,2026-06-13,21:00 UTC-7,2026-06-14T04:00:00Z,Australia,Turkey,Vancouver,Vancouver,2,0,,
