id,stage,group,datetime,teamA,teamB,venue,city,matchday
m001,group,A,2026-06-11T23:00:00Z,Mexico,South Africa,Estadio Azteca,Mexico City,1.0
m002,group,A,2026-06-11T20:00:00Z,Korea Republic,Czechia,Estadio Guadalajara,Guadalajara,1.0
m003,group,B,2026-06-12T01:00:00Z,Canada,Bosnia and Herzegovina,BMO Field,Toronto,1.0
m004,group,D,2026-06-12T02:00:00Z,United States,Paraguay,SoFi Stadium,Los Angeles,1.0
m005,group,C,2026-06-12T23:00:00Z,Brazil,Morocco,MetLife Stadium,New York/New Jersey,1.0
m006,group,E,2026-06-13T01:00:00Z,Germany,Côte d'Ivoire,AT&T Stadium,Dallas,1.0
m007,group,F,2026-06-13T20:00:00Z,Netherlands,Japan,Estadio Monterrey,Monterrey,1.0
m008,group,G,2026-06-13T23:00:00Z,Belgium,Egypt,Lincoln Financial Field,Philadelphia,1.0
m009,group,A,2026-06-18T23:00:00Z,Mexico,Korea Republic,Estadio Azteca,Mexico City,2.0
m010,group,B,2026-06-19T01:00:00Z,Canada,Qatar,Commonwealth Stadium,Edmonton,2.0
m011,group,D,2026-06-20T20:00:00Z,United States,Australia,Hard Rock Stadium,Miami,2.0
m012,group,A,2026-06-25T23:00:00Z,South Africa,Czechia,Estadio León,León,3.0
m013,group,C,2026-06-26T20:00:00Z,Brazil,Scotland,NRG Stadium,Houston,3.0
m014,round-of-32,,2026-06-28T20:00:00Z,Winner Group A,Runner-up Group B,Estadio Azteca,Mexico City,
m015,round-of-32,,2026-06-29T23:00:00Z,Winner Group C,Runner-up Group D,SoFi Stadium,Los Angeles,
m016,round-of-32,,2026-06-30T20:00:00Z,Winner Group E,Runner-up Group F,AT&T Stadium,Dallas,
m017,round-of-16,,2026-07-04T20:00:00Z,Winner R32-1,Winner R32-2,MetLife Stadium,New York/New Jersey,
m018,round-of-16,,2026-07-05T23:00:00Z,Winner R32-3,Winner R32-4,BMO Field,Toronto,
m019,quarter-final,,2026-07-09T23:00:00Z,Winner R16-1,Winner R16-2,AT&T Stadium,Dallas,
m020,quarter-final,,2026-07-10T20:00:00Z,Winner R16-3,Winner R16-4,Lincoln Financial Field,Philadelphia,
m021,semi-final,,2026-07-14T23:00:00Z,Winner QF-1,Winner QF-2,AT&T Stadium,Dallas,
m022,semi-final,,2026-07-15T23:00:00Z,Winner QF-3,Winner QF-4,Mercedes-Benz Stadium,Atlanta,
m023,third-place,,2026-07-18T20:00:00Z,Loser SF-1,Loser SF-2,Hard Rock Stadium,Miami,
m024,final,,2026-07-19T20:00:00Z,Winner SF-1,Winner SF-2,MetLife Stadium,New York/New Jersey,
