city,timezone,cc,name,capacity,coords
Vancouver,UTC-7,ca,BC Place,54000,"49°16'36""N 123°6'43""W"
Seattle,UTC-7,us,Lumen Field,69000,"47°35'43""N 122°19'54""W"
San Francisco Bay Area (Santa Clara),UTC-7,us,Levi's Stadium,71000,37.403°N 121.970°W
Los Angeles (Inglewood),UTC-7,us,SoFi Stadium,70000,33.953°N 118.339°W
Guadalajara (Zapopan),UTC-6,mx,Estadio Akron,48000,"20°40'54""N 103°27'46""W"
Mexico City,UTC-6,mx,Estadio Azteca,83000,"19°18'11""N 99°09'02""W"
Monterrey (Guadalupe),UTC-6,mx,Estadio BBVA,53500,"25°40'9""N 100°14'40""W"
Houston,UTC-5,us,NRG Stadium,72000,"29°41'5""N 95°24'39""W"
Dallas (Arlington),UTC-5,us,AT&T Stadium,94000,"32°44'52""N 97°5'34""W"
Kansas City,UTC-5,us,Arrowhead Stadium,73000,"39°2'56""N 94°29'2""W"
Atlanta,UTC-4,us,Mercedes-Benz Stadium,75000,"33°45'20""N 84°24'00""W"
Miami (Miami Gardens),UTC-4,us,Hard Rock Stadium,65000,"25°57'29""N 80°14'20""W"
Toronto,UTC-4,ca,BMO Field,45000,"43°38'0""N 79°25'07""W"
Boston (Foxborough),UTC-4,us,Gillette Stadium,65000,42.091°N 71.264°W
Philadelphia,UTC-4,us,Lincoln Financial Field,69000,"39°54'3""N 75°10'3""W"
New York/New Jersey (East Rutherford),UTC-4,us,MetLife Stadium,82500,"40°48'48.7""N 74°4'27.7""W"
