model,target,window,fx_estimator,n,rmse_pp,rmse_naive_pp,ratio_vs_naive,jackknife_ratio_min,jackknife_ratio_max,jackknife_n,jackknife_below_1,baseline_status
v3_last_q_measured_mix,t1_exfx_integer_fair,1Q24-2Q26,none,10,0.894427191,0.908295106229,0.984731927835,0.921132372944,1.08012344973,10,8,available
v3_point_last_q_plus_K_line_measured_mix,t1_exfx_integer_fair,1Q24-2Q26,none,10,0.894427191,0.908295106229,0.984731927835,0.921132372944,1.08012344973,10,8,available
v3_last_q_measured_mix,t1_exfx_integer_fair,2Q24-2Q26,none,9,0.881917103688,0.816496580928,1.08012344973,1,1.18321595662,9,0,available
v3_point_last_q_plus_K_line_measured_mix,t1_exfx_integer_fair,2Q24-2Q26,none,9,0.881917103688,0.816496580928,1.08012344973,1,1.18321595662,9,0,available
v3_last_q_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,eur,10,1.0985575506,1.19884558756,0.916346160008,0.87112278517,0.968863118272,10,10,available
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,eur,10,1.09285143942,1.19884558756,0.911586488506,0.865244350467,0.965831101061,10,10,available
v3_last_q_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,eur,9,0.93517027504,1.03291634129,0.90536884514,0.825615299655,0.989083842333,9,9,available
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,eur,9,0.927712045632,1.03291634129,0.89814828999,0.815429257773,0.984107592798,9,9,available
v3_last_q_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,baskets,10,0.831299766208,0.948533905387,0.876404903912,0.785671102639,0.918023462427,10,10,available
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,baskets,10,0.828543988246,0.948533905387,0.873499601374,0.781545545275,0.916276356802,10,10,available
v3_last_q_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,baskets,9,0.782901390729,0.898466942365,0.871374731571,0.745945462994,0.923652942821,9,9,available
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,baskets,9,0.779648758526,0.898466942365,0.867754529147,0.740184392267,0.921439706453,9,9,available
v3_last_q_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,midpoint,10,0.932035069964,1.04317737286,0.893457904873,0.82494464144,0.944574768418,10,10,available
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,midpoint,10,0.927442763493,1.04317737286,0.889055675118,0.819083056286,0.941841132384,10,10,available
v3_last_q_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,midpoint,9,0.821885426535,0.932113805392,0.881743647375,0.768315026215,0.955238944086,9,9,available
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,midpoint,9,0.81609285748,0.932113805392,0.875529203365,0.758670948284,0.951192822488,9,9,available
