quarter,cpi_lodging_yoy_pct_months,cpi_lodging_yoy_pct,bea_hotels_price_yoy_pct_months,bea_hotels_price_yoy_pct,adr_exfx_yoy_pp,adr_yoy_reported_pp
2023Q1,3,7.1138303552,3,7.93751959764,3,0.214196465758
2023Q2,3,3.79442184408,3,4.00020752867,2,1.38634420423
2023Q3,3,5.56783332413,3,5.95856759269,0.5,3.15776016364
2023Q4,3,0.612552671493,3,0.213633519046,0.5,2.56527714155
2024Q1,3,-0.581057983066,3,-0.877925186135,2,2.64204714125
2024Q2,3,-1.16750081234,3,-1.71105264503,3,2.12035419553
2024Q3,3,-0.912487104576,3,-1.43598106772,2,1.40042136572
2024Q4,3,1.80902990142,3,1.75912786983,2,0.89325591782
2025Q1,3,0.490778475094,3,-0.048265416953,1,-0.890791300324
2025Q2,3,-1.55871466452,3,-2.58513026062,1,2.91983719696
2025Q3,3,-1.92192008733,3,-3.13558509411,2,4.67489611342
2025Q4,2,,3,-3.18418511268,3,5.93182824259
2026Q1,3,-0.147968354388,3,-2.19010752951,4,9.03466791175
2026Q2,3,4.72248182911,3,4.95955649647,4,5.30146721687
2026Q3,1,,1,,,
