id,metric,unit,definition,reference,score,source,rounding,status,observed_value,outcome,publication_path,page_or_table,retrieved_at_utc,restatement_version,conversion_status
L4-C01,2026Q3 consolidated revenue conversion,%,100 * Q3 revenue USDm / 27866.666666666664; fixed card denominator (2*27200+29200)/3,warning 17.09%; escalation 16.93%,NO ALARM if lambda interval low>=17.09; WARN if low>=16.93 and high<17.09; ESCALATE if high<16.93; otherwise AMBIGUOUS; missing=ABSENT,Q3 2026 shareholder letter/10-Q revenue; frozen F lambda_card_rule.json,Integer USDm revenue +/-0.5; denominator fixed by definition,UNSIGNED diagnostic; cannot identify RNPL cancellations,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C02,2026Q4 guide midpoint,USD millions,Arithmetic mean of management's Q4 revenue guide endpoints,review_with_k 3123.419115173,Report midpoint minus each frozen scenario; absolute and % error; endpoint-rounding interval versus forecast. No arbitrary hit tolerance. Score versus each vendor separately.,Q3 letter: Q4 revenue guidance; L4 forecast snapshot; dated consensus snapshot,Round each published endpoint by half its stated precision; midpoint extrema average endpoint extrema,UNSIGNED forecast comparison; no probability of beat/miss asserted,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C03,2026Q3 revenue,USD millions,Reported consolidated revenue for quarter ended 30 September 2026,review_with_k 4808.362929494,Report observed interval minus each scenario. No guide hit awarded by comparing revenue with Q4 guide.,Q3 letter/10-Q; L4 forecast snapshot,Whole USDm +/-0.5,UNSIGNED; current-quarter nights absent from two-lag revenue equation,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C04,2026Q3 take rate jointly with GBV,%; USD millions,100 * Q3 consolidated revenue / Q3 GBV; show both denominator and revenue,Inherited diagnostic 18.10% with GBV >=26300 USDm; adoption open,Apply ratio extrema using both rounding intervals; pair threshold only wholly met when TR low>=18.10 and GBV low>=26300. Crossing=AMBIGUOUS. Never a cover/reverse instruction.,Q3 letter revenue and GBV; AGENT_BRIEF proposed joint diagnostic,Use precision of original units: USD billions to USDm before half-unit bounds; do not assume GBV exact,UNSIGNED candidate; cutoff not newly calibrated,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C05,2026Q3 reported ADR,USD/night; percentage-point YoY,Company reported blended ADR and its like-for-like prior-year comparison,"ADR v3 midpoint with-K 177.17; central scenario bounds [174.76,179.58]","Report point error and whether printed interval overlaps scenario band; band is RSS sensitivity, not a coverage-calibrated prediction interval. Preserve separate reported-dollar and integer-fair ex-FX target scores.",Q3 letter ADR and FX/ex-FX disclosures; committed ADRv3 P card and S harness,ADR printed to cents +/-0.005 USD; whole-point ex-FX +/-0.5pp; respect explicit <1% intervals,UNSIGNED; ADR history n=10/9 differs from main W1/W2,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C06,2026Q4 nights guidance,Exact quoted words; % only if disclosed,"Management's prospective Q4 nights growth language, with full context",Record whether explicitly low double digit or stronger; do not translate a model's 10% into management words,Human classify exact quote as at_least_low / below_low / ambiguous; omitted=ABSENT. Quantified statement preserved as interval with stated precision.,Q3 letter/earnings remarks; exact document/page/time,No invented numerical mapping for high single digit/low double digit,UNSIGNED input to proposed F conjunction,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C07,Q3 UF growth less Q3 GBV growth,percentage points YoY,100*(UF26Q3/UF25Q3-1) - 100*(GBV26Q3/GBV25Q3-1),Proposed F gap strictly above -8pp,Form ratio extrema for each growth series then difference extrema. Criterion holds only if entire gap interval >-8pp; crossing or equality=inconclusive; missing=ABSENT.,Q3 2026/2025 comparative 10-Q UF balances and letter GBV,All four observations have their disclosed precision; use low current/high prior for growth minimum,Cleaner payment-timing diagnostic; not an identified RNPL exposure share,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C08,Q3 funds payable growth,% YoY,100*(FP26Q3/FP25Q3-1); compare documented prior base 7209 USDm,"Neutral descriptive band [5,11]%",Wholly inside=INSIDE; wholly below/above=BELOW/ABOVE; boundary crossing=AMBIGUOUS. Require translation/noncash reconciliation before any interpretation.,Comparative 10-Q funds payable and cash-flow/accounting notes,Whole USDm balances +/-0.5 on numerator and denominator,UNSIGNED; inside band does not mean deferral on schedule,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C09,Stated revenue FX and cohort FX,pp YoY; USDm; dimensionless multiplier separately,Management's stated after-hedge revenue FX contribution versus L3 currency-timing output when accepted,L3 cohort recognition FX pending; no central value assigned,Record stated integer contribution as interval and hedge wording separately. No score against absent L3 estimate. Do not add full FX factor to USD-GBV revenue; do not equate contribution change with level multiplier.,Q3 letter/10-Q FX and hedging disclosures; future versioned L3 adapter,Whole percentage contribution +/-0.5pp; no fabricated precision,PENDING INTEGRATION; baseline pending is not zero,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C10,Product-bundle contribution and cancellation language,Exact words; pp if disclosed,"Record bundle scope (RNPL, cancellation redesign, price display/fees) and any quantified nights/GBV/ADR contribution",No bundle component assumed to equal RNPL alone,"Save exact statement with period/denominator. Omitted amount=ABSENT, not zero; a quantified bundle is not feature-specific causation.",Q3 letter/earnings remarks; exact quotation and publication stamp,Stated numerical precision; preserve more than/approximately language,UNSIGNED descriptive evidence,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
L4-C11,F combined proposed refutation condition,Three observable conditions,ALL: lambda interval >=17.09%; UF-minus-GBV growth interval strictly >-8pp; explicit Q4 nights wording low double digit or stronger,ALPHA_F_RNPL.md single D-10 option; not adopted,"All true=PROPOSED REFUTATION CONDITION MET; any missing=ABSENT; otherwise INCONCLUSIVE. Does not validate the opposite thesis, identify a causal RNPL effect or authorize a trade.",C01/C06/C07 with primary publication fields,Inherit each input's conservative interval and exact quote review,UNSIGNED proposed thesis-condition only,,NOT YET SCORED,,,,,Fixed 2/3 K0 benchmark provisional pending accepted L3 conversion validation
