scenario,quarter,recomputed,committed,abs_diff
base,3Q26,778.3158128157291,778.3158128157291,0.0
base,4Q26,758.1075295918367,758.1075295918367,0.0
base,1Q27,829.2717874113573,829.2717874113573,0.0
base,2Q27,935.1362709106796,935.1362709106796,0.0
base,3Q27,819.9308035731818,819.9308035731818,0.0
base,4Q27,875.2847818734812,875.2847818734812,0.0
cost_bull,3Q26,785.4077057773961,785.4077057773961,0.0
cost_bull,4Q26,713.7300387755104,713.7300387755104,0.0
cost_bull,1Q27,787.5690391462649,787.5690391462649,0.0
cost_bull,2Q27,888.1097675479157,888.1097675479157,0.0
cost_bull,3Q27,778.6977984049427,778.6977984049427,0.0
cost_bull,4Q27,831.268113909074,831.268113909074,0.0
cost_bear,3Q26,767.1727295208649,767.1727295208649,0.0
cost_bear,4Q26,802.4850204081633,802.4850204081633,0.0
cost_bear,1Q27,885.1385732027454,885.1385732027454,0.0
cost_bear,2Q27,998.1349868030958,998.1349868030958,0.0
cost_bear,3Q27,875.1683014144792,875.1683014144792,0.0
cost_bear,4Q27,934.2513934930938,934.2513934930938,0.0
evidence_only,3Q26,710.1639704081633,710.1639704081633,0.0
evidence_only,4Q26,758.1075295918367,758.1075295918367,0.0
evidence_only,1Q27,810.4853912925,810.4853912925,0.0
evidence_only,2Q27,913.9516114574999,913.9516114575,1.1368683772161603e-13
evidence_only,3Q27,801.3560189249998,801.3560189249998,0.0
evidence_only,4Q27,855.456003325,855.456003325,0.0
