acquired_at_utc,country,region,city,snapshot_date,kind,http_status,classification,bytes,row_count,sha256,local_path,url,license_tier
2026-09-05T19:05:06+00:00,united-states,ny,albany,2026-07-15,listings,200,ok,262402,484,441fee28c7ef0d199207d42b0cb3fab1a757ff9d228561ed97041a80ed8dc853,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/ny/albany/2026-07-15/listings.csv.gz,https://data.insideairbnb.com/united-states/ny/albany/2026-07-15/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:05:12+00:00,united-states,nc,asheville,2026-06-25,listings,200,ok,1841311,2865,b50fb547cc32757867e55b435a36a9c77faa03100b28cfaf0f195252a1865ee5,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/nc/asheville/2026-06-25/listings.csv.gz,https://data.insideairbnb.com/united-states/nc/asheville/2026-06-25/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:05:18+00:00,united-states,tx,austin,2026-06-22,listings,200,ok,7647862,11295,5e2b0267729ea2f6c61c06e58621abae4a88ff852594ad9ccf1dec0a0d4f4c05,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/tx/austin/2026-06-22/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/austin/2026-06-22/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:05:25+00:00,united-states,ma,boston,2026-06-15,listings,200,ok,2463465,4378,cf72d109ae7da76987160db61fb2c069671bbfbe1cf1b27b8a97507ac6b2093b,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/ma/boston/2026-06-15/listings.csv.gz,https://data.insideairbnb.com/united-states/ma/boston/2026-06-15/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:05:30+00:00,united-states,mt,bozeman,2026-07-16,listings,200,ok,357060,591,58f05995b538f0c5f05b94f3523526b64ba5a02cbdce1783f11dc2dcf6254bcd,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/mt/bozeman/2026-07-16/listings.csv.gz,https://data.insideairbnb.com/united-states/mt/bozeman/2026-07-16/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:05:38+00:00,united-states,fl,broward-county,2026-06-29,listings,200,ok,10459121,17698,d1d852ea6b13d0fb33c82ef48bbddc83bd33c004bf957cebfe99cb1e04613ad7,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/fl/broward-county/2026-06-29/listings.csv.gz,https://data.insideairbnb.com/united-states/fl/broward-county/2026-06-29/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:05:43+00:00,united-states,ma,cambridge,2026-06-29,listings,200,ok,690937,1438,7d8b7fe4202a934219ac7a143c6f7962f3ebb97e1d4b55542e9d8941b868931f,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/ma/cambridge/2026-06-29/listings.csv.gz,https://data.insideairbnb.com/united-states/ma/cambridge/2026-06-29/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:05:50+00:00,united-states,il,chicago,2026-06-24,listings,200,ok,5059667,8660,8f0e61e8eef19a0af6a9337cf72442375e390b32784fa4f32b4f9c14c9cc9f69,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/il/chicago/2026-06-24/listings.csv.gz,https://data.insideairbnb.com/united-states/il/chicago/2026-06-24/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:05:57+00:00,united-states,nv,clark-county-nv,2026-06-27,listings,200,ok,10896876,20234,447347e406a992d49d63704daf71539bf87823ac29ff29e9fd42ff81af242307,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/nv/clark-county-nv/2026-06-27/listings.csv.gz,https://data.insideairbnb.com/united-states/nv/clark-county-nv/2026-06-27/data/listings.csv.gz,cc_by_4_0
2026-09-05T19:06:03+00:00,united-states,oh,columbus,2026-06-29,listings,200,ok,1763740,2959,f1eec23a946f953e1df3ee77f7a92276396c1961cba5dbdc2fc54e495d049e32,/Volumes/PortableSSD/ABNB_DATA_EXPANSION/raw_expansion/v2_2026-09-05/inside_airbnb_current/united-states/oh/columbus/2026-06-29/listings.csv.gz,https://data.insideairbnb.com/united-states/oh/columbus/2026-06-29/data/listings.csv.gz,cc_by_4_0
