acquired_at_utc,global_id,title,file_name,bytes,sha256,local_path,http_status,classification,license,license_tier
2026-09-05T19:45:09+00:00,doi:10.7910/DVN/MTPD7M,AirBnB Data,airbnb_column_definitions.xlsx,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/airbnb_column_definitions.xlsx,403,source-restriction,,open_repo
2026-09-05T19:45:11+00:00,doi:10.7910/DVN/MTPD7M,AirBnB Data,Iceland-reykjavik_Airbnb_Review_Extended_2022-01-14.zip,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Iceland-reykjavik_Airbnb_Review_Extended_2022-01-14.zip,403,source-restriction,,open_repo
2026-09-05T19:45:13+00:00,doi:10.7910/DVN/MTPD7M,AirBnB Data,Italy-venice_Airbnb_Review_2020-09-10.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Italy-venice_Airbnb_Review_2020-09-10.csv,403,source-restriction,,open_repo
2026-09-05T19:45:15+00:00,doi:10.7910/DVN/MTPD7M,AirBnB Data,Italy-venice_Monthly_Match_2020-09-10.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Italy-venice_Monthly_Match_2020-09-10.csv,403,source-restriction,,open_repo
2026-09-05T19:45:16+00:00,doi:10.7910/DVN/MTPD7M,AirBnB Data,Italy-venice_Property_Match_2020-09-10.tab,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Italy-venice_Property_Match_2020-09-10.tab,403,source-restriction,,open_repo
2026-09-05T19:45:18+00:00,doi:10.7910/DVN/MTPD7M,AirBnB Data,MSA_boston-cambridge-newton-ma-nh_Daily_Match_2019-04-23.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/MSA_boston-cambridge-newton-ma-nh_Daily_Match_2019-04-23.csv,403,source-restriction,,open_repo
2026-09-05T19:45:20+00:00,doi:10.7910/DVN/GXLZXF,"Airbnb in Greater Boston, MA",AIRBNB.CT.tab,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_GXLZXF/AIRBNB.CT.tab,400,local-fault,CC0 1.0,open_repo
2026-09-05T19:45:22+00:00,doi:10.7910/DVN/GXLZXF,"Airbnb in Greater Boston, MA",AIRBNB.CT.zip,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_GXLZXF/AIRBNB.CT.zip,400,local-fault,CC0 1.0,open_repo
2026-09-05T19:45:23+00:00,doi:10.7910/DVN/GXLZXF,"Airbnb in Greater Boston, MA",AIRBNB.Listing.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_GXLZXF/AIRBNB.Listing.csv,400,local-fault,CC0 1.0,open_repo
2026-09-05T19:46:38+00:00,doi:10.7910/DVN/1XPDEU,Replication Data for 'To Airbnb: A Question of Revenues,ltr_data.tab,657395208,d63da65704a87bfe15e0dd26d17af0fefce1b2217057d88d6aa839519c7d55d6,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_1XPDEU/ltr_data.tab,200,ok,CC0 1.0,open_repo
