acquired_at_utc,repo,record_id,title,file_name,bytes,sha256,local_path,http_status,classification,license,landing_url,license_tier
2026-09-05T19:43:29+00:00,zenodo,3739298,Active Apartments on Airbnb in Vienna March 2020,vienna-2020-03-active.csv,23,,raw_expansion/v2_2026-09-05/zenodo/3739298/vienna-2020-03-active.csv,200,ok,mit-0,https://zenodo.org/records/3739298,open_repo
2026-09-05T19:43:32+00:00,zenodo,14063523,Barcelona Airbnb,Barcelona_Airbnb.csv,188460,3f703e62686f1b3f6fc011bb4dd2af65d188c9913082ab4656762a14391ce2bf,raw_expansion/v2_2026-09-05/zenodo/14063523/Barcelona_Airbnb.csv,200,ok,cc-by-4.0,https://zenodo.org/records/14063523,open_repo
2026-09-05T19:43:35+00:00,zenodo,14617440,Barcelona Airbnb 100 rows,data.csv,280946,3138616ccdda4e9323c0a942279cee3cba6aedfa879ab8a7435143a689d6be4a,raw_expansion/v2_2026-09-05/zenodo/14617440/data.csv,200,ok,cc-by-4.0,https://zenodo.org/records/14617440,open_repo
2026-09-05T19:43:41+00:00,zenodo,8101910,AirBSet: Um Conjunto de Dados com Imóveis Brasileiros do Airbnb e respectivas Avaliações,AirBSet.zip,1802801,a7d2742e58af0eb3e76f342efc5602599cf55642738d966a575ef773425f6c44,raw_expansion/v2_2026-09-05/zenodo/8101910/AirBSet.zip,200,ok,cc-by-4.0,https://zenodo.org/records/8101910,open_repo
2026-09-05T19:43:51+00:00,zenodo,3739298,Active Apartments on Airbnb in Vienna March 2020,vienna-2020-03-active.csv,23,,raw_expansion/v2_2026-09-05/zenodo/3739298/vienna-2020-03-active.csv,200,ok,mit-0,https://zenodo.org/records/3739298,open_repo
2026-09-05T19:43:54+00:00,zenodo,14063523,Barcelona Airbnb,Barcelona_Airbnb.csv,188460,3f703e62686f1b3f6fc011bb4dd2af65d188c9913082ab4656762a14391ce2bf,raw_expansion/v2_2026-09-05/zenodo/14063523/Barcelona_Airbnb.csv,200,ok,cc-by-4.0,https://zenodo.org/records/14063523,open_repo
2026-09-05T19:43:57+00:00,zenodo,14617440,Barcelona Airbnb 100 rows,data.csv,280946,3138616ccdda4e9323c0a942279cee3cba6aedfa879ab8a7435143a689d6be4a,raw_expansion/v2_2026-09-05/zenodo/14617440/data.csv,200,ok,cc-by-4.0,https://zenodo.org/records/14617440,open_repo
2026-09-05T19:44:01+00:00,zenodo,8101910,AirBSet: Um Conjunto de Dados com Imóveis Brasileiros do Airbnb e respectivas Avaliações,AirBSet.zip,1802801,a7d2742e58af0eb3e76f342efc5602599cf55642738d966a575ef773425f6c44,raw_expansion/v2_2026-09-05/zenodo/8101910/AirBSet.zip,200,ok,cc-by-4.0,https://zenodo.org/records/8101910,open_repo
2026-09-05T19:44:13+00:00,dataverse,doi:10.7910/DVN/MTPD7M,AirBnB Data,airbnb_column_definitions.xlsx,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/airbnb_column_definitions.xlsx,403,source-restriction,,https://doi.org/10.7910/DVN/MTPD7M,open_repo
2026-09-05T19:44:13+00:00,dataverse,doi:10.7910/DVN/MTPD7M,AirBnB Data,Iceland-reykjavik_Airbnb_Review_Extended_2022-01-14.zip,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Iceland-reykjavik_Airbnb_Review_Extended_2022-01-14.zip,403,source-restriction,,https://doi.org/10.7910/DVN/MTPD7M,open_repo
2026-09-05T19:44:14+00:00,dataverse,doi:10.7910/DVN/MTPD7M,AirBnB Data,Italy-venice_Airbnb_Review_2020-09-10.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Italy-venice_Airbnb_Review_2020-09-10.csv,403,source-restriction,,https://doi.org/10.7910/DVN/MTPD7M,open_repo
2026-09-05T19:44:14+00:00,dataverse,doi:10.7910/DVN/MTPD7M,AirBnB Data,Italy-venice_Monthly_Match_2020-09-10.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Italy-venice_Monthly_Match_2020-09-10.csv,403,source-restriction,,https://doi.org/10.7910/DVN/MTPD7M,open_repo
2026-09-05T19:44:58+00:00,dataverse,doi:10.7910/DVN/GXLZXF,"Airbnb in Greater Boston, MA",AIRBNB.CT.zip,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_GXLZXF/AIRBNB.CT.zip,400,local-fault,CC0 1.0,https://doi.org/10.7910/DVN/GXLZXF,open_repo
2026-09-05T19:45:39+00:00,dataverse,doi:10.7910/DVN/GXLZXF,"Airbnb in Greater Boston, MA",AIRBNB.Listing.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_GXLZXF/AIRBNB.Listing.csv,400,local-fault,CC0 1.0,https://doi.org/10.7910/DVN/GXLZXF,open_repo
2026-09-05T19:45:47+00:00,dataverse,doi:10.7910/DVN/1XPDEU,Replication Data for 'To Airbnb: A Question of Revenues,melbSuburbs.zip,2134241,de9115a60395de83ce546b5ca7e512ff80f0fb5c0552c6c05af523cc7ad52bce,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_1XPDEU/melbSuburbs.zip,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/1XPDEU,open_repo
2026-09-05T19:45:50+00:00,dataverse,doi:10.7910/DVN/1XPDEU,Replication Data for 'To Airbnb: A Question of Revenues,portPhillipBeach.zip,66721,765ea86550e8c0f06e0dd39d8a1731f0957aae36759dc83df63cf7de68a070cb,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_1XPDEU/portPhillipBeach.zip,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/1XPDEU,open_repo
2026-09-05T19:46:04+00:00,dataverse,doi:10.7910/DVN/1XPDEU,Replication Data for 'To Airbnb: A Question of Revenues,sa1s.zip,16777810,ddd8aed1057fe506f4b5604b3ff8cb9e5cf86dd83f8cfad82b62a92ad263f934,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_1XPDEU/sa1s.zip,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/1XPDEU,open_repo
2026-09-05T19:46:09+00:00,dataverse,doi:10.7910/DVN/TQSTAN,Airbnb data: Brazilian small towns listings,2019_Alto_Paraiso_do_Goias_STATE_OF_GOIAS_ Airbnb_listings.xlsx,69506,2f7864828955691036d71a4f2151f28b33c1e04ce792ddd563179b19b80dbc0b,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_TQSTAN/2019_Alto_Paraiso_do_Goias_STATE_OF_GOIAS_ Airbnb_listings.xlsx,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/TQSTAN,open_repo
2026-09-05T19:46:13+00:00,dataverse,doi:10.7910/DVN/TQSTAN,Airbnb data: Brazilian small towns listings,2019_Armacao_dos_Buzios_STATE_OF_RIO_DE_JANEIRO_Airbnb_listings.xlsx,420535,de8432ad80c2289b20a7dd3c39a8819a1220525389320e28c8ae672b680e0530,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_TQSTAN/2019_Armacao_dos_Buzios_STATE_OF_RIO_DE_JANEIRO_Airbnb_listings.xlsx,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/TQSTAN,open_repo
2026-09-05T19:46:16+00:00,dataverse,doi:10.7910/DVN/TQSTAN,Airbnb data: Brazilian small towns listings,2019_Arraial_do_Cabo_STATE_OF_RIO_DE_JANEIRO_Airbnb_listings.xlsx,337078,e02d2330defe049e704f35be0750ec78a3a8739dce60a89e7e2012c9ea3fe5ad,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_TQSTAN/2019_Arraial_do_Cabo_STATE_OF_RIO_DE_JANEIRO_Airbnb_listings.xlsx,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/TQSTAN,open_repo
2026-09-05T19:46:21+00:00,dataverse,doi:10.7910/DVN/TQSTAN,Airbnb data: Brazilian small towns listings,2019_Balneario_Camboriu_STATE_OF_SANTA_CATARINA_Airbnb_listings.xlsx,585886,ea0dc00bae8b091fc433a8990ead6786314bba20dc5d96563a978438bbd266e6,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_TQSTAN/2019_Balneario_Camboriu_STATE_OF_SANTA_CATARINA_Airbnb_listings.xlsx,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/TQSTAN,open_repo
2026-09-05T19:46:36+00:00,dataverse,doi:10.7910/DVN/Q0VVTH,Replication Data for: To Airbnb?: Factors impacting short-term leasing preference,melbSuburbs.zip,2134241,8e63cd97a80325b1e2ccea82d913ea1155a4b16ba80d6f5475adcd1ef40b9eef,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_Q0VVTH/melbSuburbs.zip,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/Q0VVTH,open_repo
2026-09-05T19:47:25+00:00,dataverse,doi:10.7910/DVN/GXLZXF,"Airbnb in Greater Boston, MA",AIRBNB.CT.zip,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_GXLZXF/AIRBNB.CT.zip,400,local-fault,CC0 1.0,https://doi.org/10.7910/DVN/GXLZXF,open_repo
2026-09-05T19:48:06+00:00,dataverse,doi:10.7910/DVN/GXLZXF,"Airbnb in Greater Boston, MA",AIRBNB.Listing.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_GXLZXF/AIRBNB.Listing.csv,400,local-fault,CC0 1.0,https://doi.org/10.7910/DVN/GXLZXF,open_repo
2026-09-05T19:48:08+00:00,dataverse,doi:10.7910/DVN/MTPD7M,AirBnB Data,airbnb_column_definitions.xlsx,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/airbnb_column_definitions.xlsx,403,source-restriction,,https://doi.org/10.7910/DVN/MTPD7M,open_repo
2026-09-05T19:48:08+00:00,dataverse,doi:10.7910/DVN/MTPD7M,AirBnB Data,Iceland-reykjavik_Airbnb_Review_Extended_2022-01-14.zip,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Iceland-reykjavik_Airbnb_Review_Extended_2022-01-14.zip,403,source-restriction,,https://doi.org/10.7910/DVN/MTPD7M,open_repo
2026-09-05T19:48:09+00:00,dataverse,doi:10.7910/DVN/MTPD7M,AirBnB Data,Italy-venice_Airbnb_Review_2020-09-10.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Italy-venice_Airbnb_Review_2020-09-10.csv,403,source-restriction,,https://doi.org/10.7910/DVN/MTPD7M,open_repo
2026-09-05T19:48:09+00:00,dataverse,doi:10.7910/DVN/MTPD7M,AirBnB Data,Italy-venice_Monthly_Match_2020-09-10.csv,0,,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_MTPD7M/Italy-venice_Monthly_Match_2020-09-10.csv,403,source-restriction,,https://doi.org/10.7910/DVN/MTPD7M,open_repo
2026-09-05T19:48:15+00:00,dataverse,doi:10.7910/DVN/1XPDEU,Replication Data for 'To Airbnb: A Question of Revenues,melbSuburbs.zip,2134241,de9115a60395de83ce546b5ca7e512ff80f0fb5c0552c6c05af523cc7ad52bce,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_1XPDEU/melbSuburbs.zip,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/1XPDEU,open_repo
2026-09-05T19:48:18+00:00,dataverse,doi:10.7910/DVN/1XPDEU,Replication Data for 'To Airbnb: A Question of Revenues,portPhillipBeach.zip,66721,765ea86550e8c0f06e0dd39d8a1731f0957aae36759dc83df63cf7de68a070cb,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_1XPDEU/portPhillipBeach.zip,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/1XPDEU,open_repo
2026-09-05T19:48:25+00:00,dataverse,doi:10.7910/DVN/1XPDEU,Replication Data for 'To Airbnb: A Question of Revenues,sa1s.zip,16777810,ddd8aed1057fe506f4b5604b3ff8cb9e5cf86dd83f8cfad82b62a92ad263f934,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_1XPDEU/sa1s.zip,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/1XPDEU,open_repo
2026-09-05T19:48:30+00:00,dataverse,doi:10.7910/DVN/TQSTAN,Airbnb data: Brazilian small towns listings,2019_Alto_Paraiso_do_Goias_STATE_OF_GOIAS_ Airbnb_listings.xlsx,69506,2f7864828955691036d71a4f2151f28b33c1e04ce792ddd563179b19b80dbc0b,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_TQSTAN/2019_Alto_Paraiso_do_Goias_STATE_OF_GOIAS_ Airbnb_listings.xlsx,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/TQSTAN,open_repo
2026-09-05T19:48:33+00:00,dataverse,doi:10.7910/DVN/TQSTAN,Airbnb data: Brazilian small towns listings,2019_Armacao_dos_Buzios_STATE_OF_RIO_DE_JANEIRO_Airbnb_listings.xlsx,420535,de8432ad80c2289b20a7dd3c39a8819a1220525389320e28c8ae672b680e0530,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_TQSTAN/2019_Armacao_dos_Buzios_STATE_OF_RIO_DE_JANEIRO_Airbnb_listings.xlsx,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/TQSTAN,open_repo
2026-09-05T19:48:36+00:00,dataverse,doi:10.7910/DVN/TQSTAN,Airbnb data: Brazilian small towns listings,2019_Arraial_do_Cabo_STATE_OF_RIO_DE_JANEIRO_Airbnb_listings.xlsx,337078,e02d2330defe049e704f35be0750ec78a3a8739dce60a89e7e2012c9ea3fe5ad,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_TQSTAN/2019_Arraial_do_Cabo_STATE_OF_RIO_DE_JANEIRO_Airbnb_listings.xlsx,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/TQSTAN,open_repo
2026-09-05T19:48:39+00:00,dataverse,doi:10.7910/DVN/TQSTAN,Airbnb data: Brazilian small towns listings,2019_Balneario_Camboriu_STATE_OF_SANTA_CATARINA_Airbnb_listings.xlsx,585886,ea0dc00bae8b091fc433a8990ead6786314bba20dc5d96563a978438bbd266e6,raw_expansion/v2_2026-09-05/harvard_dataverse/doi10.7910_DVN_TQSTAN/2019_Balneario_Camboriu_STATE_OF_SANTA_CATARINA_Airbnb_listings.xlsx,200,ok,CC0 1.0,https://doi.org/10.7910/DVN/TQSTAN,open_repo
