case,p_yes,q4_mean,q4_sd,e_q4_given_yes,n
V1_base,0.1219,7.788,1.8544,10.7207,400000
q4 centre = RNPL module 7.61,0.0725,7.3523,1.7848,10.6309,400000
q4 centre = case A NA-only lap 8.9,0.2426,8.4955,1.9854,10.8926,400000
"q4 centre = Street bar 9.93, no short tail",0.5105,9.9291,1.6383,11.2087,400000
"q4 centre = bridge pattern no-lap 10.6, no tail",0.6678,10.5973,1.6353,11.486,400000
no short tail,0.1375,8.0977,1.638,10.7178,400000
short tail 25%,0.1046,7.4487,2.006,10.714,400000
beta 0.3,0.1019,7.7893,1.7218,10.6114,400000
beta 0.8,0.1605,7.794,2.1289,10.9352,400000
residual sd 1.0,0.0766,7.7871,1.6071,10.4921,400000
residual sd 2.0,0.1821,7.7909,2.285,11.1046,400000
Q3 centre 9.2 (external stack),0.0965,7.5555,1.8532,10.6778,400000
Q3 centre 9.9 (team baseline),0.1361,7.9038,1.8498,10.7383,400000
Q3 sd 2.16 (naive),0.1389,7.7906,1.968,10.8114,400000
"joint bull: q4 8.9, beta 0.8, no tail, Q3 9.9",0.3408,9.0824,1.9547,11.1841,400000
"joint bear: q4 7.61, tail 25%, Q3 9.2",0.0468,6.8445,1.8933,10.6016,400000
"V2 cushion N(0.6,1.3)",0.373
"V2 cushion N(1.2,1.3)",0.4743
"V2 cushion N(2.0,1.5)",0.6035
"V2 cushion N(1.2,0.8)",0.463
V2 with C02 vector shifted up (a .30 b .22 c .32 d .12 e .04),0.561
V2 with C02 vector shifted down (a .12 b .15 c .45 d .24 e .04),0.3766
