case,p_ge_134,p_le_131,mean,sd,e_q4_given_ge_134
base (adopted),0.307,0.3089,8.612,2.278,11.158
q4 centre = RNPL module 7.61,0.2808,0.3487,8.391,2.341,11.139
q4 centre = case A NA-only lap 8.9,0.3607,0.2495,8.973,2.23,11.231
"q4 centre = Street 9.93, no tail",0.4737,0.1458,9.708,2.063,11.429
"q4 centre = bridge no-lap 10.6, no tail",0.5355,0.1172,10.053,2.124,11.616
no short tail,0.3193,0.279,8.772,2.166,11.157
short tail 25%,0.2936,0.3411,8.44,2.381,11.16
beta 0.3,0.3013,0.3073,8.613,2.225,11.136
beta 0.8,0.3186,0.3115,8.612,2.402,11.216
residual sd 1.4 (rev 1),0.2766,0.2936,8.613,2.067,11.075
residual sd 2.6,0.3301,0.3186,8.612,2.536,11.302
residual sd 3.74 (raw sequential sd),0.3589,0.3296,8.611,3.113,11.66
Q3 centre 9.2,0.2984,0.322,8.535,2.307,11.15
Q3 centre 9.9,0.3192,0.2917,8.715,2.243,11.171
Q3 sd 2.16,0.3118,0.3101,8.612,2.328,11.181
"cushion N(0.6,1.3)",0.2903,0.3259,8.497,2.257,11.089
"cushion N(1.2,1.3)",0.3156,0.3008,8.67,2.294,11.196
"cushion N(2.0,1.5)",0.3507,0.2755,8.9,2.426,11.414
"cushion N(0,1.3)",0.2661,0.3525,8.324,2.251,11.012
C02 rev 1 vector,0.326,0.2852,8.731,2.277,11.17
C02 shifted up (a .30 b .22 c .28 d .16 e .04),0.3494,0.279,8.827,2.334,11.24
C02 shifted down (a .12 b .14 c .30 d .40 e .04),0.2841,0.3265,8.493,2.242,11.107
Street sd 2.5m,0.3059,0.3276,8.612,2.393,11.376
"joint bull: 8.9, beta .8, no tail, Q3 9.9, cushion 2.0",0.458,0.1673,9.633,2.253,11.554
"joint bear: 7.61, tail 25%, Q3 9.2, cushion 0.6",0.2485,0.4048,8.06,2.418,11.061
audit replay: Q3 ref 9.67 kept,0.3021,0.3162,8.569,2.294,11.153
