item,value
tr_4q26_team_bridge_v3_pct,13.825640579457954
tr_4q26_team_bridge_v3_yoy_bp,20.564057945795433
tr_4q26_street_lseg_modl_pct,13.74516367430335
tr_4q26_street_lseg_modl_yoy_bp,12.516367430335151
tr_4q26_team_rev_street_gbv_high_pct,13.486526628474433
tr_4q26_team_rev_street_gbv_high_yoy_bp,-13.347337152556626
tr_4q26_short_case_rev_2966_gbv_scaled_pct,13.825640579457954
tr_4q26_short_case_rev_2966_gbv_scaled_yoy_bp,20.564057945795433
tr_4q26_rnpl_pullforward_gbv_+2pct_pct,13.554549587703876
tr_4q26_rnpl_pullforward_gbv_+2pct_yoy_bp,-6.545041229612281
tr_4q26_rnpl_pullforward_gbv_+4pct_pct,13.293885172555726
tr_4q26_rnpl_pullforward_gbv_+4pct_yoy_bp,-32.611482744427356
p_base,0.48117
route_letter_lower,0.1204125
route_incentives_named,0.39944
route_fy27,0.0598325
p_strict_convention,0.3344125
p_letter_lower_0.20,0.5182125
p_letter_lower_0.06,0.45519
p_topic_0.60,0.3885025
p_qual_given_topic_0.35,0.385085
p_qual_given_topic_0.65,0.578515
p_rho_0,0.5028475
p_rho_0.8,0.46841
p_fy27_0.15,0.5183075
base_rate_all_letters_2of13_laplace,0.2
base_rate_new_business_regime_1of5_laplace,0.2857142857142857
base_rate_q3_letters_1of3_laplace,0.4
