preflight_id,source_id,exact_source_url,intended_paths,collection_purpose,terms_url,terms_status,terms_evidence,robots_url,robots_status,robots_evidence,public_access,authenticated,paywalled,captcha_required,access_control_bypass,personal_data,airbnb_controlled,explicit_airbnb_automation_permission,requests_per_minute,cache_responses,user_agent,reviewed_at_utc
PF-PW-001,WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data,"/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data|/sites/default/files/2023-04/WashingtonStateFerries-TrafficStatistics-2023Q1.pdf","Validate one landing-page schema and one dated quarterly report",https://wsdot.wa.gov/about/policies/open-data-policy,unclear,"Open-data policy exists and public reports are offered, but no exact automation permission for these paths was established in search-result reconnaissance",https://wsdot.wa.gov/robots.txt,unclear,"Exact robots rules for both intended paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-002,NPS_VISITOR_USE,https://irmaservices.nps.gov/v3/rest/Stats/help,"/v3/rest/Stats/help|/v3/rest/stats/visitation?unitCodes=YELL&startMonth=1&startYear=2025&endMonth=1&endYear=2025","Validate official API schema and one park-month response",https://www.doi.gov/copyright,allowed,"Official Data.gov catalog labels the NPS DataStore web service public and the NPS site documents REST access",https://irmaservices.nps.gov/robots.txt,unclear,"Exact robots rules for the API paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-003,FTA_NTD_MONTHLY_RIDERSHIP,https://www.transit.dot.gov/ntd/monthly-ridership,"/ntd/monthly-ridership|/ntd/data-product/raw-monthly-ridership-no-adjustments-or-estimates","Validate current release metadata and one raw monthly file header",https://www.transportation.gov/data,allowed,"FTA explicitly publishes machine-readable monthly ridership products and DOT open-data portal access",https://www.transit.dot.gov/robots.txt,unclear,"Exact robots rules for intended paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-004,NOAA_HMS_SMOKE,https://www.ospo.noaa.gov/products/land/hms.html,"/products/land/hms.html|/pub/FIRE/web/HMS/Smoke_Polygons/Shapefile/Annual_Bundles/","Validate product metadata and historical archive manifest only",https://www.noaa.gov/information-technology/open-data-dissemination,allowed,"NOAA policy calls for machine-readable public data and NOAA-produced data are generally public domain",https://www.ospo.noaa.gov/robots.txt,unclear,"Exact robots rules for product and archive paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-005,MELB_PED_HOURLY,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/information/,"/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/information/|/api/explore/v2.1/catalog/datasets/pedestrian-counting-system-monthly-counts-per-hour/records?limit=1","Validate metadata and one hourly record",https://data.melbourne.vic.gov.au/terms/terms-and-conditions/,unclear,"Portal terms page says terms and conditions have not been defined; CC BY dataset label does not by itself establish automation permission",https://data.melbourne.vic.gov.au/robots.txt,unclear,"Exact robots rules for dataset and API paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-006,NYC_311_TOURISM_STRESS,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,"/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9|/resource/erm2-nwe9.json?$limit=1&$select=unique_key,created_date,complaint_type,descriptor,borough,council_district","Validate official metadata and one non-personal schema row",https://cityofnewyork.github.io/opendatatsm/publicpolicies.html,allowed,"NYC Open Data law and terms make datasets available without registration, license requirement, or use restrictions subject to stated exceptions",https://data.cityofnewyork.us/robots.txt,unclear,"Exact robots rules for dataset and SODA paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-007,MARINECADASTRE_AIS,https://marinecadastre.gov/ais/,"/ais/|/accessais/","Validate bulk-download manifest and service-availability notice only",https://www.noaa.gov/information-technology/open-data-dissemination,allowed,"MarineCadastre is a NOAA/BOEM/USCG public bulk-data service under federal open-data policy",https://marinecadastre.gov/robots.txt,unclear,"Exact robots rules for AIS paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-008,NASA_BLACK_MARBLE_VNP46A2,https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/,"/archive/allData/5000/VNP46A2/|/api/v2/content/details?products=VNP46A2","Validate collection metadata and one granule listing",https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy,allowed,"NASA Earth science data are openly licensed, but downloading requires Earthdata Login",https://ladsweb.modaps.eosdis.nasa.gov/robots.txt,unclear,"Exact robots rules for archive/API paths were not established",true,true,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-009,CDOT_CONTINUOUS_COUNTS,https://dtdapps.codot.gov/otis/trafficdata,"/otis/trafficdata|/server/rest/services/Webapps/open_data_sde/FeatureServer","Validate continuous-station schema and one resort-corridor station record",https://www.codot.gov/business/civil-rights/accessibility,unclear,"Official open-data services exist, but exact license and automated-access terms for the traffic explorer were not established",https://dtdapps.codot.gov/robots.txt,unclear,"Exact robots rules for explorer and ArcGIS service paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
PF-PW-010,TFL_CYCLE_HIRE_TRIPS,https://cycling.data.tfl.gov.uk/,"/|/usage-stats/","Validate archive manifest and one weekly journey-file header",https://tfl.gov.uk/corporate/terms-and-conditions/transport-data-service,unclear,"TfL labels the bucket open data for developer use, but general website terms prohibit automated extraction from Santander Cycles websites absent written permission; applicability to the official bulk bucket is unresolved",https://cycling.data.tfl.gov.uk/robots.txt,unclear,"Exact robots rules for the bucket paths were not established",true,false,false,false,false,false,false,false,1,true,"ABNB-edge-research/0.1 (+https://github.com/theomachado05/airbnb-citadel-2026)",2026-09-03T06:35:06Z
