audit_id,source_id,domain,intended_paths,terms_url,terms_status,robots_url,robots_status,license_or_reuse,authentication,personal_data_plan,rate_plan,cache_plan,gate_allowed,decision_reason,reviewed_at_utc,citations
PA-PW-001,WSF_FERRY_RIDERSHIP,wsdot.wa.gov,"ridership landing page; one dated quarterly PDF",https://wsdot.wa.gov/about/policies/open-data-policy,unclear,https://wsdot.wa.gov/robots.txt,unclear,"Public WSDOT report; attribution/planning-use caveats; exact reuse and automation permission unresolved",none,"Aggregate route counts only",1 request/minute,"Cache exact response and checksum",false,"Terms do not clearly permit automation; robots guidance unclear",2026-09-03T06:35:06Z,"https://wsdot.wa.gov/about/policies/open-data-policy; https://wsdot.wa.gov/about/policies/web-privacy-notice"
PA-PW-002,NPS_VISITOR_USE,irmaservices.nps.gov,"API help; one park-month query",https://www.doi.gov/copyright,allowed,https://irmaservices.nps.gov/robots.txt,unclear,"U.S. federal public data",none,"Aggregate park-month only",1 request/minute,"Cache exact JSON and checksum",false,"Robots guidance unclear",2026-09-03T06:35:06Z,"https://catalog.data.gov/dataset/datastore-web-services; https://www.nps.gov/articles/irma.htm"
PA-PW-003,FTA_NTD_MONTHLY_RIDERSHIP,www.transit.dot.gov,"monthly ridership page; one raw file",https://www.transportation.gov/data,allowed,https://www.transit.dot.gov/robots.txt,unclear,"U.S. federal open-data product",none,"Agency-mode aggregates only",1 request/minute,"Cache exact release and checksum",false,"Robots guidance unclear",2026-09-03T06:35:06Z,"https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/ntd-data-products-frequently-asked-questions-0"
PA-PW-004,NOAA_HMS_SMOKE,www.ospo.noaa.gov,"product page; archive manifest",https://www.noaa.gov/information-technology/open-data-dissemination,allowed,https://www.ospo.noaa.gov/robots.txt,unclear,"NOAA-produced data generally public domain/CC0; attribution and no implied endorsement",none,"Geospatial environmental data only",1 request/minute,"Cache exact file/manifest and checksum",false,"Robots guidance unclear",2026-09-03T06:35:06Z,"https://www.noaa.gov/information-technology/open-data-dissemination; https://www.ospo.noaa.gov/products/land/hms.html"
PA-PW-005,MELB_PED_HOURLY,data.melbourne.vic.gov.au,"dataset metadata; one API row",https://data.melbourne.vic.gov.au/terms/terms-and-conditions/,unclear,https://data.melbourne.vic.gov.au/robots.txt,unclear,"Dataset labeled CC BY; portal terms undefined",none,"Aggregate sensor counts; no device/user data",1 request/minute,"Cache exact response and checksum",false,"Terms do not clearly permit automation; robots guidance unclear",2026-09-03T06:35:06Z,"https://data.melbourne.vic.gov.au/terms/terms-and-conditions/; https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/information/"
PA-PW-006,NYC_311_TOURISM_STRESS,data.cityofnewyork.us,"dataset metadata; server-side aggregate query",https://cityofnewyork.github.io/opendatatsm/publicpolicies.html,allowed,https://data.cityofnewyork.us/robots.txt,unclear,"NYC Open Data public use subject to source/version/modification identification",none,"Never select addresses, BBL, coordinates, free text or complainant data; aggregate to council district/borough",1 request/minute,"Cache exact aggregate response and checksum",false,"Robots guidance unclear",2026-09-03T06:35:06Z,"https://cityofnewyork.github.io/opendatatsm/publicpolicies.html; https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9"
PA-PW-007,MARINECADASTRE_AIS,marinecadastre.gov,"bulk AIS landing page; AccessAIS status",https://www.noaa.gov/information-technology/open-data-dissemination,allowed,https://marinecadastre.gov/robots.txt,unclear,"Federal public data; exact dataset notice to verify",none for bulk; email submission for subset service,"No ownership/person fields retained; aggregate vessel transits",1 request/minute,"Cache manifest and checksum",false,"Robots guidance unclear; subset service unavailable",2026-09-03T06:35:06Z,"https://marinecadastre.gov/accessais/; https://www.noaa.gov/information-technology/open-data-dissemination"
PA-PW-008,NASA_BLACK_MARBLE_VNP46A2,ladsweb.modaps.eosdis.nasa.gov,"VNP46A2 archive; metadata API",https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy,allowed,https://ladsweb.modaps.eosdis.nasa.gov/robots.txt,unclear,"NASA open-data policy",Earthdata Login required,"Remote-sensing pixels only",1 request/minute,"Cache granule metadata/files and checksum; sanitize auth",false,"Robots guidance unclear and authentication required",2026-09-03T06:35:06Z,"https://urs.earthdata.nasa.gov/documentation/what_do_i_need_to_know; https://www.earthdata.nasa.gov/s3fs-public/2023-05/LAADS%20DAAC%20Webinar%20_Final%20Presentation_4_26_23_0.pdf"
PA-PW-009,CDOT_CONTINUOUS_COUNTS,dtdapps.codot.gov,"traffic explorer; ArcGIS service",https://www.codot.gov/business/civil-rights/accessibility,unclear,https://dtdapps.codot.gov/robots.txt,unclear,"Official open data; exact license not located",none,"Station aggregates only",1 request/minute,"Cache exact JSON/export and checksum",false,"Terms do not clearly permit automation; robots guidance unclear",2026-09-03T06:35:06Z,"https://dtdapps.codot.gov/otis/trafficdata; https://dtdapps.codot.gov/server/rest/services/Webapps/open_data_sde/FeatureServer"
PA-PW-010,TFL_CYCLE_HIRE_TRIPS,cycling.data.tfl.gov.uk,"bucket root; usage-stats",https://tfl.gov.uk/corporate/terms-and-conditions/transport-data-service,unclear,https://cycling.data.tfl.gov.uk/robots.txt,unclear,"TfL transport-data terms apply to open feeds, but general website terms prohibit automated extraction from Santander Cycles websites absent written permission",none,"Journey records only; no person/payment data",1 request/minute,"Cache exact file and checksum",false,"Conflicting terms applicability and robots guidance unclear",2026-09-03T06:35:06Z,"https://tfl.gov.uk/info-for/open-data-users/our-open-data; https://tfl.gov.uk/corporate/terms-and-conditions/website; https://tfl.gov.uk/corporate/terms-and-conditions/transport-data-service"
