rank,source_id,dataset,provider,edge_family,economic_mechanism,predicted_direction,potential_abnb_target,measurement_type,why_underused,geographic_coverage,plausible_abnb_materiality,unit_of_observation,granularity,frequency,history,publication_schedule_and_lag,earliest_verifiable_public_availability,revision_or_snapshot_policy,true_vintage_support,access_method,exact_source_urls,credential_requirement,environment_variables,cost,license_or_reuse,collection_restrictions,sensor_methodology_survivorship_risks,point_in_time_leakage_risk,historical_guidance_cutoff_coverage,smallest_lawful_validation_sample,status,primary_feature_formula_if_selected,sensitivity_if_selected,biggest_failure_reason,citations,analyst_notes
1,WSF_FERRY_RIDERSHIP,Washington State Ferries traffic statistics rider-segment reports,Washington State Department of Transportation,Maritime and island activity,"Ferry riders—especially Anacortes/San Juan, Bainbridge, Vashon and other leisure-sensitive route segments—measure realized movement into island/coastal destinations; foot/vehicle mix and service completion help separate demand from capacity disruption",Positive for rider growth; negative for cancellations or lost sailings,"Nights booked; geographic mix; quarterly revenue; next-quarter guidance",Realized travel and transport capacity,"Ticket-booth operational counts split by route and fare/rider segment are less standardized than airport totals and require route-level commuter controls",Washington Puget Sound and Salish Sea; nine routes and twenty ports,"Material to a regional leisure market, not consolidated ABNB alone; best as one node in a multi-market destination-ingress mesh","Quarter-route rider totals with vehicles, vehicle passengers, foot passengers and fare categories",Route and rider segment,Quarterly dated reports; dashboard has daily/by-sailing detail,"Annual 2002-present; quarterly 2009-present","Quarter-end reports appear generated about five to ten days after period end; examples: 2020Q4 report 2021-01-05 08:33:30, 2023Q1 report 2023-04-05 16:00:02, 2025Q2 report 2025-07-05 16:00:02",2021-01-05T08:33:30-08:00 for verified sample in modeled cohort,"Dated PDF snapshots appear static; dashboard may be overwritten; later corrections policy not located",Yes for dated PDF report artifacts; no conclusion yet for dashboard,"Official WSDOT landing page and linked PDFs; dashboard for discovery only",https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data; https://wsdot.wa.gov/sites/default/files/2023-04/WashingtonStateFerries-TrafficStatistics-2023Q1.pdf,None,,Free,"Public government reports; WSDOT open-data/reuse language requires source attribution and planning-use caveats; exact automation permission unresolved","No automated request until exact terms and path-specific robots rules allow it; cache exact PDFs; do not scrape reservations","Route/service changes; canceled sailings; fare collection direction; commuter mix; suspended Sidney service; altered fleet capacity; route coding changes","Using dashboard restatements or treating printed report generation time as web publication without corroboration","Estimated 23/23 target events have a preceding completed-quarter report by cadence; exact per-report availability must be audited before eligibility","One report landing page plus one dated quarterly PDF, but gate denied so zero requests",backtestable_now,"For each guidance cutoff, use the latest dated report strictly before cutoff: [YoY percent change in leisure-route foot passengers] minus [YoY percent change in Seattle/Bainbridge plus Seattle/Bremerton commuter-control foot passengers], with leisure routes fixed before testing","Use total riders instead of foot passengers, retaining the same fixed leisure/control route set","Single-region materiality may be too small and route counts may mostly reflect commuter/service-supply dynamics","https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data; https://wsdot.wa.gov/about/data/multimodal-mobility-dashboard/dashboard/WSF/ridership-utilization.htm; https://wsdot.wa.gov/sites/default/files/2023-04/WashingtonStateFerries-TrafficStatistics-2023Q1.pdf; https://wsdot.wa.gov/sites/default/files/2021-10/WashingtonStateFerries-TrafficStatistics-2020Quarterly.pdf","Operational rank 1 despite raw score tie because dated report artifacts offer the cleanest current PIT path; no ABNB outcome inspected"
2,NASA_BLACK_MARBLE_VNP46A2,VIIRS/NPP Black Marble daily gap-filled BRDF-adjusted nighttime lights VNP46A2,NASA LAADS DAAC,Remote sensing,"Cloud-screened nighttime radiance anomalies over fixed tourism-dependent resort footprints may proxy nighttime occupancy and activity while avoiding property-level collection",Positive for activity radiance; disruption-dependent negative shocks,"Nights booked; geographic mix; quarterly revenue",Experimental realized activity,"500 m daily global processing, quality layers and authenticated granule archive are technically demanding and unlikely to be standard in sell-side models",Global land surface at 500 m,High if a preregistered basket covers many globally material leisure markets,"Daily 500 m sinusoidal-grid tile/pixel with corrected radiance and quality flags",500 m pixel and fixed destination polygon,Daily,"January 2012-present per LAADS official materials","Daily product; exact production latency and collection-specific reprocessing schedule need granule-metadata verification",2012-01-01 observation history; public product availability evidenced by NASA archive materials,"Collection versions may be reprocessed; quality layers and granule production timestamps are essential",Potentially yes through collection version and granule production metadata; not yet verified from authenticated listing,"LAADS archive/API after Earthdata Login; CMR metadata discovery",https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/; https://www.earthdata.nasa.gov/data/catalog/lpcloud-vnp46a2-001,Free Earthdata Login required,EARTHDATA_TOKEN,Free,NASA open-data policy; attribution expected,"No access before approved credential sync; token only in ignored .env; never log URLs/headers containing it","Clouds; moonlight; snow; fires; power outages; infrastructure changes; stray light; 500 m mixed pixels; collection reprocessing","Using a later reprocessed collection or post-cutoff granule version; fitting cloud/gap-fill thresholds on full sample","History spans 23/23 events, but 0/23 strict eligible until credentialed granule production/vintage audit",One metadata query and one granule header after credential approval,pending_sync,"Not selected for historical pilot at E0; proposed moonshot collector: median quality-screened radiance YoY change across fixed resort polygons minus matched resident-control polygons over the 28 days whose granules were produced strictly before cutoff","Use the fraction of valid pixels with positive YoY radiance change under the same masks","Radiance may be dominated by stable infrastructure and environmental artifacts rather than lodging occupancy","https://www.earthdata.nasa.gov/s3fs-public/2023-05/LAADS%20DAAC%20Webinar%20_Final%20Presentation_4_26_23_0.pdf; https://urs.earthdata.nasa.gov/documentation/what_do_i_need_to_know; https://forum.earthdata.nasa.gov/viewtopic.php?t=4253","Raw ex-ante score 80/100, but operational rank 2 because access is pending sync and the occupancy mechanism is experimental"
3,NOAA_HMS_SMOKE,NOAA Hazard Mapping System daily fire and smoke analysis,NOAA NESDIS Office of Satellite and Product Operations,Remote sensing and travel disruption,"Smoke polygons and active-fire detections over destination and access-corridor footprints measure realized environmental disruption capable of suppressing trips, closures and outdoor amenity value",Negative when destination exposure rises,"Nights booked; geographic mix; quarterly revenue; guidance downside risk",Disruption,"Manual analyst smoke classification plus high-frequency geospatial archives are operationally awkward and usually used for air-quality rather than travel forecasting",North America including Hawaii and Caribbean,High for U.S./Canada destination basket but episodic rather than continuous,"Daily smoke polygon with start/end, density and satellite; fire point with FRP",Polygon or point intersected with fixed destination polygons,Daily with intraday updates,"Smoke archive 2005-present","Fire detections typically online by 08:00 ET and updated continuously; first smoke classification 11:00-12:00 ET, second 19:00-20:00 ET",2005 archive start; daily availability schedule documented by NOAA,"Forward-processing system does not backfill gaps; 2022 system/format regime change; annual bundles were regenerated in 2025 and therefore are not literal historical vintages",Partial: dated daily operational files existed, but current regenerated bundles are not historical snapshots,"Official KML/shapefile archive and product page",https://www.ospo.noaa.gov/products/land/hms.html; https://satepsanone.nesdis.noaa.gov/pub/FIRE/web/HMS/Smoke_Polygons/Shapefile/,None,,Free,"NOAA-produced data generally public domain/CC0 with attribution and no implied endorsement","No automated request until path-specific robots status is verified; cache daily files and file metadata; use no tactical safety inference","Cloud cover; analyst subjectivity; satellite additions/removals; missing data not backfilled; 2022 classification/format change; regenerated archive timestamps","Treating regenerated annual bundles as original vintage or assigning end-of-day smoke information to an earlier cutoff","Observation history spans 23/23 events, but 0/23 strict eligible from current evidence until daily-file availability/vintage handling is locked",One product metadata page and one single-day archive file, pending_permission,"For each cutoff, fixed destination basket area-weighted share of destination-days intersecting medium/heavy smoke during the last 28 calendar days, using only the final same-day file available strictly before cutoff; expected sign negative","Binary any-smoke exposure under the same fixed geography and dates","Smoke is sparse, highly seasonal and may proxy widely known wildfire news rather than incremental destination demand","https://www.ospo.noaa.gov/products/land/hms.html; https://satepsanone.nesdis.noaa.gov/pub/FIRE/web/HMS/Smoke_Polygons/Shapefile/Annual_Bundles/; https://www.ospo.noaa.gov/data/messages/2022/05/MSG_20220527_1253.html; https://www.ncei.noaa.gov/archive/atrac/export/2021-07-30T11-33-06.pdf?id=63977","Candidate for conditional historical pilot only after robots and daily-file provenance audit; do not use regenerated annual bundle timestamps as historical availability"
4,NPS_VISITOR_USE,NPS Visitor Use Statistics monthly visitation and overnight stays,National Park Service Social Science Program,Physical tourism-presence mesh,"Monthly recreation visits, visitor hours and overnight-stay categories across tourism-dependent parks directly measure realized leisure presence and park lodging/camping pressure",Positive,"Nights booked; geographic mix; quarterly revenue",Realized travel and overnight activity,"Park counting procedures vary and require a fixed park basket plus procedure-change controls; this complexity and noncommercial portal reduce standard investor use",More than 400 U.S. national parks; monthly standardized series from 1979,Potentially broad U.S. leisure coverage but only park-adjacent demand,"Park-month recreation visits, recreation visitor hours and multiple overnight-stay categories",Park-month,Monthly,"Monthly 1979-present; annual recreation visits 1904-present","Preliminary monthly data generally available by the 15th of following month; parks can edit until calendar year is finalized in Q1 of following year",Monthly series available from 1979; API/service public by at least 2010 Data.gov catalog,"Preliminary values revised until annual finalization; final annual tables locked afterward",No public API vintage endpoint identified; current API likely returns latest/finalized values,"NPS IRMA REST Stats service and custom query portal",https://irmaservices.nps.gov/v3/rest/Stats/help; https://home.nps.gov/subjects/socialscience/statistics-faq.htm,None,,Free,U.S. federal public data; attribution and DOI/citation where supplied,"No automated request until path-specific robots status is verified; use aggregate park data only","Counter equipment failures; estimated data; procedure changes; closures; vehicle-to-person factors; park redesignations; double visits","Backfilling a preliminary historical month with its later finalized value; ignoring counting-procedure changes","History spans 23/23 events; 0/23 recent-month observations strict eligible without archived preliminary vintages; finalized prior-year values may be eligible with conservative Q1-finalization evidence",One API help response and one park-month row,pending_permission,,,"Lack of preliminary vintages means the most decision-relevant recent months cannot yet meet strict cutoff rules","https://home.nps.gov/subjects/socialscience/visitor-use-statistics-dashboard.htm; https://home.nps.gov/subjects/socialscience/statistics-faq.htm; https://irmaservices.nps.gov/v3/rest/Stats/help","Strong mechanism, but current-history API alone is insufficient for historical guidance replay"
5,FTA_NTD_MONTHLY_RIDERSHIP,Raw Monthly Ridership no adjustments or estimates,Federal Transit Administration National Transit Database,Physical tourism-presence mesh,"Unlinked passenger trips on fixed airport-rail, ferry, inclined-plane and tourism-sensitive transit modes can proxy realized urban arrivals while system bus/heavy-rail totals act as local commuter controls",Positive for tourist-mode residual,"Nights booked; domestic geographic mix; quarterly revenue",Realized travel,"The NTD is familiar, but constructing fixed tourism-mode residuals across agencies and separating service supply from trips is uncommon in sell-side lodging models",United States urban full reporters,High U.S. city coverage but no station-level segmentation,"Agency-mode-month unlinked passenger trips, vehicle revenue miles/hours and vehicles operated in maximum service",Agency-mode-month,Monthly,"Monthly time series back to 2002; current modal time-series file from 2014-present","Published on fixed monthly cycle around the 4th-7th with a two-month lag; reporters submit by end of following month",At least 2002 for monthly ridership history,"Raw file has no estimates/adjustments but reporters can correct submissions; complete file includes estimates and historical adjustments; current file overwritten monthly",No dated public release-vintage archive identified,"FTA downloadable Excel/CSV products and DOT data portal",https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/data-product/monthly-modal-time-series-safety-and-service,None,,Free,U.S. federal open-data products,"No automated request until path-specific robots status is verified; prefer raw file; cache each monthly release prospectively","Agency/mode reporting changes; service cuts; late reporters; unlinked-trip double counting; pandemic regime; no station detail","Using current corrected raw file as if it were the historical release; using estimated complete file without vintage proof","History spans 23/23 events, but 0/23 strict eligible until dated historical raw releases are located; prospective collector can establish vintages",Landing page and header of one raw release file,pending_permission,,,"Two-month lag and no station detail may leave little incremental information after broader mobility/transport data","https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/ntd-data-products-frequently-asked-questions-0; https://www.transit.dot.gov/sites/fta.dot.gov/files/2024-11/2024%20NTD%20Annual%20Reporting%20User%20Guide.pdf","Best treated as a broad control unless historical releases are recovered"
6,TFL_CYCLE_HIRE_TRIPS,Santander Cycle Hire weekly journey data,Transport for London,Physical tourism-presence mesh,"Trips beginning or ending near visitor attractions during weekends/evenings can measure realized central-London activity relative to commuter-station and weekday controls",Positive,"Nights booked; international geographic mix; quarterly revenue",Realized travel,"Journey-level historical trip files are operationally large and require fixed station taxonomies and commuter/tourist controls",Greater London,Large global destination but one city,"Journey with ID, bike ID, start/end timestamps and docking-station IDs",Journey,Weekly files,"September 2015-present","Files published by week; exact lag and immutable-file policy not documented in retrieved official evidence",At least 2015-09 for journey archive,"Recent compilation practices may overwrite files; official page says weekly journeys but no vintage policy",Potential if weekly files are immutable and timestamps can be proven; not yet established,"Official bulk file bucket",https://cycling.data.tfl.gov.uk/; https://tfl.gov.uk/info-for/open-data-users/our-open-data,None,,Free,"TfL transport-data service terms and developer guidelines; website terms separately prohibit automated extraction from Santander Cycles websites absent written permission","Do not automate until TfL confirms bulk open-data bucket is governed by permissive transport-data terms and robots permits paths","Station openings/closures/renames; fleet growth; weather; commute versus tourism; service outages; no subscriber/casual field listed","Treating current compiled files as immutable historical releases; post-hoc labeling of tourist stations","History spans 23/23 events, but 0/23 strict eligible until publication/vintage and permission evidence resolves",One bucket listing and one weekly file header,pending_permission,,,"Permission ambiguity and one-city scope outweigh attractive weekly detail","https://tfl.gov.uk/info-for/open-data-users/our-open-data; https://cycling.data.tfl.gov.uk/; https://tfl.gov.uk/corporate/terms-and-conditions/website; https://tfl.gov.uk/corporate/terms-and-conditions/transport-data-service","Official open-data page encourages developer use, but general site terms create enough ambiguity to stop autonomous collection"
7,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,City of Melbourne Open Data Team,Physical tourism-presence mesh,"Hourly tourist-district pedestrian volumes relative to commuter-control sensors can proxy realized central-city visitor presence and event realization",Positive,"Nights booked; geographic mix; quarterly revenue",Realized travel and event activity,"Long-running municipal sensor mesh, sensor relocation metadata and tourist/control design are uncommon in lodging models",City of Melbourne municipality,One important international city; low consolidated materiality alone,"Sensor-hour total pedestrian count joined to sensor location/status",Sensor-hour,Monthly update of hourly history,"Hourly counts since 2009","Updated monthly; exact lag and historical release calendar not specified",Observation history from 2009; current dataset page created 2024 after portal migration,"Current historical dataset can change; sensor-location dataset tracks current/status changes but no release-vintage archive found",No,"Opendatasoft API/export after permission",https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/information/; https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-sensor-locations/,None,,Free,Dataset labeled CC BY; domain terms page says terms have not been defined,"Autonomous collection prohibited while terms or robots remain unclear","Sensor relocation; duplicate records; outages; zero versus missing; expanding mesh; pedestrian mix; weather/events; portal migration","Backfilling past counts from a mutable current snapshot and using sensors before/after relocation as continuous","History spans 23/23 events, but 0/23 strict eligible without monthly archived snapshots/publication timestamps",One metadata page and one row, pending_permission,,,"No defensible historical publication vintages and undefined portal terms","https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/information/; https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-past-hour-counts-per-minute/information/; https://data.melbourne.vic.gov.au/terms/terms-and-conditions/","Excellent prospective multi-city template; current page explicitly warns that location changes matter"
8,MARINECADASTRE_AIS,U.S. Automatic Identification System historical vessel positions,MarineCadastre.gov partnership of BOEM NOAA and USCG,Maritime and island activity,"Passenger-vessel and ferry movements into island/coastal ports can proxy realized access and disruptions; cruise vessels must be separated because they may substitute for lodging",Positive for ferries/recreational arrivals; ambiguous or negative for cruise,"Nights booked; geographic mix; travel disruption",Realized travel and maritime capacity,"Raw AIS is technically heavy, vessel classification is imperfect and separating complementary ferries from substitute cruises requires fixed port geofences and vessel classes",U.S. coastal waters and territories,Potentially scalable across many island/coastal destinations,"Timestamped AIS vessel position/transit with MMSI and vessel-type attributes",Vessel position or derived transit,Raw messages high frequency; bulk publication commonly annual,"AccessAIS page currently exposes 2020-2025 range; historical bulk downloads available separately","Bulk publication lag and earliest exact year not established from official evidence retrieved",2020 start shown in active subset tool; older bulk history unresolved,"Annual/bulk products may be regenerated; subset ordering service status can change",No defensible publication-vintage series established,"Official bulk downloads; AccessAIS subset service currently unavailable",https://marinecadastre.gov/ais/; https://marinecadastre.gov/accessais/,AccessAIS subset orders request an email; bulk downloads appear no-key,,Free,Federal public data; NOAA/BOEM/USCG attribution; exact AIS reuse notice to verify,"Do not submit email/order or automate until service and robots/terms evidence are clear; no vessel owner or person data retained","AIS gaps/spoofing; vessel-type miscoding; coastal receiver coverage; changing carriage mandates; port/geofence changes; cruise substitution","Using a current reprocessed annual file as historical vintage or inferring passenger counts from positions","Potential raw observation coverage for most/all 23 events but 0/23 strict availability verified; subset service unavailable",One bulk index and one tiny pre-aggregated port-day if service returns,prospective_only,,,"Operational service is unavailable and annual publication timing is likely too late for same-quarter forecasting","https://marinecadastre.gov/accessais/; https://marinecadastre.gov/oceanreports/","Preserve as moonshot infrastructure; not ready for historical pilot"
9,CDOT_CONTINUOUS_COUNTS,Colorado continuous highway traffic-count stations,Colorado Department of Transportation Traffic Analysis Unit,Destination-ingress bottlenecks,"Hourly vehicles on I-70 and fixed resort-gateway corridors can measure realized ski/mountain arrivals; Denver/commuter corridors provide controls",Positive,"Nights booked; domestic geographic mix; quarterly revenue",Realized travel,"Permanent counter selection and resort-gateway residuals are more destination-specific than statewide VMT and require operational QA",Colorado state highways,Important U.S. mountain-leisure region but one state,"Station-direction-hour vehicle count; monthly and annual summaries",Station-direction-hour,Hourly with daily/monthly/annual summaries,"Historical data available but exact start not established; recent guidance says 118 continuous stations","Raw continuous data may be published rapidly; exact public release lag not documented",Historical availability not precisely verified,"CDOT warns raw COGNOS data are not reviewed before publication; explorer aggregates may change",No historical release-vintage service identified,"Traffic Data Explorer and ArcGIS/exports",https://dtdapps.codot.gov/otis/trafficdata; https://dtdapps.codot.gov/server/rest/services/Webapps/open_data_sde/FeatureServer,None,,Free,Official open data; exact license/automation terms not located,"No automated request until exact terms and path-specific robots evidence; validate station IDs/geography manually before any query","Station failure; frozen values; missing intervals; construction/weather; route diversions; station additions/removals; commuter/freight contamination","Using cleaned/restated values unavailable at cutoff; selecting resort stations after outcome inspection","Unknown history start and 0/23 strict publication-vintage coverage verified",One station metadata row and one station-day of hourly counts,pending_permission,,,"No defensible historical publication timing and raw data quality may swamp a small leisure signal","https://dtdapps.codot.gov/otis/trafficdata; https://www.codot.gov/safety/traffic-safety/assets/traffic_analysis_forecasting_guidelines/traffic_analysis_forecasting_guidelines/%40%40download/file/Traffic%20Analysis%20and%20Forcasting%20Guidelines.pdf; https://dtdapps.codot.gov/server/rest/services/Webapps/open_data_sde/FeatureServer","High-frequency candidate worth prospective capture after permission; not backtestable from a current snapshot"
10,NYC_311_TOURISM_STRESS,NYC 311 service requests 2010-present,NYC Office of Technology and Innovation / 311,Municipal service-stress proxies,"Weekend-night noise and illegal-hotel complaints per fixed tourism district may proxy visitor density or regulatory/enforcement stress relative to residential control districts",Ambiguous: positive for visitor stress but negative for regulatory friction,"Nights booked; active supply; geographic mix",Realized activity and regulatory stress,"Complaint microdata are public and frequent, but extracting a fixed no-PII aggregate and controlling reporting-channel changes is operationally nonstandard",New York City,One globally material destination but city-level outcomes are unavailable in ABNB disclosures,"Service request with created date, problem/detail, agency and aggregate geography",Service-request event; aggregate only to council district/borough,Daily,"2010-present split into 2010-2019 and 2020-present datasets","Automatically updated daily; current values for many fields change over time",2011-10-18 date made public for the longstanding dataset,"Mutable rows; 2025 field-label additions and dataset split; Socrata changelog/restore points visible but programmatic vintage guarantees not established",Possible portal restore points, but not yet verified as complete historical snapshots,"Socrata SODA/OData with server-side aggregation only",https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9; https://opendata.cityofnewyork.us/311-service-requests-from-2010-to-present-updates/,None,,Free,"NYC Open Data terms allow public dataset use with source/version/modification identification; no customer PII in dataset","Query only aggregate fields/counts; never retain addresses, BBL, coordinates or free text; path-specific robots evidence required","Complaint-channel changes; enforcement campaigns; category renames; reporting propensity; duplicate complaints; COVID remote-call issue; mutable closure/status fields","Using later reclassification/deletion state at earlier cutoff or collecting household-level location fields","History spans 23/23 events, but 0/23 strict eligible until complete restore-point coverage or contemporaneous aggregates are proven",One metadata response plus one server-side aggregate count with no location microdata,prospective_only,,,"Complaints measure reporting and enforcement behavior, not tourist presence, and vintage reconstruction is unresolved","https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9; https://opendata.cityofnewyork.us/311-service-requests-from-2010-to-present-updates/; https://cityofnewyork.github.io/opendatatsm/publicpolicies.html","Negative control design is mandatory; community-created filtered views are not authoritative and should not be used"
