period,currency,usd_per_unit,reference_usd_per_unit,information_date,reference_basis,source_ref,evidence_status,rate_status,quote_cutoff,observed_daily_n,flat_weekday_n,foreign_usd_multiplier,averaging,fx_scenario
2025-06,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2025-06-30,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2025-07,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2025-07-31,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2025-08,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2025-08-31,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2025-09,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2025-09-30,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2025Q1,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2025-03-31,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2025Q2,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2025-06-30,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2026-06,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2026-06-30,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2026-07,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2026-07-31,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2026-08,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2026-08-31,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2026-09,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,flat_assumption,2026-09-13,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
2026Q1,USD,1,1,2026-09-11,fixed_2025_daily_average_usd_per_unit,USD identity,identity,observed,2026-03-31,0,0,0.95,arithmetic observed daily quotes plus unobserved future weekdays at last cached spot; not transaction weighted,fx0.95
