date,event,speaker,statement,explicit_number,tied_to_a_year,product_specific,counts_under_R08_convention,source
2023-03-07,MS TMT 2023,Chesky,services could add a few percentage points of take rate (S171 in 05_statements.csv),no (range phrase),no,partly,no,data/processed/margin_build/05_mgmt_statements_v2/05_statements.csv
2025-02-13,4Q24 call,Chesky,"each business could take three to five years to scale. A great business could get to $1 billion of revenue",yes ($1bn),no (3-5 years),yes (new businesses),no (undated),data/raw/transcripts/web/4Q24.html
2025-02-13,4Q24 letter,letter,FY25 new-business investment $200-250M,yes,yes (FY25),yes,no (cost not growth),data/raw/letters/4Q24_d915198dex991.htm
2025-11-06,3Q25 call,Chesky,"services, experiences and hotels can each be multi-billion-dollar businesses ... on pace to every year having at least a new business",no,no,yes,no,data/raw/transcripts/web/3Q25.html
2026-02-12,4Q25 call,Chesky,"Project Y will deliver hundreds of millions more this year; pricing initiatives will drive as much revenue this year as Hawaii",no (order of magnitude),yes (2026),yes (pricing; Hawaii),no (no explicit figure),data/raw/transcripts/web/4Q25.html
2026-02-12,4Q25 call,Mertz,"these three features delivered over 200 basis points of growth in nights booked and roughly 300 basis points of growth in GBV in Q4",yes,yes (4Q25),yes (bundle),no (backward-looking),data/raw/transcripts/web/4Q25.html
2026-05-07,1Q26 call,Mertz,"approximately three points of nights booked growth and approximately four points of GBV growth in Q1",yes,yes (1Q26),yes (bundle),no (backward-looking),data/raw/transcripts/web/1Q26.html
2026-05-07,1Q26 call,Chesky,"payments and pricing roadmap ... has the opportunity to deliver hundreds of millions of dollars in revenue each year",no (order of magnitude),no,yes (pricing),no,data/raw/transcripts/web/1Q26.html
2026-08-06,2Q26 call,Chesky,"pricing ... many multiples bigger than RNPL (D053)",no (relative),no,yes (pricing),no,data/processed/overnight2/D/rnpl_statement_ledger.csv
2026-09-08,GS Communacopia 2026,Chesky,"straight shot to $1 billion incremental high margin revenue (seller services); major announcements next year",yes ($1bn) / no,no (undated) / 2027,yes / no,no (conference not letter or call; undated),data/processed/margin_build/05_mgmt_statements_v2/05_statements.csv V022 V023
