scenario,p_yes
"base (rev 2: explicit figure, booking-generating revenue only)",0.121
loose resolver counts order-of-magnitude phrases,0.212
p_num_feb 0.20 (Feb letter decomposes the FY27 guide by driver),0.21
p_num_feb 0.06 (2Q26 no-one-thing framing persists),0.085
p_num_nov 0.05 (revision-1 November),0.133
p_named 0.75 (no product named before Feb),0.099
convention 2 as in revision 1 (take-rate revenue converts): Feb 0.12,0.139
"auditor tree (named 1.0, Nov 0.03, Feb 0.10)",0.127
"revision-1 tree (Nov 0.05, Feb 0.12)",0.151
"joint bull (named 0.95, nov 0.08, feb 0.22, loose)",0.346
"joint bear (named 0.8, nov 0.02, feb 0.05)",0.055
