quarter,scenario,best1_eq,best1_rw,none_eq,none_rw,ridge_all_eq,ridge_all_rw,surv_emp_computer_systems_design_rw
2026Q3,base,51.78401684311331,52.061110010286235,51.67321890765513,51.57482662800032,51.54197129838065,51.501156689636865,51.6982642207586
2026Q3,bear,51.65707335642384,52.002699823862535,51.53691235827451,51.48270147938532,51.402208061670656,51.40682916763665,51.60741201096164
2026Q3,bull,52.1586209347605,52.38083824310948,52.05947975284376,51.92160360056555,51.932097822322,51.85075273417374,52.043169524642096
2026Q4,base,29.025160589725783,28.628369638059038,28.64223790376717,28.46956280395566,28.631391503262403,28.46624896969358,28.624064603449597
2026Q4,bear,28.14647987254751,27.7749847405139,27.758536936366166,27.614754470192597,27.74471397046274,27.607881622894425,27.771941957795296
2026Q4,bull,29.687565515314546,29.250063030182172,29.308354536187213,29.091899573621514,29.300902943054695,29.091833203523112,29.244016369870142
2027Q1,base,19.78584636480324,19.462515501780796,19.738950016982542,19.458175025238372,19.72596452637109,19.45250237822076,19.458175025238372
2027Q1,bear,19.752364203949384,19.607017939479324,19.71391868733898,19.610144393354705,19.690220162802618,19.59685604457893,19.610144393354705
2027Q1,bull,20.454918187886015,20.013392159820867,20.40296790805522,20.00415873654853,20.397841254157306,20.004843473832477,20.00415873654853
2027Q2,base,34.631539597325336,34.38437803799225,34.59538882281496,34.38288325513195,34.58083503830782,34.375344159399354,34.38288325513195
2027Q2,bear,32.2827505365045,32.17448759291604,32.251371293275426,32.17844324518287,32.225086921085556,32.159542401867945,32.17844324518287
2027Q2,bull,35.999802465269816,35.63583166513763,35.95928782214273,35.62969012667095,35.953583896585506,35.63006412730044,35.62969012667095
2027Q3,base,50.832088362698535,50.582806741830446,50.77565927244334,50.577907856888345,50.623053466906896,50.489386545519544,50.577907856888345
2027Q3,bear,48.79171715612267,48.684212427225766,48.73969224522678,48.68444607359588,48.570171168924354,48.58332262408227,48.68444607359588
2027Q3,bull,52.23078152172064,51.86454989579027,52.17013591159962,51.855117323517504,52.03068349050003,51.77641495333986,51.855117323517504
2027Q4,base,26.79527886005389,26.334999943362153,26.721446443913877,26.330000569222832,26.690996913999296,26.314286892894614,26.330000569222832
2027Q4,bear,22.69226397212222,22.36854062176154,22.619884190033865,22.367907808165413,22.575353756470353,22.338035959221042,22.367907808165413
2027Q4,bull,29.989672583449256,29.397250259310937,29.913271459652652,29.38769797657443,29.895278828596723,29.383835439145255,29.38769797657443
