quarter,share,n,last
2019Q1,41.976309482982096,3,2019-01-20
2019Q2,44.61840967657995,3,2019-04-21
2019Q3,48.5010327990112,3,2019-07-21
2019Q4,49.53867828867829,3,2019-10-20
2020Q1,45.415202752159274,3,2020-01-19
2020Q2,54.67871002274856,3,2020-04-19
2020Q3,59.28981535851765,3,2020-07-19
2020Q4,54.93615763376393,3,2020-10-18
2021Q1,55.141997802070684,3,2021-01-17
2021Q2,52.830220091232974,3,2021-04-18
2021Q3,50.645161290322584,3,2021-07-18
2021Q4,51.38528138528139,3,2021-10-17
2022Q1,54.23286576218478,3,2022-01-16
2022Q2,53.907275578313424,3,2022-04-17
2022Q3,55.94407931270708,3,2022-07-17
2022Q4,54.964003145117694,3,2022-10-16
2023Q1,52.532264925169564,4,2023-01-22
2023Q2,53.084712602564515,3,2023-04-16
2023Q3,55.90019687958779,3,2023-07-16
2023Q4,58.87816991851908,4,2023-10-22
2024Q1,56.0745875571457,3,2024-01-21
2024Q2,57.3336405529954,3,2024-04-21
2024Q3,57.84605451385719,3,2024-07-21
2024Q4,56.82242156468961,3,2024-10-20
2025Q1,55.41383948273059,3,2025-01-19
2025Q2,57.01217293031453,3,2025-04-20
2025Q3,55.634858186119466,3,2025-07-20
2025Q4,53.87569623421401,3,2025-10-19
2026Q1,53.29781594571671,3,2026-01-18
2026Q2,52.38873294871928,3,2026-04-19
2026Q3,53.04123999776173,3,2026-07-19
