fy,scenario,spec_id,prior_basis,revenue,nights,gbv,cor,ops,pd,sm,ga,other_net,adj_ebitda_musd,adj_ebitda_margin_pct,cons_ebitda_musd,cons_margin_pct,ws31b_base_margin_pct,ws30_margin_pct,mgmt_fy26_floor_pct
FY26,base,best1_eq,PIT,14268.1433,583.1113,105415.3,2375.91857438477,1316.7653603216804,1491.6383886690055,2986.948870555803,998.7239202517005,92.02525931670246,5190.173445133743,36.37595541344012,5053.72214,35.61578506074649,35.252104573905875,36.19,35.5
FY27,base,best1_eq,PIT,15828.606600000001,621.8413999999999,115472.5,2600.9595692283456,1396.090758631412,1658.3052835897936,3543.5135439797987,1124.5163601092831,107.13220046889764,5612.353284930264,35.45702680443308,5766.09917,36.44968403876268,35.942640628694235,36.43,
FY28,base,best1_eq,PIT,17137.441,659.4317,124940.69999999998,2823.945699230193,1474.2934067017568,1843.5945564766803,4171.80875096589,1238.281883021666,115.99073823313705,5701.50744183695,33.26930457025031,6602.71735,37.65429919467499,36.94149744882339,,
FY26,base,best1_eq,full_sample,14268.1433,583.1113,105415.3,2375.91857438477,1316.7653603216804,1491.6383886690055,2986.948870555803,998.7239202517005,92.02525931670246,5190.173445133743,36.37595541344012,5053.72214,35.61578506074649,35.252104573905875,36.19,35.5
FY27,base,best1_eq,full_sample,15828.606600000001,621.8413999999999,115472.5,2600.9595692283456,1396.090758631412,1658.3052835897936,3543.5135439797987,1124.5163601092831,107.13220046889764,5612.353284930264,35.45702680443308,5766.09917,36.44968403876268,35.942640628694235,36.43,
FY28,base,best1_eq,full_sample,17137.441,659.4317,124940.69999999998,2823.945699230193,1474.2934067017568,1843.5945564766803,4171.80875096589,1238.281883021666,115.99073823313705,5701.50744183695,33.26930457025031,6602.71735,37.65429919467499,36.94149744882339,,
FY26,bear,best1_eq,PIT,14164.807,581.108,104393.2,2358.4813526302173,1313.420094565173,1491.6383886690055,2978.333549151279,998.7239202517005,91.32585187755907,5115.535546610184,36.11440344093769,5053.72214,35.61578506074649,35.252104573905875,34.01,35.5
FY27,bear,best1_eq,PIT,14948.333900000001,602.2638,107833.2,2476.6917419736483,1368.7012610196307,1658.3052835897936,3464.027880404983,1124.5163601092831,101.17428176216208,4957.265654664823,33.162663396653336,5766.09917,36.44968403876268,35.942640628694235,30.56,
FY26,bear,best1_eq,full_sample,14164.807,581.108,104393.2,2358.4813526302173,1313.420094565173,1491.6383886690055,2978.333549151279,998.7239202517005,91.32585187755907,5115.535546610184,36.11440344093769,5053.72214,35.61578506074649,35.252104573905875,34.01,35.5
FY27,bear,best1_eq,full_sample,14948.333900000001,602.2638,107833.2,2476.6917419736483,1368.7012610196307,1658.3052835897936,3464.027880404983,1124.5163601092831,101.17428176216208,4957.265654664823,33.162663396653336,5766.09917,36.44968403876268,35.942640628694235,30.56,
FY26,bull,best1_eq,PIT,14391.9366,585.4963,106513.7,2394.535849171586,1320.6156298780425,1491.6383886690055,2996.692615062554,998.7239202517005,92.86312514832319,5282.593322115434,36.70522924701762,5053.72214,35.61578506074649,35.252104573905875,38.0,35.5
FY27,bull,best1_eq,PIT,16570.7436,639.2666999999999,122211.79999999999,2710.0158193501543,1420.5144949731418,1658.3052835897936,3609.1006779995782,1124.5163601092831,112.1551801833209,6160.446144161369,37.17664271965061,5766.09917,36.44968403876268,35.942640628694235,41.26,
FY26,bull,best1_eq,full_sample,14391.9366,585.4963,106513.7,2394.535849171586,1320.6156298780425,1491.6383886690055,2996.692615062554,998.7239202517005,92.86312514832319,5282.593322115434,36.70522924701762,5053.72214,35.61578506074649,35.252104573905875,38.0,35.5
FY27,bull,best1_eq,full_sample,16570.7436,639.2666999999999,122211.79999999999,2710.0158193501543,1420.5144949731418,1658.3052835897936,3609.1006779995782,1124.5163601092831,112.1551801833209,6160.446144161369,37.17664271965061,5766.09917,36.44968403876268,35.942640628694235,41.26,
FY26,base,best1_rw,PIT,14268.1433,583.1113,105415.3,2374.990361131398,1297.6916830769944,1500.749474308675,3007.9473842973275,987.9150014341174,92.02525931670246,5190.87465506819,36.38086992768141,5053.72214,35.61578506074649,35.252104573905875,36.19,35.5
FY27,base,best1_rw,PIT,15828.606600000001,621.8413999999999,115472.5,2590.2177246426354,1357.9451371747555,1688.9036353002498,3678.9162988285802,1056.3485974549217,107.13220046889764,5563.407407067755,35.14780263139369,5766.09917,36.44968403876268,35.942640628694235,36.43,
FY28,base,best1_rw,PIT,17137.441,659.4317,124940.69999999998,2798.9246797608575,1405.5046299102878,1900.6473353218155,4439.696112327214,1117.263105049888,115.99073823313705,5591.395875863074,32.6267841030821,6602.71735,37.65429919467499,36.94149744882339,,
FY26,base,best1_rw,full_sample,14268.1433,583.1113,105415.3,2374.990361131398,1297.6916830769944,1500.749474308675,3007.9473842973275,987.9150014341174,92.02525931670246,5190.87465506819,36.38086992768141,5053.72214,35.61578506074649,35.252104573905875,36.19,35.5
FY27,base,best1_rw,full_sample,15828.606600000001,621.8413999999999,115472.5,2590.2177246426354,1357.9451371747555,1688.9036353002498,3678.9162988285802,1056.3485974549217,107.13220046889764,5563.407407067755,35.14780263139369,5766.09917,36.44968403876268,35.942640628694235,36.43,
