quarter,season,print_date,revenue_musd,gbv_l1,gbv_l2,base_musd,lambda_pct,expected_pct,match_reference_precision,display_2dp
2023Q3,3,2023-11-01,3397.0,19100.0,20400.0,19533.333333333332,17.390784982935156,17.391,True,17.39
2023Q4,4,2024-02-13,2218.0,18300.0,19100.0,18566.666666666668,11.946140035906643,11.946,True,11.95
2024Q1,1,2024-05-08,2142.0,15500.0,18300.0,16433.333333333332,13.03448275862069,13.034,True,13.03
2024Q2,2,2024-08-06,2748.0,22900.0,15500.0,20433.333333333332,13.448613376835237,13.449,True,13.45
2024Q3,3,2024-11-07,3732.0,21200.0,22900.0,21766.666666666664,17.145482388973967,17.145,True,17.15
2024Q4,4,2025-02-13,2480.0,20100.0,21200.0,20466.666666666668,12.117263843648209,12.117,True,12.12
2025Q1,1,2025-05-01,2272.0,17600.0,20100.0,18433.333333333332,12.325497287522605,12.325,True,12.33
2025Q2,2,2025-08-06,3096.0,24500.0,17600.0,22200.0,13.945945945945946,13.946,True,13.95
2025Q3,3,2025-11-06,4095.0,23500.0,24500.0,23833.333333333336,17.18181818181818,17.182,True,17.18
2025Q4,4,2026-02-12,2778.0,22900.0,23500.0,23100.0,12.025974025974026,12.026,True,12.03
2026Q1,1,2026-05-07,2678.0,20400.0,22900.0,21233.333333333336,12.612244897959183,12.612,True,12.61
2026Q2,2,2026-08-06,3608.0,29200.0,20400.0,26266.666666666664,13.736040609137056,13.736,True,13.74
