quarter,season,print_date,revenue_musd,gbv_l1,gbv_l2,base_musd,lambda_pct
2021Q1,1,2021-05-13,887.0,5905.7,8029.3,6613.5666666666675,13.411825187619387
2021Q2,2,2021-08-12,1335.0,10300.0,5905.7,8835.233333333334,15.109957480843743
2021Q3,3,2021-11-04,2237.0,13400.0,10300.0,12366.666666666666,18.088948787061994
2021Q4,4,2022-02-15,1532.0,11900.0,13400.0,12400.0,12.35483870967742
2022Q1,1,2022-05-03,1509.0,11300.0,11900.0,11500.0,13.121739130434783
2022Q2,2,2022-08-02,2104.0,17200.0,11300.0,15233.333333333332,13.811816192560176
2022Q3,3,2022-11-01,2884.0,17000.0,17200.0,17066.666666666664,16.898437500000004
2022Q4,4,2023-02-14,1902.0,15600.0,17000.0,16066.666666666668,11.83817427385892
2023Q1,1,2023-05-09,1818.0,13500.0,15600.0,14200.0,12.80281690140845
2023Q2,2,2023-08-03,2484.0,20400.0,13500.0,18100.0,13.723756906077348
2023Q3,3,2023-11-01,3397.0,19100.0,20400.0,19533.333333333332,17.390784982935156
2023Q4,4,2024-02-13,2218.0,18300.0,19100.0,18566.666666666668,11.946140035906643
2024Q1,1,2024-05-08,2142.0,15500.0,18300.0,16433.333333333332,13.03448275862069
2024Q2,2,2024-08-06,2748.0,22900.0,15500.0,20433.333333333332,13.448613376835237
2024Q3,3,2024-11-07,3732.0,21200.0,22900.0,21766.666666666664,17.145482388973967
2024Q4,4,2025-02-13,2480.0,20100.0,21200.0,20466.666666666668,12.117263843648209
2025Q1,1,2025-05-01,2272.0,17600.0,20100.0,18433.333333333332,12.325497287522605
2025Q2,2,2025-08-06,3096.0,24500.0,17600.0,22200.0,13.945945945945946
2025Q3,3,2025-11-06,4095.0,23500.0,24500.0,23833.333333333336,17.18181818181818
2025Q4,4,2026-02-12,2778.0,22900.0,23500.0,23100.0,12.025974025974026
2026Q1,1,2026-05-07,2678.0,20400.0,22900.0,21233.333333333336,12.612244897959183
2026Q2,2,2026-08-06,3608.0,29200.0,20400.0,26266.666666666664,13.736040609137056
