quarter,as_of,status,reason
2023Q1,2023-02-14,refused,"GBV not printed strictly before 2023-02-14: ['2022Q4', '2022Q3']"
2023Q2,2023-05-09,refused,"GBV not printed strictly before 2023-05-09: ['2023Q1', '2022Q4']"
2023Q3,2023-08-03,refused,"GBV not printed strictly before 2023-08-03: ['2023Q2', '2023Q1']"
2023Q4,2023-11-01,refused,"GBV not printed strictly before 2023-11-01: ['2023Q3', '2023Q2']"
2024Q1,2024-02-13,refused,"GBV not printed strictly before 2024-02-13: ['2023Q4', '2023Q3']"
2024Q2,2024-05-08,refused,"GBV not printed strictly before 2024-05-08: ['2024Q1', '2023Q4']"
2024Q3,2024-08-06,refused,"GBV not printed strictly before 2024-08-06: ['2024Q2', '2024Q1']"
2024Q4,2024-11-07,refused,"GBV not printed strictly before 2024-11-07: ['2024Q3', '2024Q2']"
2025Q1,2025-02-13,refused,"GBV not printed strictly before 2025-02-13: ['2024Q4', '2024Q3']"
2025Q2,2025-05-01,refused,"GBV not printed strictly before 2025-05-01: ['2025Q1', '2024Q4']"
2025Q3,2025-08-06,refused,"GBV not printed strictly before 2025-08-06: ['2025Q2', '2025Q1']"
2025Q4,2025-11-06,refused,"GBV not printed strictly before 2025-11-06: ['2025Q3', '2025Q2']"
2026Q1,2026-02-12,refused,"GBV not printed strictly before 2026-02-12: ['2025Q4', '2025Q3']"
2026Q2,2026-05-07,refused,"GBV not printed strictly before 2026-05-07: ['2026Q1', '2025Q4']"
