recon_id,source_ids,exact_official_url,purpose,registered_at_utc,method,user_agent,no_cookies,no_auth,no_personal_data,data_payload_exception,manifest_status
PR-001,NYC_OSE_STR_SNAPSHOTS|NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/home/terms-of-use.page,Shared official NYC terms evidence for exact-path automation decision,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-002,NYC_OSE_STR_SNAPSHOTS|NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/robots.txt,Shared official robots rules governing both retained NYC data paths,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-003,NYC_OSE_STR_SNAPSHOTS,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,Official dataset metadata and dated-publication page only; no linked data payload,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-004,NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,Official annual-report publication index only; no linked report payload,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-005,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/robots.txt,Official robots rules governing the TDT publication and report paths,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-006,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/sitemap,Official site map used only to locate any published terms or copyright notice,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-007,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/quicklinks.aspx?CID=39,Official TDT report publication index only; no report or workbook payload,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-008,VANCOUVER_STR_LICENSES,https://vancouver.ca/your-government/terms-of-use.aspx,Official City terms and Open Government Licence reference,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-009,VANCOUVER_STR_LICENSES,https://opendata.vancouver.ca/robots.txt,Official robots rules governing the OpenDataSoft API path,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-010,VANCOUVER_STR_LICENSES,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,Official API documentation and dataset metadata only; no record payload,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
