recon_id,source_ids,requested_url,requested_at_utc,effective_url,http_status,content_type,response_bytes,sha256,body_cache_path,headers_cache_path,captcha_detected,stop_status,error
PR-001,NYC_OSE_STR_SNAPSHOTS|NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/home/terms-of-use.page,2026-09-03T16:59:59Z,,,,0,,,cache/PR-001.headers.txt,False,stopped_network_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
PR-002,NYC_OSE_STR_SNAPSHOTS|NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/robots.txt,,,,,0,,,,False,not_requested_after_host_stop,prior request to this host triggered stop rule
PR-005,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/robots.txt,2026-09-03T16:59:59Z,,,,0,,,cache/PR-005.headers.txt,False,stopped_network_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
PR-006,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/sitemap,,,,,0,,,,False,not_requested_after_host_stop,prior request to this host triggered stop rule
PR-008,VANCOUVER_STR_LICENSES,https://vancouver.ca/your-government/terms-of-use.aspx,2026-09-03T16:59:59Z,,,,0,,,cache/PR-008.headers.txt,False,stopped_network_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
PR-009,VANCOUVER_STR_LICENSES,https://opendata.vancouver.ca/robots.txt,2026-09-03T16:59:59Z,,,,0,,,cache/PR-009.headers.txt,False,stopped_network_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
PR-011,NOLA_STR_PERMIT_EVENTS|NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,2026-09-03T16:59:59Z,,,,0,,,cache/PR-011.headers.txt,False,stopped_network_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
PR-012,NOLA_STR_PERMIT_EVENTS|NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/robots.txt,,,,,0,,,,False,not_requested_after_host_stop,prior request to this host triggered stop rule
PR-015,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/help/guides/terms/,2026-09-03T16:59:59Z,,,,0,,,cache/PR-015.headers.txt,False,stopped_network_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
PR-016,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/robots.txt,,,,,0,,,,False,not_requested_after_host_stop,prior request to this host triggered stop rule
