path,purpose,approved_use,direct_forecast_input_approved,overlap_rule,audit_disposition,sha256_lf
analysis/src/acquire_churn_panel.py,Reacquire pinned 13-market snapshot catalog,Acquisition for supply diagnostics,False,Reuse the existing inside_airbnb_supply_panel inventory; not an independent source,"Verified row counts, IDs, hashes, source dates and explicit failures",f44616d02f1b5290e318befcf5380401eb3b7c78334bf468d699d016cb222f16
analysis/src/fetch_listing_churn_inputs.py,Acquire two-city pilot and dated licensing registry,Replay support for property-identity research,False,Subset of the team panel; never add its listings to the panel total,Verified pinned source and refusal to relabel a current registry as a historical capture,389681c49805330636dc3519ef7f3175b0f273f172d3e5979b297e1151c82817
analysis/src/acquire_churn_archive.py,Acquire broad quarter snapshots and compact cache,Acquisition for supply diagnostics,False,One market/date identity; reuse source captures across studies,Fixed safe URL components and immutable cache behavior; unicode markets remain valid,4811e4f941454805f3fd99fb17528227a781458622ef449e8fb8b1128cfef349
analysis/src/acquire_fee_churn_history.py,Acquire monthly and earlier comparison captures,Acquisition for fee-risk diagnostics,False,Same underlying Inside Airbnb data as broad/team panels,"Reviewed paced requests, failures, fixed selection and capture reuse",223d4c2f3517e3e608bd1f461029c45c53db87f9b79cff77e00d3e03c4f01ac8
analysis/src/audit_listing_churn_inputs.py,Reconcile existing retention aggregates,Input audit only,False,"Audit of the existing supply panel, not a second retention estimate","Reviewed stock-flow, scope, interval and zero-denominator checks",1b43169e92bf2ff87e85f5101b051619b692de6643038f21fb7da5b8266ce1ea
analysis/src/execute_listing_churn.py,"Measure pilot absence, persistence and license-linked continuation",Pilot diagnostic and reviewed case selection,False,"Two-city subset; linked continuation is a sensitivity, not verified migration","Fixed existing-baseline replacement match, invalid states/days and sample preservation",dc3437ebb7620b066efc6b26f59ec31d22fd81466a9280b69067704e756b145d
analysis/src/measure_churn_panel.py,Measure team 13-market historical cohorts,Supply diagnostic,False,Shares captures with broad and fee studies; do not pool their totals,"Reviewed persistence clock, partial negatives, global duplicate IDs and exact permits",25cadcdacabcb17b5d09aff156707416d0f162adcbadfbae9303ad38520ff122
analysis/src/measure_churn_archive.py,Measure broad archive cohorts with overlap exclusions,Supply diagnostic,False,Nested geographies excluded once; other-market positive IDs retained,"Reviewed global identity, coverage, actual days and weighted/equal-market denominators",9688eb1aa009e19b65f88c4dac51ec217764477122b49cac33b511821942602f
analysis/src/measure_fee_churn_history.py,Build rolling quarter/month/portfolio interval rates,Fee-risk diagnostic,False,Repeated captures and cohort views are not independent samples,"Fixed duplicate manifest identity, source precedence and exact selected-date reconciliation",e3ef8de76e35d5a49cfd9d1caf6aa78ac0cc4382a0d80f896cc2f23a1d1d583f
analysis/src/summarize_fee_churn.py,Compare intervals and translate explicit churn assumptions into economics,Scenario arithmetic only; not a causal fee coefficient,False,Challenge existing take-rate and nights assumptions once; recapture is explicit,Fixed duplicate comparison rows and invalid economics; clarified relative take-rate units,158a5e4895d7993e62c3749e831d25b6ed87b452d140ef80a6e39e11ee93ec49
analysis/src/extend_fee_churn_recent.py,Measure summer intervals and winter reappearances,Recent supply diagnostic,False,Reuses 13-market and fee captures; unequal horizons are not annual churn,"Reviewed hash checks, cross-market positives, source composition and return denominators",1f7ded1499867a3d3e73b09a5b0a724eb5944c55decf60ef13d033e696587bef
analysis/src/screen_platform_mentions.py,Find pre-existing other-platform wording in descriptions,Fixed-case evidence-screening support,False,"Lead generation, not counted migrations or additional observations",Added source hash/status checks and explicit reconciliation,c7c4ceef7bb4a79809a6838898c058754f1560e855eee1f24ee00e5492ca0712
analysis/src/probe_listing_archives.py,Look for nearest archived versions of fixed pilot URLs,Legacy fixed-case acquisition support,False,Nearest capture is not a before/after history or proof of operation,"Reviewed actual archive timestamps, failure handling and unknown state",667fbd83a119a4bc194d787ef9fd34f5f4efb8255541dbaa0eb36c4e24cec7c5
analysis/src/index_listing_archives.py,Enumerate exact-URL archive history for the same pilot,Legacy fixed-case acquisition support,False,"Complement to nearest-capture probe, not an independent sample","Reviewed CDX fields, actual timestamps, query bounds and index-versus-content distinction",60cab00c91432541920be7fe2610df794a7e7e004eb782a8d1b2530072cb73ce
analysis/src/summarize_platform_history.py,Join reviewed channel observations to fixed Airbnb dates,Evidence audit rejecting unsupported migration claims,False,Four targeted cases within the 20-case pilot; do not extrapolate shares,"Reviewed identity/hash checks and kept claimed, observed and unknown states separate",5d8720208140014a0eab93cf3d09a4e1f9afe11f7b45b0c98552c4ee05091300
analysis/src/summarize_listing_destinations.py,Reconcile manually reviewed 20-case destination ledger,Evidence audit only,False,Same frozen pilot sample as platform history; counts are not population shares,Fixed evidence identity overrides; unknown outcomes remain unresolved,249578cedd38550cef71de5027a93fef24b6d60a1efa961aba017ed3fd22291e
analysis/src/audit_hotel_funnel.py,Measure hotel/boutique tagged stock and review activity,Hotel supply diagnostic,False,Historical13 and archive25 reuse captures; never concatenate for significance,Fixed fractional/invalid counts and stock-flow assertions; reviews are not booked nights,e843b4adb9e62ba4fb92164e9359529900b7ee11aec8abb5fed03c09929e98b9
analysis/src/model_hotel_funnel.py,"Calculate hotel mix, activation, room supply and credit sensitivities",Scenario arithmetic only,False,Existing driver model already includes hotel nights; do not add gross hotel revenue again,"Added preflight bounds, zero-credit handling and robust counts; original scenarios reconcile",3dfe032e37c7cf2d35568099e8051c2c2c77891fde9c877cac51cb5bf02e6406
analysis/src/verify_hotel_capacity.py,Reconcile official spreadsheet capacity anchors,Capacity denominator audit only,False,"Mixed dates, rooms, properties and geographies stay separate",Fixed boolean/nonfinite/noninteger category acceptance; four anchors reconcile,8785a7286bc80eb4e303f6c076458abcc8981c94288cfdc1bea9c7fd96fac90f
analysis/src/hotel_statistical_design.py,Calculate sample-size planning under explicit assumptions,Design of future hotel-production evidence,False,"No measured effect, achieved power or new forecasting coefficient",Rejects invalid/bool/nonfinite inputs; normal approximation requires actual variance later,00f3e80ddf5c21a6855f36b251197bbc6e44c5b7767b452611a9596fdeeb8cee
analysis/src/audit_hotel_overlap.py,Replay original hotel evidence-overlap audit,Legacy frozen audit/report support,False,Retained for original report provenance; use expanded collector for later inventories,"Fixed mutable cached blobs, case-sensitive URL paths, truncated trees and Git blob verification",a1ac598ec9e3438208c152ab52c7e984eecfe616002f9fdea2e01ca1f5c6ec28
analysis/src/collect_hotel_expanded_team.py,Collect pinned visible team evidence and source references,Canonical overlap inventory for this research release,False,Inventory existing claims before treating a new URL as new evidence,"Reviewed pinned commits, hashes and fetch errors; added portable GitHub CLI discovery",5f12edc94a59e20df024a4a45d2613bade804b280a210a41b681e516cb79ea5d
