,Cleanliness,Comfort,Facilities,Free WiFi,Location,Staff,Total,Value for money,highlights,hotel_name,lat,lng,stars,type,days,segment,fits,price_med,city,datecontrol,dist,metro_dist
0,8.4,7.9,8.2,7.9,9.3,8.8,,8.1,"['“friendly staff”\n127 related reviews', '“clean room”\n58 related reviews', '“common areas”\n56 related reviews', '“boutique style”', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 9.3', 'Continental, Vegetarian, Gluten-free, American, Buffet', 'Good coffee!', 'Balcony, City view', 'Balcony with view', 'Free WiFi', 'Private parking available']",Hostel Casa Gracia,41.3971676,2.1592057000000002,,'Hostels',weekdays,Hostels,2,274.62936672329926,barcelona,2019-07-16&checkout=2019-07-18&,1.4340651504190733,0.2749292970925017
1,8.8,7.9,7.5,8.9,9.1,,8.3,7.7,"['“clean room”\n9 related reviews', '“walking distance”\n8 related reviews', '“excellent location”\n8 related reviews', 'Situated in the real heart of Barcelona, this property has an excellent location score of 9.1']",Hostel Hostal Martina,41.3936806,2.1749986,2 stars,'Hostels',weekdays,Hostels,2,268.22910605813763,barcelona,2019-07-16&checkout=2019-07-18&,0.8376502284788848,0.48379884127126327
2,8.9,8.0,8.0,8.4,8.3,8.5,,8.1,"['“metro station”\n37 related reviews', '“friendly staff”\n31 related reviews', '“clean room”\n22 related reviews', '“boutique style”', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.3', 'Balcony, City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Live & Dream,41.373099100000005,2.1375744,,'Hostels',weekdays,Hostels,2,222.7290711476249,barcelona,2019-07-16&checkout=2019-07-18&,3.128403727809146,0.26141969592372916
3,9.3,8.7,9.1,8.4,9.3,,9.1,8.8,"['“friendly staff”\n29 related reviews', '“clean rooms”\n20 related reviews', '“living room”\n20 related reviews', 'Situated in the real heart of Barcelona, this property has an excellent location score of 9.3', 'Balcony with view', 'Balcony, City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Born Barcelona Hostel,41.3910458,2.1787634,,'Hostels',weekdays,Hostels,2,312.5654572113482,barcelona,2019-07-16&checkout=2019-07-18&,0.8507105923671147,0.14325564286042888
4,8.5,7.9,8.5,8.7,8.6,9.1,,8.4,"['“friendly staff”\n57 related reviews', '“super nice”\n35 related reviews', '“common area”\n24 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.6', 'Continental, Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Amistat Beach Hostel Barcelona,41.4003526,2.2058647999999996,,'Hostels',weekdays,Hostels,2,318.6166127493192,barcelona,2019-07-16&checkout=2019-07-18&,3.3373008904689843,1.5932860869155059
5,7.9,7.1,7.5,8.4,8.2,9.3,,7.9,"['“friendly staff”\n18 related reviews', '“metro station”\n11 related reviews', '“public transport”\n5 related reviews', 'Top location: Highly rated by recent guests (8.2)', 'FREE parking!']",Hostel Residencia Albergue Studio,41.3997922,2.1187896,,'Hostels',weekdays,Hostels,2,200.6190797588847,barcelona,2019-07-16&checkout=2019-07-18&,4.5070743790177366,0.5584976243154901
6,8.7,8.3,8.7,7.8,8.8,,8.7,8.3,"['“friendly staff”\n18 related reviews', '“free bike”\n8 related reviews', '“free dinner”\n6 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.8', 'Patio', 'View', 'City view']",Hostel Bed and Bike Barcelona,41.397133200000006,2.1762118,,'Hostels',weekdays,Hostels,2,320.82761188819325,barcelona,2019-07-16&checkout=2019-07-18&,1.2248973007373944,0.6832248508121862
7,8.7,8.6,8.8,8.3,9.4,8.9,,8.4,"['“friendly staff”\n71 related reviews', '“nice place”\n49 related reviews', '“clean room”\n43 related reviews', '“boutique style”', 'Situated in the real heart of Barcelona, this property has an excellent location score of 9.4', 'Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!']",Hostel TOC Hostel Barcelona,41.384708700000004,2.1624595,,'Hostels',weekdays,Hostels,2,327.4606093048153,barcelona,2019-07-16&checkout=2019-07-18&,0.6866505175824786,0.14212527368835265
8,7.2,7.1,7.3,8.0,8.5,,7.7,7.5,"['“friendly staff”\n27 related reviews', '“la rambla”\n12 related reviews', '“metro station”\n11 related reviews', 'Situated in the real heart of Barcelona, this property has an excellent location score of 8.5', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Be Sound Hostel,41.375834399999995,2.1709438,,'Hostels',weekdays,Hostels,2,225.6382805408802,barcelona,2019-07-16&checkout=2019-07-18&,1.257272601065223,0.230898506853238
9,9.1,8.6,8.9,8.6,9.1,,9.0,8.7,"['“friendly staff”\n78 related reviews', '“super clean”\n51 related reviews', '“nice place”\n27 related reviews', '“boutique style”', 'Situated in the real heart of Barcelona, this property has an excellent location score of 9.1', 'Balcony, City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Primavera Hostel,41.3981917,2.1687095000000003,,'Hostels',weekdays,Hostels,2,292.4337282100216,barcelona,2019-07-16&checkout=2019-07-18&,1.232149391057713,0.8443362049190297
10,9.1,8.8,8.9,8.5,9.3,,9.1,8.9,"['“friendly staff”\n91 related reviews', '“common area”\n44 related reviews', '“super nice”\n33 related reviews', '“boutique style”', 'Situated in the real heart of Barcelona, this property has an excellent location score of 9.3', 'City view', 'View', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking available']",Hostel Casa Kessler Barcelona,41.390143200000004,2.1589207999999998,,'Hostels',weekdays,Hostels,2,295.2265692275467,barcelona,2019-07-16&checkout=2019-07-18&,0.9855801257549344,0.5127846174436128
11,8.2,7.8,8.0,8.6,8.7,8.8,,8.3,"['“friendly staff”\n23 related reviews', '“metro station”\n15 related reviews', '“excellent hostel”\n6 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.7', 'Buffet', 'Good coffee!']",Hostel HelloBCN Hostel Barcelona,41.3735953,2.1692084,1 stars,'Hostels',weekdays,Hostels,2,202.71371052202852,barcelona,2019-07-16&checkout=2019-07-18&,1.5049636927275172,0.13470653394123683
12,8.9,8.4,8.8,9.0,9.0,,8.9,8.8,"['“friendly staff”\n53 related reviews', '“common area”\n13 related reviews', '“clean bathrooms”\n11 related reviews', 'Situated in the real heart of Barcelona, this property has an excellent location score of 9.0', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Sweet BCN Youth Hostel,41.3968919,2.1660796,,'Hostels',weekdays,Hostels,2,168.85051318453696,barcelona,2019-07-16&checkout=2019-07-18&,1.1318274443572576,0.5835376119891154
13,9.0,8.6,8.8,8.1,8.2,9.4,,8.7,"['“friendly staff”\n34 related reviews', '“clean room”\n18 related reviews', '“comfy beds”\n12 related reviews', 'Top location: Highly rated by recent guests (8.2)', 'Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Free Hostels Barcelona,41.388596899999996,2.1444804,,'Hostels',weekdays,Hostels,2,224.8237019107687,barcelona,2019-07-16&checkout=2019-07-18&,2.1409123862764536,0.4931981811913672
14,5.6,5.9,5.2,7.6,8.4,,6.1,5.8,"['“amazing location”\n2 related reviews', 'Situated in the real heart of Barcelona, this property has an excellent location score of 8.4', 'Balcony, City view', 'Free WiFi']",Hostel Hostel Artistic Barcelona,41.3799957,2.1796783,,'Hostels',weekdays,Hostels,2,242.7444317732213,barcelona,2019-07-16&checkout=2019-07-18&,1.1322092415775196,0.43723184656266684
15,9.2,8.9,9.1,9.4,9.2,9.7,,9.1,"['“super friendly”\n51 related reviews', '“great place”\n27 related reviews', '“free dinner”\n23 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 9.2', 'Continental', 'Very good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Hostel One Paralelo,41.3721913,2.1651877,,'Hostels',weekdays,Hostels,2,323.5040845299881,barcelona,2019-07-16&checkout=2019-07-18&,1.7076603158056007,0.4011241819912018
16,8.9,8.5,8.7,9.1,8.8,,8.9,9.0,"['“super friendly”\n19 related reviews', '“helpful staff”\n19 related reviews', '“free dinner”\n16 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.8']",Hostel Hostel One Sants,41.3742645,2.1303955,,'Hostels',weekdays,Hostels,2,221.09991388740193,barcelona,2019-07-16&checkout=2019-07-18&,3.6079294919379796,0.30990630020913296
17,8.4,7.7,8.2,6.5,8.3,8.6,,8.2,"['“friendly staff”\n65 related reviews', '“sagrada familia”\n36 related reviews', '“metro station”\n31 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.3', 'Continental, Buffet', 'Free WiFi', 'Private parking available on-site', 'Great area for shopping!']",Hostel Sant Jordi Hostel Sagrada Familia,41.4098744,2.1790722000000002,,'Hostels',weekdays,Hostels,2,205.04107803663274,barcelona,2019-07-16&checkout=2019-07-18&,2.6355876984758067,0.7063658856778563
18,7.4,7.1,7.4,8.5,9.1,8.3,,7.8,"['“friendly staff”\n109 related reviews', '“great hostel”\n46 related reviews', '“perfect location”\n37 related reviews', 'Situated in the real heart of Barcelona, this property has an excellent location score of 9.1', 'American', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking available']",Hostel The Hipstel Paseo De Gracia,41.3922902,2.1629535,,'Hostels',weekdays,Hostels,2,165.01035678543997,barcelona,2019-07-16&checkout=2019-07-18&,0.8219659508506536,0.3819540700949083
19,7.7,7.2,7.3,8.2,8.9,,7.9,7.8,"['“friendly staff”\n28 related reviews', '“spacious rooms”\n21 related reviews', '“excellent location”\n20 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.9', 'Balcony with view', 'Landmark / City view']",Hostel Diagonal House Hostel,41.3972637,2.1615352000000003,1 stars,'Hostels',weekdays,Hostels,2,155.70088672702306,barcelona,2019-07-16&checkout=2019-07-18&,1.3290258950969636,0.3202846882562045
20,9.4,8.8,9.2,9.5,8.9,,9.2,9.0,"['“helpful staff”\n41 related reviews', '“great neighbourhood”\n24 related reviews', '“super clean”\n23 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.9', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Private parking available']",Hostel Jam Hostel Barcelona,41.4047333,2.1597057,,'Hostels',weekdays,Hostels,2,202.24823701910768,barcelona,2019-07-16&checkout=2019-07-18&,2.1351888670018835,0.6637286922394051
21,7.8,7.4,7.5,6.5,6.8,,7.6,8.0,"['“swimming pool”\n23 related reviews', '“train station”\n22 related reviews', '“friendly staff”\n21 related reviews', 'Balcony, Garden view', 'Balcony with view', 'Private pool', 'Patio', 'Free WiFi', 'Free private parking available on-site']",Hostel Inout,41.4226994,2.0971723,,'Hostels',weekdays,Hostels,2,182.69834989643212,barcelona,2019-07-16&checkout=2019-07-18&,7.256869274981754,3.560708184820442
22,7.6,6.9,7.3,6.8,8.4,8.5,,7.4,"['“friendly staff”\n20 related reviews', '“free coffee”\n8 related reviews', '“simple breakfast”\n5 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.4', 'Continental', 'Free WiFi']",Hostel Mambo Tango,41.37405820000001,2.1656417,,'Hostels',weekdays,Hostels,2,156.86457048432516,barcelona,2019-07-16&checkout=2019-07-18&,1.497342799589424,0.2590093093579149
23,6.7,6.2,6.4,7.0,8.4,,7.0,6.9,"['“clean room”\n2 related reviews', '“friendly staff”\n2 related reviews', '“central location”\n2 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.4', 'City view', 'Free WiFi', 'Great area for shopping!']",Hostel HolidaysBCN Hostel,41.3773057,2.1545327000000003,,'Hostels',weekdays,Hostels,2,236.46053948378986,barcelona,2019-07-16&checkout=2019-07-18&,1.69318088716188,0.17594412288152844
24,9.3,8.9,9.1,9.3,9.4,9.7,,9.0,"['“friendly staff”\n86 related reviews', '“free breakfast”\n36 related reviews', '“nice place”\n31 related reviews', 'Situated in the real heart of Barcelona, this property has an excellent location score of 9.4', 'Fabulous breakfast included with all options', 'Buffet', 'Very good coffee!', 'Balcony with view', 'Garden / City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Fabrizzio's Petit,41.3938255,2.1700357999999995,,'Hostels',weekdays,Hostels,2,434.9849884795308,barcelona,2019-07-16&checkout=2019-07-18&,0.7425905977871033,0.46480289204480413
25,7.0,6.1,6.4,7.6,8.9,8.0,,7.2,"['“helpful staff”\n17 related reviews', '“amazing location”\n10 related reviews', '“la rambla”\n9 related reviews', 'Situated in the real heart of Barcelona, this property has an excellent location score of 8.9', 'Continental', 'Free WiFi']",Hostel Hostel New York,41.3804474,2.1794724999999997,,'Hostels',weekdays,Hostels,2,166.75588242139315,barcelona,2019-07-16&checkout=2019-07-18&,1.0850786232994054,0.38519543750851737
26,8.8,8.4,8.4,9.0,8.7,9.5,,8.4,"['“superb staff”\n9 related reviews', '“fresh breakfast”\n8 related reviews', '“minute walk”\n6 related reviews', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.7', 'Continental, Asian', 'Very good coffee!', 'View']",Hostel Camino Hostel,41.3721075,2.1601525,,'Hostels',weekdays,Hostels,2,236.9260129867107,barcelona,2019-07-16&checkout=2019-07-18&,1.8612326178651895,0.290469346366065
27,8.1,7.7,8.0,9.0,7.3,9.1,,8.2,"['“friendly staff”\n22 related reviews', '“city centre”\n8 related reviews', '“metro station”\n7 related reviews', 'Continental, Buffet', 'Good coffee!', 'Garden / City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Garden House Hostel Barcelona by Feetup Hostels,41.4359522,2.1612348,,'Hostels',weekdays,Hostels,2,165.2430935369004,barcelona,2019-07-16&checkout=2019-07-18&,5.469124709982319,0.4474568418597833
28,4.4,4.2,4.1,5.8,5.0,,4.4,4.1,['Free WiFi'],Hostel MotorSport Barcelona,41.420745399999994,2.1753547,,'Hostels',weekdays,Hostels,2,432.54125258919635,barcelona,2019-07-16&checkout=2019-07-18&,3.7580090302802662,0.4235918657408943
29,7.8,6.4,6.8,,8.9,,7.4,6.1,"['Situated in the real heart of Barcelona, this property has an excellent location score of 8.9', 'Free WiFi']",Hostel Natural Bright Room in Gothic,41.380237,2.179903,,'Hostels',weekdays,Hostels,2,239.7188540042358,barcelona,2019-07-16&checkout=2019-07-18&,1.127353479621922,0.4142384707725324
30,8.2,8.0,8.2,8.3,8.7,8.7,,7.9,"['“friendly staff”\n101 related reviews', '“comfortable beds”\n47 related reviews', '“private room”\n43 related reviews', '“boutique style”', 'Situated in the best rated area in Barcelona, this property has an excellent location score of 8.7', 'Gluten-free, Buffet', 'Good coffee!', 'View', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Generator Barcelona,41.3991323,2.1626759,3 stars,'Hostels',weekdays,Hostels,2,361.7892801452277,barcelona,2019-07-16&checkout=2019-07-18&,1.4662149720722928,0.5483620645048605
