,Cleanliness,Comfort,Facilities,Free WiFi,Location,Staff,Total,Value for money,highlights,hotel_name,lat,lng,stars,type,days,segment,fits,price_med,city,datecontrol,dist,metro_dist
0,7.1,6.1,6.6,7.9,8.5,7.8,,7.4,"['“friendly staff”\n137 related reviews', '“hyde park”\n128 related reviews', '“tube station”\n93 related reviews', 'Top location: Highly rated by recent guests (8.5)', 'Buffet', 'Free WiFi']",Hostel Smart Hyde Park View Hostel,51.5116777,-0.18298770000000003,,'Hostels',weekends,Hostels,2,362.6613984336414,london,2019-08-09&checkout=2019-08-11&,3.869870785384435,0.3243157173449117
1,7.8,7.1,7.3,7.9,7.2,8.3,,7.9,"['“friendly staff”\n37 related reviews', '“comfortable bed”\n10 related reviews', '“bar downstairs”\n10 related reviews', 'Continental', 'Good coffee!', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hostel Venture Hostel,51.4735882,-0.027216399999999998,,'Hostels',weekends,Hostels,2,187.798396011195,london,2019-08-09&checkout=2019-08-11&,7.967017587844184,3.1759084517438616
2,6.6,5.9,6.4,7.5,8.6,7.4,,7.3,"['“friendly staff”\n174 related reviews', '“tube station”\n163 related reviews', '“excellent location”\n115 related reviews', 'Situated in the real heart of London, this property has an excellent location score of 8.6', 'Buffet', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hostel Smart Russell Square Hostel,51.5227599,-0.1233092,,'Hostels',weekends,Hostels,2,265.057974082175,london,2019-08-09&checkout=2019-08-11&,1.6325237042021825,0.08530718394357013
3,9.3,9.4,8.8,,8.6,,9.0,9.3,"['Top location: Highly rated by recent guests (8.6)', 'Free WiFi']",Hostel Swiss Cottage - Large Private Room,51.54182,-0.182559,,'Hostels',weekends,Hostels,2,196.14760460029635,london,2019-08-09&checkout=2019-08-11&,5.33752556463527,0.6193257986851675
4,7.3,7.0,7.1,7.7,8.7,8.0,,7.4,"['“friendly staff”\n145 related reviews', '“clean rooms”\n90 related reviews', '“russell square”\n82 related reviews', '“boutique style”', 'Situated in the real heart of London, this property has an excellent location score of 8.7', 'Continental, Full English/Irish, Vegetarian, Buffet', 'Good coffee!', 'Free WiFi']",Hostel Generator London,51.525923999999996,-0.1247603,3 stars,'Hostels',weekends,Hostels,2,288.92965497777465,london,2019-08-09&checkout=2019-08-11&,1.9676155663458317,0.31944557944937046
5,8.5,7.8,8.0,8.3,9.0,8.9,,8.1,"['“friendly staff”\n63 related reviews', '“liverpool street”\n37 related reviews', '“excellent location”\n32 related reviews', 'Situated in the real heart of London, this property has an excellent location score of 9.0', 'Continental, Buffet', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!']",Hostel St Christopher's Liverpool Street,51.520391100000005,-0.0851138,,'Hostels',weekends,Hostels,2,396.76379971306943,london,2019-08-09&checkout=2019-08-11&,3.235242908488285,0.31350842979758775
6,8.6,8.4,8.8,8.3,8.5,8.8,,8.6,"['“friendly staff”\n146 related reviews', '“super clean”\n79 related reviews', '“tube station”\n71 related reviews', '“boutique style”', 'Situated in the best rated area in London, this property has an excellent location score of 8.5', 'Continental, Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Wombat's CITY Hostel - London,51.5103549,-0.0681817,,'Hostels',weekends,Hostels,2,268.9385921587996,london,2019-08-09&checkout=2019-08-11&,4.125647071176524,0.5442855781541864
7,5.9,5.9,5.5,7.0,8.5,7.1,,6.7,"['“english breakfast”\n17 related reviews', '“staff friendly”\n15 related reviews', '“underground station”\n13 related reviews', 'Top location: Highly rated by recent guests (8.5)', 'Full English/Irish', 'Private parking available on-site']",Hostel Dean Court Hotel,51.512771,-0.186847,2 stars,'Hostels',weekends,Hostels,2,146.28754204002917,london,2019-08-09&checkout=2019-08-11&,4.1493402245564655,0.11733870118925262
8,6.9,6.9,7.2,7.8,8.8,8.6,,7.7,"['“friendly staff”\n210 related reviews', '“victoria station”\n186 related reviews', '“excellent location”\n60 related reviews', 'Situated in the real heart of London, this property has an excellent location score of 8.8', 'Continental, Buffet', 'Free WiFi']",Hostel Astor Victoria Hostel,51.4902173,-0.13769879999999998,,'Hostels',weekends,Hostels,2,217.43220677814625,london,2019-08-09&checkout=2019-08-11&,2.135311125284886,0.3155561684677185
9,6.1,6.1,6.4,7.1,7.1,7.5,,7.1,"['“friendly staff”\n73 related reviews', '“common area”\n46 related reviews', '“train station”\n32 related reviews', 'Continental', 'City view', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hostel Via Limehouse Hostel,51.512156299999994,-0.0344198,,'Hostels',weekends,Hostels,2,200.6161951127731,london,2019-08-09&checkout=2019-08-11&,6.4776277690887705,1.3698927416981783
