,Cleanliness,Comfort,Facilities,Free WiFi,Location,Staff,Total,Value for money,highlights,hotel_name,lat,lng,stars,type,days,segment,fits,price_med,city,datecontrol,dist,metro_dist
0,8.0,7.3,7.9,8.3,9.5,8.6,,8.0,"['“friendly staff”\n149 related reviews', '“perfect location”\n115 related reviews', '“clean rooms”\n72 related reviews', '“boutique style”', 'Situated in the real heart of London, this hostel has an excellent location score of 9.5', 'Continental, Full English/Irish, Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel SoHostel,51.5152809,-0.1337265,,'Hostels',weekdays,Hostels,2,211.9052658811355,london,2019-08-06&checkout=2019-08-08&,0.886259096827236,0.22129514097742015
1,5.9,5.9,5.5,7.0,8.5,7.0,,6.7,"['“english breakfast”\n17 related reviews', '“staff friendly”\n15 related reviews', '“underground station”\n13 related reviews', 'Top location: Highly rated by recent guests (8.5)', 'Full English/Irish', 'Private parking at the hostel']",Hostel Dean Court Hotel,51.512771,-0.186847,2 stars,'Hostels',weekdays,Hostels,2,140.52541216867752,london,2019-08-06&checkout=2019-08-08&,4.149328742743012,0.11733741581722201
2,9.3,9.4,8.8,,8.6,,9.0,9.3,"['Top location: Highly rated by recent guests (8.6)', 'Free WiFi']",Hostel Swiss Cottage - Large Private Room,51.54182,-0.182559,,'Hostels',weekdays,Hostels,2,176.1565417813213,london,2019-08-06&checkout=2019-08-08&,5.337519975767551,0.6193231050102231
3,8.1,7.7,7.7,8.3,7.6,,7.8,8.1,"['“underground station”\n3 related reviews', '“clean room”\n2 related reviews', '“minutes walk”\n2 related reviews', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!']",Hostel Bethnal Green beds to stay,51.528581,-0.049547,,'Hostels',weekdays,Hostels,2,133.82252639996236,london,2019-08-06&checkout=2019-08-08&,5.8628507138282675,0.4435869241771387
4,8.5,7.8,8.0,8.3,9.0,8.9,,8.1,"['“friendly staff”\n63 related reviews', '“liverpool street”\n37 related reviews', '“excellent location”\n32 related reviews', 'Situated in the real heart of London, this hostel has an excellent location score of 9.0', 'Continental, Buffet', 'City view', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'Great area for shopping!']",Hostel St Christopher's Liverpool Street,51.520391100000005,-0.0851138,,'Hostels',weekdays,Hostels,2,341.0240127942802,london,2019-08-06&checkout=2019-08-08&,3.2352406817508337,0.3135067984524159
5,7.3,7.0,7.2,7.7,8.7,8.0,,7.4,"['“friendly staff”\n145 related reviews', '“clean rooms”\n90 related reviews', '“russell square”\n82 related reviews', '“boutique style”', 'Situated in the real heart of London, this hostel has an excellent location score of 8.7', 'Continental, Full English/Irish, Vegetarian, Buffet', 'Good coffee!', 'Free WiFi']",Hostel Generator London,51.525923999999996,-0.1247603,3 stars,'Hostels',weekdays,Hostels,2,296.8084856181942,london,2019-08-06&checkout=2019-08-08&,1.9676270767832862,0.31945614607425055
6,8.6,8.4,8.8,8.3,8.5,8.8,,8.6,"['“friendly staff”\n146 related reviews', '“super clean”\n79 related reviews', '“tube station”\n71 related reviews', '“boutique style”', 'Situated in the best rated area in London, this hostel has an excellent location score of 8.5', 'Continental, Buffet', 'Good coffee!', 'Free WiFi\nGuests consistently rate the WiFi as excellent']",Hostel Wombat's CITY Hostel - London,51.5103549,-0.0681817,,'Hostels',weekdays,Hostels,2,259.2958442108234,london,2019-08-06&checkout=2019-08-08&,4.125644623699557,0.5442833523265603
7,7.4,7.2,7.2,,8.7,,7.8,7.7,"['Situated in the real heart of London, this hostel has an excellent location score of 8.7', 'Full English/Irish', 'Great coffee!', 'City view', 'Free WiFi', 'Great area for shopping!']",Hostel PubLove @ The Rose & Crown,51.503840999999994,-0.094796,,'Hostels',weekdays,Hostels,2,211.78767139396504,london,2019-08-06&checkout=2019-08-08&,2.3257965105150435,0.3398362537109368
8,6.1,6.1,6.4,7.1,7.1,7.5,,7.1,"['“friendly staff”\n73 related reviews', '“common area”\n46 related reviews', '“train station”\n32 related reviews', 'Continental', 'City view', 'Free WiFi', 'There are more repeat guests here than most other properties.']",Hostel Via Limehouse Hostel,51.512156299999994,-0.0344198,,'Hostels',weekdays,Hostels,2,215.08031703473742,london,2019-08-06&checkout=2019-08-08&,6.4776217183340785,1.3698910679595024
9,7.2,6.9,7.3,7.1,8.6,8.2,,7.5,"['“friendly staff”\n41 related reviews', '“free breakfast”\n36 related reviews', '“underground station”\n13 related reviews', 'Situated in the real heart of London, this hostel has an excellent location score of 8.6', 'Garden view', 'Free WiFi']",Hostel Saint James Backpackers,51.4934925,-0.196099,,'Hostels',weekdays,Hostels,2,241.53907664808673,london,2019-08-06&checkout=2019-08-08&,5.040865197847631,0.2625758234909057
10,6.5,5.9,6.3,8.1,8.5,7.3,,7.2,"['“tube station”\n98 related reviews', '“friendly staff”\n76 related reviews', '“hyde park”\n76 related reviews', 'Top location: Highly rated by recent guests (8.5)', 'Buffet', 'Free WiFi\nGuests consistently rate the WiFi as excellent', 'There are more repeat guests here than most other properties.']",Hostel Smart Hyde Park Inn Hostel,51.51233320000001,-0.18625799999999998,,'Hostels',weekdays,Hostels,2,251.88739151908558,london,2019-08-06&checkout=2019-08-08&,4.103179497371117,0.12649150863977196
