scenario,quarter,vendor_family,vendor,consensus_as_of_timestamp,consensus_n_estimates,consensus_source_ref,consensus_url,own_revenue_musd,own_guide_mid_musd,cushion_decimal,revenue_consensus_musd,revenue_gap_musd,revenue_gap_pct,guide_minus_revenue_diagnostic_musd,hypothetical_street_cushion_decimal,hypothetical_street_guide_musd,hypothetical_like_basis_guide_gap_musd,guide_expectations_status,revenue_comparison_status,cross_object_status,hypothetical_status
review_with_k,2026Q4,S&P Global,S&P Global Market Intelligence via StockAnalysis,2026-09-10,35,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,https://stockanalysis.com/stocks/abnb/forecast/,3179.3436542864,3123.41911517339,0.0179049103084943,3160,19.3436542864042,0.612140958430518,-36.580884826612,0.0179049103084943,3104.41571506154,19.0034001118452,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
review_with_k,2026Q4,Zacks,Zacks,2026-09-11,10,data/raw/consensus/2026-09-11/zacks_detailed_earnings_estimates_ABNB.csv,https://www.zacks.com/stock/quote/ABNB/detailed-earning-estimates,3179.3436542864,3123.41911517339,0.0179049103084943,3200,-20.6563457135958,-0.645510803549865,-76.580884826612,0.0179049103084943,3143.71211651802,-20.2930013446303,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
review_with_k,2026Q4,LSEG family,Yahoo Finance (LSEG family),2026-09-13T15:20Z,36,data/processed/forecast_methods/consensus_stamp_v2/capture_20260913T152058Z/yfinance_revenue_estimate.csv,https://finance.yahoo.com/quote/ABNB/analysis/,3179.3436542864,3123.41911517339,0.0179049103084943,3161.02149,18.3221642864041,0.57962795711346,-37.602374826612,0.0179049103084943,3105.41923708964,17.9998780837504,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
review_without_k,2026Q4,S&P Global,S&P Global Market Intelligence via StockAnalysis,2026-09-10,35,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,https://stockanalysis.com/stocks/abnb/forecast/,3175.92643761104,3120.06200721492,0.0179049103084943,3160,15.92643761104,0.50400119022278,-39.9379927850837,0.0179049103084943,3104.41571506154,15.6462921533735,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
review_without_k,2026Q4,Zacks,Zacks,2026-09-11,10,data/raw/consensus/2026-09-11/zacks_detailed_earnings_estimates_ABNB.csv,https://www.zacks.com/stock/quote/ABNB/detailed-earning-estimates,3175.92643761104,3120.06200721492,0.0179049103084943,3200,-24.07356238896,-0.752298824654996,-79.9379927850837,0.0179049103084943,3143.71211651802,-23.650109303102,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
review_without_k,2026Q4,LSEG family,Yahoo Finance (LSEG family),2026-09-13T15:20Z,36,data/processed/forecast_methods/consensus_stamp_v2/capture_20260913T152058Z/yfinance_revenue_estimate.csv,https://finance.yahoo.com/quote/ABNB/analysis/,3175.92643761104,3120.06200721492,0.0179049103084943,3161.02149,14.9049476110399,0.47152313447385,-40.9594827850838,0.0179049103084943,3105.41923708964,14.6427701252787,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
nights_case_a,2026Q4,S&P Global,S&P Global Market Intelligence via StockAnalysis,2026-09-10,35,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,https://stockanalysis.com/stocks/abnb/forecast/,3179.3436542864,3123.41911517339,0.0179049103084943,3160,19.3436542864042,0.612140958430518,-36.580884826612,0.0179049103084943,3104.41571506154,19.0034001118452,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
nights_case_a,2026Q4,Zacks,Zacks,2026-09-11,10,data/raw/consensus/2026-09-11/zacks_detailed_earnings_estimates_ABNB.csv,https://www.zacks.com/stock/quote/ABNB/detailed-earning-estimates,3179.3436542864,3123.41911517339,0.0179049103084943,3200,-20.6563457135958,-0.645510803549865,-76.580884826612,0.0179049103084943,3143.71211651802,-20.2930013446303,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
nights_case_a,2026Q4,LSEG family,Yahoo Finance (LSEG family),2026-09-13T15:20Z,36,data/processed/forecast_methods/consensus_stamp_v2/capture_20260913T152058Z/yfinance_revenue_estimate.csv,https://finance.yahoo.com/quote/ABNB/analysis/,3179.3436542864,3123.41911517339,0.0179049103084943,3161.02149,18.3221642864041,0.57962795711346,-37.602374826612,0.0179049103084943,3105.41923708964,17.9998780837504,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
adr_mean_reversion,2026Q4,S&P Global,S&P Global Market Intelligence via StockAnalysis,2026-09-10,35,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,https://stockanalysis.com/stocks/abnb/forecast/,3129.86616348533,3074.81193163394,0.0179049103084943,3160,-30.1338365146657,-0.953602421350186,-85.1880683660597,0.0179049103084943,3104.41571506154,-29.6037834276026,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
adr_mean_reversion,2026Q4,Zacks,Zacks,2026-09-11,10,data/raw/consensus/2026-09-11/zacks_detailed_earnings_estimates_ABNB.csv,https://www.zacks.com/stock/quote/ABNB/detailed-earning-estimates,3129.86616348533,3074.81193163394,0.0179049103084943,3200,-70.1338365146657,-2.1916823910833,-125.18806836606,0.0179049103084943,3143.71211651802,-68.900184884078,explicit_dated_guide_expectations_unavailable,same_basis_reported_revenue_comparison,different_objects_not_guide_surprise,assumed_Street_cushion_transformation_not_observed_guide_consensus
