id,choice,value,units,effect_vs_review_reference,source,adoption,required_before_adoption,conversion_status,original_decision_reference
L4-D01,ADR v3 with-K / review,3123.41911517339,Q4 guide USDm,Q4 guide delta +0.000000; Q1 guide 3001.931270; FY27 value/share 184.662755 (+0.000000),L4 revenue forecast.csv / model scenario_summary.csv,OPEN - unsigned,Choose operating baseline and recognize K mechanics and residual are assumptions,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D01,K0 conditional ledger,3158.22796249161,Q4 guide USDm,Q4 guide delta +34.808847; Q1 guide 3066.517133; FY27 value/share 187.131317 (+2.468561),L4 revenue forecast.csv / model scenario_summary.csv,OPEN - unsigned,Choose operating baseline and recognize K mechanics and residual are assumptions,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D02,ADR v3 without-K,3120.06200721492,Q4 guide USDm,Q4 guide delta -3.357108; Q1 guide 2993.235385; FY27 value/share 184.372296 (-0.290459),L4 revenue forecast.csv / model scenario_summary.csv,OPEN - unsigned,Choose operating baseline and recognize K mechanics and residual are assumptions,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D02,ADR residual reversion,3074.81193163394,Q4 guide USDm,Q4 guide delta -48.607184; Q1 guide 2931.127414; FY27 value/share 181.627227 (-3.035528),L4 revenue forecast.csv / model scenario_summary.csv,OPEN - unsigned,Choose operating baseline and recognize K mechanics and residual are assumptions,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D02,Q4 nights case A,3123.41911517339,Q4 guide USDm,Q4 guide delta +0.000000; Q1 guide 3015.027864; FY27 value/share 184.874831 (+0.212076),L4 revenue forecast.csv / model scenario_summary.csv,OPEN - unsigned,Choose operating baseline and recognize K mechanics and residual are assumptions,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D03,trailing8_median,1.79049103084943,cushion %,Q4 guide 3123.419115; delta +0.000000 USDm; revenue/valuation unchanged,L4 sensitivity.csv,OPEN - unsigned,"Choose estimator on evidence; zero is a mechanical boundary, not a forecast",fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D03,trailing8_mean,1.85674306329759,cushion %,Q4 guide 3121.387508; delta -2.031607 USDm; revenue/valuation unchanged,L4 sensitivity.csv,OPEN - unsigned,"Choose estimator on evidence; zero is a mechanical boundary, not a forecast",fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D03,legacy_q4_cushion,3.88,cushion %,Q4 guide 3060.592659; delta -62.826456 USDm; revenue/valuation unchanged,L4 sensitivity.csv,OPEN - unsigned,"Choose estimator on evidence; zero is a mechanical boundary, not a forecast",fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D03,zero_cushion_mechanical_boundary,0.0,cushion %,Q4 guide 3179.343654; delta +55.924539 USDm; revenue/valuation unchanged,L4 sensitivity.csv,OPEN - unsigned,"Choose estimator on evidence; zero is a mechanical boundary, not a forecast",fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D04,Yahoo Finance (LSEG family),3161.02149,Q4 consensus USDm,Review guide gap -37.602375 USDm (-1.189564%),CU-2026Q4-revenue-Yahoo-20260913T1520Z / 2026-09-13T15:20Z,OPEN - unsigned,Keep independent panels separate; restamp pre-letter before November scoring,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
