check,passed
source hash,True
stage hash gbv-decision-0915-v1__fixed-p2-guide.csv,True
stage hash gbv-decision-0915-v1__fixed-p2-revenue.csv,True
stage hash gbv-decision-0915-v1__fixed-p3-guide.csv,True
stage hash gbv-decision-0915-v1__fixed-p3-revenue.csv,True
stage hash gbv-decision-0915-v1__fixed-p4-guide.csv,True
stage hash gbv-decision-0915-v1__fixed-p4-revenue.csv,True
stage hash gbv-decision-0915-v1__guide_growth-p2-guide.csv,True
stage hash gbv-decision-0915-v1__guide_growth-p3-guide.csv,True
stage hash gbv-decision-0915-v1__guide_growth-p4-guide.csv,True
stage hash gbv-decision-0915-v1__joint-p2-guide.csv,True
stage hash gbv-decision-0915-v1__joint-p2-revenue.csv,True
stage hash gbv-decision-0915-v1__joint-p3-guide.csv,True
stage hash gbv-decision-0915-v1__joint-p3-revenue.csv,True
stage hash gbv-decision-0915-v1__joint-p4-guide.csv,True
stage hash gbv-decision-0915-v1__joint-p4-revenue.csv,True
stage hash gbv-decision-0915-v1__revenue_growth-p2-guide.csv,True
stage hash gbv-decision-0915-v1__revenue_growth-p3-guide.csv,True
stage hash gbv-decision-0915-v1__revenue_growth-p4-guide.csv,True
exact expanded point universe,True
421 unique rows,True
18 objects,True
18 live rows,True
no manufactured bands,True
point 0,True
q50 placeholder 0,True
params 0,True
train count 0,True
information eligibility 0,True
registry quarter horizon 0,True
target object 0,True
release-only historical origin 0,True
point 1,True
q50 placeholder 1,True
params 1,True
train count 1,True
information eligibility 1,True
registry quarter horizon 1,True
target object 1,True
release-only historical origin 1,True
point 2,True
q50 placeholder 2,True
params 2,True
train count 2,True
information eligibility 2,True
registry quarter horizon 2,True
target object 2,True
release-only historical origin 2,True
point 3,True
q50 placeholder 3,True
params 3,True
train count 3,True
information eligibility 3,True
registry quarter horizon 3,True
target object 3,True
release-only historical origin 3,True
point 4,True
q50 placeholder 4,True
params 4,True
train count 4,True
information eligibility 4,True
registry quarter horizon 4,True
target object 4,True
release-only historical origin 4,True
point 5,True
q50 placeholder 5,True
params 5,True
train count 5,True
information eligibility 5,True
registry quarter horizon 5,True
target object 5,True
release-only historical origin 5,True
point 6,True
q50 placeholder 6,True
params 6,True
train count 6,True
information eligibility 6,True
registry quarter horizon 6,True
target object 6,True
release-only historical origin 6,True
point 7,True
q50 placeholder 7,True
params 7,True
train count 7,True
information eligibility 7,True
registry quarter horizon 7,True
target object 7,True
release-only historical origin 7,True
point 8,True
q50 placeholder 8,True
params 8,True
train count 8,True
information eligibility 8,True
registry quarter horizon 8,True
target object 8,True
release-only historical origin 8,True
point 9,True
q50 placeholder 9,True
params 9,True
train count 9,True
information eligibility 9,True
registry quarter horizon 9,True
target object 9,True
release-only historical origin 9,True
point 10,True
q50 placeholder 10,True
params 10,True
train count 10,True
information eligibility 10,True
registry quarter horizon 10,True
target object 10,True
release-only historical origin 10,True
point 11,True
q50 placeholder 11,True
params 11,True
train count 11,True
information eligibility 11,True
registry quarter horizon 11,True
target object 11,True
release-only historical origin 11,True
point 12,True
q50 placeholder 12,True
params 12,True
train count 12,True
information eligibility 12,True
registry quarter horizon 12,True
target object 12,True
release-only historical origin 12,True
point 13,True
q50 placeholder 13,True
params 13,True
train count 13,True
information eligibility 13,True
registry quarter horizon 13,True
target object 13,True
release-only historical origin 13,True
point 14,True
q50 placeholder 14,True
params 14,True
train count 14,True
information eligibility 14,True
registry quarter horizon 14,True
target object 14,True
release-only historical origin 14,True
point 15,True
q50 placeholder 15,True
params 15,True
train count 15,True
information eligibility 15,True
registry quarter horizon 15,True
target object 15,True
release-only historical origin 15,True
point 16,True
q50 placeholder 16,True
params 16,True
train count 16,True
information eligibility 16,True
registry quarter horizon 16,True
target object 16,True
release-only historical origin 16,True
point 17,True
q50 placeholder 17,True
params 17,True
train count 17,True
information eligibility 17,True
registry quarter horizon 17,True
target object 17,True
release-only historical origin 17,True
point 18,True
q50 placeholder 18,True
params 18,True
train count 18,True
information eligibility 18,True
registry quarter horizon 18,True
target object 18,True
release-only historical origin 18,True
point 19,True
q50 placeholder 19,True
params 19,True
train count 19,True
information eligibility 19,True
registry quarter horizon 19,True
target object 19,True
release-only historical origin 19,True
point 20,True
q50 placeholder 20,True
params 20,True
train count 20,True
information eligibility 20,True
registry quarter horizon 20,True
target object 20,True
release-only historical origin 20,True
point 21,True
q50 placeholder 21,True
params 21,True
train count 21,True
information eligibility 21,True
registry quarter horizon 21,True
target object 21,True
release-only historical origin 21,True
point 22,True
q50 placeholder 22,True
params 22,True
train count 22,True
information eligibility 22,True
registry quarter horizon 22,True
target object 22,True
release-only historical origin 22,True
point 23,True
q50 placeholder 23,True
params 23,True
train count 23,True
information eligibility 23,True
registry quarter horizon 23,True
target object 23,True
release-only historical origin 23,True
point 24,True
q50 placeholder 24,True
params 24,True
train count 24,True
information eligibility 24,True
registry quarter horizon 24,True
target object 24,True
release-only historical origin 24,True
point 25,True
q50 placeholder 25,True
params 25,True
train count 25,True
information eligibility 25,True
registry quarter horizon 25,True
target object 25,True
release-only historical origin 25,True
point 26,True
q50 placeholder 26,True
params 26,True
train count 26,True
information eligibility 26,True
registry quarter horizon 26,True
target object 26,True
release-only historical origin 26,True
point 27,True
q50 placeholder 27,True
params 27,True
train count 27,True
information eligibility 27,True
registry quarter horizon 27,True
target object 27,True
release-only historical origin 27,True
point 28,True
q50 placeholder 28,True
params 28,True
train count 28,True
information eligibility 28,True
registry quarter horizon 28,True
target object 28,True
release-only historical origin 28,True
point 29,True
q50 placeholder 29,True
params 29,True
train count 29,True
information eligibility 29,True
registry quarter horizon 29,True
target object 29,True
release-only historical origin 29,True
point 30,True
q50 placeholder 30,True
params 30,True
train count 30,True
information eligibility 30,True
registry quarter horizon 30,True
target object 30,True
release-only historical origin 30,True
point 31,True
q50 placeholder 31,True
params 31,True
train count 31,True
information eligibility 31,True
registry quarter horizon 31,True
target object 31,True
release-only historical origin 31,True
point 32,True
q50 placeholder 32,True
params 32,True
train count 32,True
information eligibility 32,True
registry quarter horizon 32,True
target object 32,True
release-only historical origin 32,True
point 33,True
q50 placeholder 33,True
params 33,True
train count 33,True
information eligibility 33,True
registry quarter horizon 33,True
target object 33,True
release-only historical origin 33,True
point 34,True
q50 placeholder 34,True
params 34,True
train count 34,True
information eligibility 34,True
registry quarter horizon 34,True
target object 34,True
release-only historical origin 34,True
point 35,True
q50 placeholder 35,True
params 35,True
train count 35,True
information eligibility 35,True
registry quarter horizon 35,True
target object 35,True
release-only historical origin 35,True
point 36,True
q50 placeholder 36,True
params 36,True
train count 36,True
information eligibility 36,True
registry quarter horizon 36,True
target object 36,True
release-only historical origin 36,True
point 37,True
q50 placeholder 37,True
params 37,True
train count 37,True
information eligibility 37,True
registry quarter horizon 37,True
target object 37,True
release-only historical origin 37,True
point 38,True
q50 placeholder 38,True
params 38,True
train count 38,True
information eligibility 38,True
registry quarter horizon 38,True
target object 38,True
release-only historical origin 38,True
point 39,True
q50 placeholder 39,True
params 39,True
train count 39,True
information eligibility 39,True
registry quarter horizon 39,True
target object 39,True
release-only historical origin 39,True
point 40,True
q50 placeholder 40,True
params 40,True
train count 40,True
information eligibility 40,True
registry quarter horizon 40,True
target object 40,True
release-only historical origin 40,True
point 41,True
q50 placeholder 41,True
params 41,True
train count 41,True
information eligibility 41,True
registry quarter horizon 41,True
target object 41,True
release-only historical origin 41,True
point 42,True
