scenario,foreign_usd_multiplier,assumed_nonusd_reported_share,assumed_rnpl_revenue_share,timing_scenario,quarter,reference_revenue_usd,booking_revenue_usd,retimed_revenue_usd,booking_level_multiplier,retimed_level_multiplier,replacement_multiplier,booking_fx_usd,retimed_fx_usd,incremental_replacement_usd,reference_basis,basis_status,hedge_status,reported_revenue_including_hedges_usd,total_weight,rnpl_weight,information_date,evidence_status
fx0.95_nonusd0.40_u0.00_equal_recognition_months,0.95,0.4,0,equal_recognition_months,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.00_equal_recognition_months,1,0.4,0,equal_recognition_months,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.00_equal_recognition_months,1.05,0.4,0,equal_recognition_months,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.00_first_recognition_month,0.95,0.4,0,first_recognition_month,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.00_first_recognition_month,1,0.4,0,first_recognition_month,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.00_first_recognition_month,1.05,0.4,0,first_recognition_month,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.00_last_recognition_month,0.95,0.4,0,last_recognition_month,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.00_last_recognition_month,1,0.4,0,last_recognition_month,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.00_last_recognition_month,1.05,0.4,0,last_recognition_month,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.00_prior_month_payment_fixing,0.95,0.4,0,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.00_prior_month_payment_fixing,1,0.4,0,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.00_prior_month_payment_fixing,1.05,0.4,0,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4808362929.49,1.01587750752,1.01587750752,1,75151598.4909,75151598.4909,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.10_equal_recognition_months,0.95,0.4,0.1,equal_recognition_months,2026Q3,4733211331,4808362929.49,4804863972.29,1.01587750752,1.01513827215,0.999272318404,75151598.4909,71652641.282,-3498957.2089,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.10_equal_recognition_months,1,0.4,0.1,equal_recognition_months,2026Q3,4733211331,4808362929.49,4807493473.87,1.01587750752,1.01569381498,0.999819178454,75151598.4909,74282142.8717,-869455.619244,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.10_equal_recognition_months,1.05,0.4,0.1,equal_recognition_months,2026Q3,4733211331,4808362929.49,4810122975.46,1.01587750752,1.0162493578,1.0003660385,75151598.4909,76911644.4614,1760045.97041,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.10_first_recognition_month,0.95,0.4,0.1,first_recognition_month,2026Q3,4733211331,4808362929.49,4805530196.07,1.01587750752,1.01527902728,0.999410873624,75151598.4909,72318865.0621,-2832733.42886,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.10_first_recognition_month,1,0.4,0.1,first_recognition_month,2026Q3,4733211331,4808362929.49,4805530196.07,1.01587750752,1.01527902728,0.999410873624,75151598.4909,72318865.0621,-2832733.42886,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.10_first_recognition_month,1.05,0.4,0.1,first_recognition_month,2026Q3,4733211331,4808362929.49,4805530196.07,1.01587750752,1.01527902728,0.999410873624,75151598.4909,72318865.0621,-2832733.42886,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.10_last_recognition_month,0.95,0.4,0.1,last_recognition_month,2026Q3,4733211331,4808362929.49,4800929452.76,1.01587750752,1.01430701421,0.998454052484,75151598.4909,67718121.762,-7433476.72896,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.10_last_recognition_month,1,0.4,0.1,last_recognition_month,2026Q3,4733211331,4808362929.49,4808817957.53,1.01587750752,1.01597364268,1.00009463263,75151598.4909,75606626.531,455028.040014,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.10_last_recognition_month,1.05,0.4,0.1,last_recognition_month,2026Q3,4733211331,4808362929.49,4816706462.3,1.01587750752,1.01764027115,1.00173521278,75151598.4909,83495131.2999,8343532.80899,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.10_prior_month_payment_fixing,0.95,0.4,0.1,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4806544856.97,1.01587750752,1.01549339779,0.999621893657,75151598.4909,73333525.9701,-1818072.52088,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.10_prior_month_payment_fixing,1,0.4,0.1,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4806544856.97,1.01587750752,1.01549339779,0.999621893657,75151598.4909,73333525.9701,-1818072.52088,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.10_prior_month_payment_fixing,1.05,0.4,0.1,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4806544856.97,1.01587750752,1.01549339779,0.999621893657,75151598.4909,73333525.9701,-1818072.52088,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.1,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.20_equal_recognition_months,0.95,0.4,0.2,equal_recognition_months,2026Q3,4733211331,4808362929.49,4801365015.08,1.01587750752,1.01439903679,0.998544636809,75151598.4909,68153684.0731,-6997914.41781,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.20_equal_recognition_months,1,0.4,0.2,equal_recognition_months,2026Q3,4733211331,4808362929.49,4806624018.26,1.01587750752,1.01551012243,0.999638356908,75151598.4909,73412687.2525,-1738911.23849,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.20_equal_recognition_months,1.05,0.4,0.2,equal_recognition_months,2026Q3,4733211331,4808362929.49,4811883021.43,1.01587750752,1.01662120808,1.00073207701,75151598.4909,78671690.4318,3520091.94083,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
