market,capacity_metric,capacity_unit,observation_period,source_geography,source_url,actual_airbnb_hotel_nights,actual_airbnb_hotel_revenue_usd,current_verified_independent_rooms,limitations
austin,Recorded capacity of active hotel/motel/B&B licenses,licensed rooms/units,2026-09-07T11:02:35+00:00,City of Austin operating-license records; not metro. All source City fields say AUSTIN; boundary not independently polygon-checked.,https://data.austintexas.gov/Public-Safety/Hotel-Motel-and-B-B-Licenses/av8n-pmdr,,,,Includes motel/B&B/hostel/HOA categories; all-hotel city/metro completeness and independence unverified.
barcelona,hotel and hotel-apartment census rooms,rooms,2024-09,Barcelona municipality,https://tdbnews.barcelonaturisme.com/wp-content/uploads/2024/10/2409_Oferta-hotelera.pdf,,,,Provisional monthly census includes hotels and hotel-apartments; 447 establishments and 78353 beds are separate units. | No independent/boutique or Airbnb filter. | Official city property-registry landing failed and API fallback returned HTTP500; no city-wide named property frame obtained. | September 2024 is the observation date; not September 2026 stock.
chicago,current_hotel_activity_account_site_pairs,licensed account-site pairs,Snapshot2026-09-07; source updated2026-09-06,City of Chicago licensed business addresses,https://data.cityofchicago.org/resource/uupf-x98q.json?$where=upper(business_activity)%20like%20%27%25HOTEL%25%27%20OR%20upper(license_description)%20like%20%27%25HOTEL%25%27&$limit=50000,,,,"Hotel business activity676 means seven or more sleeping rooms; room capacity is not a dataset field. | 226 returned active-view rows include11 future-start license terms. Current-term filter yields215 license numbers,214 account-site pairs,209 exact addresses. These units are not interchangeable. | An account-site can combine multiple brands; separate accounts can share addresses. No physical-property census or operational availability is inferred. | No verified ownership/brand independence or boutique flag; no Airbnb matching, allocation or booking inference. | The historical Hotel license code1370 returned1402 terms ending by2015 and was excluded from current supply; modern hotel records use Regulated Business License activity676."
london,Serviced accommodation inventory,serviced rooms,Q1 2025,"Greater London: 32 London boroughs plus City of London, 33 areas total",https://www.london.gov.uk/sites/default/files/2026-07/Visitor%20Accommodation%20in%20London%20-%202026%20report.pdf,,,,"Includes B&Bs, guest houses, apart-hotels and hostels; July 2026 publication is not a 2026 observation."
los-angeles,sum_reported_total_rooms_in_directory_subset,reported profile rooms,Undated profile/directory facts retrieved2026-09-07,City of Los Angeles Tourism Marketing District:50+room lodging subset,https://www.discoverlosangeles.com/tmd,,,,"Official TMD directory subset, not all City of Los Angeles hotels; July2024 district plan applies to public-occupancy lodging with50+rooms in city boundaries. Smaller boutique hotels are structurally omitted. | 173 distinct directory URLs;172 explicit Total Rooms fields; Bonnie Lee Inn missing. Rooms are undated profile facts retrieved2026-09-07, not audited current operating capacity. | 35,501 is the arithmetic sum of reported profile fields. Three shared-address brand pairs are retained; physical room overlap has not been independently reconciled. | Postal address place names differ from municipal jurisdiction. City membership follows the TMD directory/plan, not a naive Los Angeles postal-name filter. | No verified independent/boutique classification, Airbnb eligibility, contracted allocation, availability or booking inference."
mexico-city,Reported hotel-room capacity,rooms,2025-09-30,Ciudad de México,https://www.congresocdmx.gob.mx/media/documentos/b5c1ff207166ed571562c1cc60deeb9dcc220e83.pdf,,,,"No source identifies boutique eligibility, chain/franchise affiliation or independent-room totals. | Supply and licenses do not measure Airbnb listings, activated inventory, room allocation, bookings or incremental hotel demand. | 850 is an agency aggregate, not 850 downloaded property records. | Same stock appears in category, borough and headline tables; do not sum those populations. | Source discloses catalog refresh; historical count increases include previously uncounted hotels. Earlier years not directly comparable. | Direct CDMX open-data registry and Secretariat files timed out. Congress-hosted PDF was downloaded; no property-level room registry obtained. | Replaces inherited 66,000 search-snippet capacity. Other unverified official-index statements 62,280/62,729 conflict; not averaged or used as additional stock."
nashville,Reported hotel-room capacity,rooms,page updated 2025-09-19; precise stock date unspecified,Davidson County (Nashville metropolitan government); not 14-county MSA,https://www.visitmusiccity.com/about/statistics,,,,"No source identifies boutique eligibility, chain/franchise affiliation or independent-room totals. | Supply and licenses do not measure Airbnb listings, activated inventory, room allocation, bookings or incremental hotel demand. | Reused undated-stock county number on September 2025 page; no complete hotel operating registry downloaded. Inspection portal returned 403."
new-orleans,Reported hotel/motel licenses,licenses,2025-03,City of New Orleans,https://nola.gov/nola/media/City-Planning/Major%20Projects/Inclusionary%20Housing%20Study/10-29-2025-ALL-TransientLodgingStudyReport.pdf,,,,"No source identifies boutique eligibility, chain/franchise affiliation or independent-room totals. | Supply and licenses do not measure Airbnb listings, activated inventory, room allocation, bookings or incremental hotel demand. | Room anchor is rounded, partial-area and not matched to citywide business rows. | Downloaded CSV has 391 lodging business rows, of which 262 hotel/motel rows map to 243 exact addresses; duplicates include operator changes, dual brands and bar/garage registrations. No unique physical-hotel total inferred. | CSV last rows update July 16, 2024. Monthly refresh label does not make it current; no rooms field. | Newer March 2025 study uses another city administrative system; differences cannot establish exits or supply change."
new-york-city,Active/Ready-for-Renewal candidate licenses,license records,Source updated 2026-08-20; status filter 2026-09-07,NYC hotel operating-license records; five boroughs,https://data.cityofnewyork.us/Business/Issued-Licenses/w7w3-xahh,,,,No room-count field; active/renewal status is not evidence of Airbnb operation or booking production.
paris,Classified-hotel registered capacity,rooms,Classification export retrieved 2026-09-07,"Paris municipality, postcodes 75001–75020 and 75116",https://www.data.gouv.fr/datasets/hebergements-touristiques-classes-en-france,,,,Classified hotels only; chain affiliation and operating/Airbnb status unverified; unclassified stock excluded.
rome,Alberghi hotel rooms,rooms,2024 year end,Roma Capitale,https://www.romaperilclima.it/wp-content/uploads/2026/03/Strategia-di-Riqualificazione-Energetica-del-Patrimonio-Immobiliare-di-Roma-Capitale_documento_ENEA_conferenza_3marzo2026_compressed.pdf,,,,"Excludes separately reported 657 rooms in hotel dependencies. | No matched chain/independent classification. | Newer registry is not proven complete active supply; primary city aggregate retained pending alias/status reconciliation. | No Airbnb listings, allocation, bookings or revenue identified."
san-diego,reported_city_hotel_rooms,rooms,Fact sheet2026-04-30; infrastructure stock date unspecified,City of San Diego,https://www.sandiego.org/about/san-diego-tourism-fast-facts,,,,"City room count is40158; county68954 and downtown14878 are nested or broader scopes and must not be added. | Fact sheet dated2026-04-30 does not provide a separate infrastructure census date; not a September2026 hotel-by-hotel count. | 681 includes hotels, motels, bed-and-breakfasts and casino hotels in regional infrastructure; it is not a City of San Diego hotel-only property count. | Tax-account file has59419 active business records;52 are coded72111 hotel/motel and524 use721 accommodation-prefix codes. These are not additional hotels: corporate addresses, combined products and classification gaps prevent a census interpretation. | Independent rooms, boutique rooms, Airbnb supply and Airbnb hotel nights remain unobserved."
sydney,hotel-category stock rooms,rooms,2025-06-30,"City of Sydney local government area, not Greater Sydney",https://www.cityofsydney.nsw.gov.au/-/media/corporate/files/publications/research-and-reports/city-monitor-reports/visitor-accommodation-monitor-june-2025.pdf?download=true,,,,"City definition includes standard hotels, B&Bs, pubs and motels; excludes separate serviced apartment units and backpacker beds. | No complete operating-hotel property register obtained; 69 development applications are a distinct dataset. | City report explicitly does not cover Airbnb accommodation. | Independent ownership and Airbnb uptake remain unknown."
