reaction_date,ticker,group,filing_date,premarket,ar_peer,ar_abnb,z_abnb,ret_abnb,ret_peer,ret_qqq,year,car_abnb_1_5,abnb_print_same_day
2021-11-08,VAC,Timeshare,2021-11-08,True,-1.443,-0.58,,-0.645,-1.402,-0.135,2021,4.187,False
2021-11-09,TRIP,OTA,2021-11-08,False,-10.006,-2.314,,-2.815,-10.152,-0.688,2021,5.758,False
2021-11-09,HGV,Timeshare,2021-11-09,True,-4.455,-2.314,,-2.815,-4.524,-0.688,2021,5.758,False
2021-12-20,CCL,Cruise,2021-12-20,True,4.003,0.415,,-0.431,3.392,-0.97,2021,2.527,False
2022-01-13,DAL,Airline,2022-01-13,True,3.425,0.302,,-2.088,2.118,-2.502,2022,1.52,False
2022-01-20,UAL,Airline,2022-01-19,False,-2.737,3.519,,2.212,-3.423,-1.299,2022,-6.985,False
2022-01-27,LUV,Airline,2022-01-27,True,-1.686,-1.512,,-2.624,-2.036,-1.007,2022,4.883,False
2022-02-04,RCL,Cruise,2022-02-04,True,-5.6,2.761,,4.005,-4.763,1.262,2022,10.887,False
2022-02-15,MAR,Hotel,2022-02-15,True,4.46,3.476,1.215,6.136,5.761,2.486,2022,-8.494,False
2022-02-15,SABR,Distribution,2022-02-15,True,19.864,3.476,1.215,6.136,21.889,2.486,2022,-8.494,False
2022-02-16,HLT,Hotel,2022-02-16,True,-1.161,3.786,1.33,3.649,-1.051,-0.025,2022,-10.42,True
2022-02-16,CHH,Hotel,2022-02-16,True,-2.3,3.786,1.33,3.649,-2.2,-0.025,2022,-10.42,True
2022-02-16,WH,Hotel,2022-02-15,False,-0.148,3.786,1.33,3.649,-0.033,-0.025,2022,-10.42,True
2022-02-17,TRIP,OTA,2022-02-16,False,0.053,1.778,0.627,-1.629,-2.497,-2.974,2022,-15.89,False
2022-02-17,H,Hotel,2022-02-16,False,-2.534,1.778,0.627,-1.629,-4.203,-2.974,2022,-15.89,False
2022-02-23,TNL,Timeshare,2022-02-23,True,-2.21,-6.346,-2.242,-9.199,-3.738,-2.561,2022,-0.575,False
2022-02-24,VAC,Timeshare,2022-02-23,False,-4.387,1.859,0.654,5.479,-2.218,3.36,2022,-4.59,False
2022-02-24,BKNG,OTA,2022-02-23,False,-9.291,1.859,0.654,5.479,-7.079,3.36,2022,-4.59,False
2022-03-01,HGV,Timeshare,2022-03-01,True,-3.825,1.367,0.479,-0.317,-4.936,-1.531,2022,1.352,False
2022-03-22,CCL,Cruise,2022-03-22,True,-2.005,0.514,0.169,2.868,-0.106,1.965,2022,0.884,False
2022-04-13,DAL,Airline,2022-04-13,True,4.463,4.631,1.604,7.332,6.214,2.033,2022,-3.449,False
2022-04-21,UAL,Airline,2022-04-20,False,11.686,-1.238,-0.438,-4.035,9.308,-2.069,2022,3.446,False
2022-04-27,WH,Hotel,2022-04-26,False,1.036,-0.4,-0.141,-0.529,1.03,-0.12,2022,-2.607,False
2022-04-28,LUV,Airline,2022-04-28,True,-0.169,0.062,0.022,4.933,2.09,3.552,2022,-4.252,False
2022-04-28,TNL,Timeshare,2022-04-28,True,-1.128,0.062,0.022,4.933,2.167,3.552,2022,-4.252,False
2022-05-03,HLT,Hotel,2022-05-03,True,-4.324,-5.245,-1.875,-5.092,-4.15,0.107,2022,-13.203,False
2022-05-03,EXPE,OTA,2022-05-02,False,-14.16,-5.245,-1.875,-5.092,-14.015,0.107,2022,-13.203,False
2022-05-03,SABR,Distribution,2022-05-03,True,-11.471,-5.245,-1.875,-5.092,-11.374,0.107,2022,-13.203,False
2022-05-04,MAR,Hotel,2022-05-04,True,1.995,3.094,1.109,7.71,4.739,3.381,2022,-12.363,True
2022-05-05,BKNG,OTA,2022-05-04,False,7.553,-1.584,-0.57,-8.381,3.261,-5.036,2022,-10.676,False
2022-05-05,RCL,Cruise,2022-05-05,True,-0.81,-1.584,-0.57,-8.381,-5.424,-5.036,2022,-10.676,False
2022-05-05,TRIP,OTA,2022-05-04,False,10.275,-1.584,-0.57,-8.381,5.092,-5.036,2022,-10.676,False
2022-05-06,VAC,Timeshare,2022-05-05,False,2.008,-3.469,-1.254,-5.067,1.034,-1.198,2022,-7.565,False
2022-05-09,HGV,Timeshare,2022-05-09,True,-1.425,-6.876,-2.491,-12.125,-4.897,-3.913,2022,-4.908,False
2022-05-10,H,Hotel,2022-05-10,True,5.187,-4.368,-1.577,-2.714,6.329,1.215,2022,-1.506,False
2022-05-10,CHH,Hotel,2022-05-10,True,3.099,-4.368,-1.577,-2.714,4.019,1.215,2022,-1.506,False
2022-06-24,CCL,Cruise,2022-06-24,True,8.177,3.096,1.156,8.138,12.435,3.426,2022,-5.783,False
2022-07-13,DAL,Airline,2022-07-13,True,-4.24,-0.627,-0.226,-0.943,-4.471,-0.206,2022,3.278,False
2022-07-21,UAL,Airline,2022-07-20,False,-11.909,-1.832,-0.659,0.381,-10.173,1.435,2022,-0.587,False
2022-07-27,HLT,Hotel,2022-07-27,True,3.927,-1.051,-0.379,5.348,7.511,4.226,2022,-0.993,False
2022-07-27,WH,Hotel,2022-07-26,False,-3.515,-1.051,-0.379,5.348,0.072,4.226,2022,-0.993,False
2022-07-28,TNL,Timeshare,2022-07-28,True,-4.185,-0.126,-0.045,1.379,-3.233,0.978,2022,2.038,False
2022-07-28,LUV,Airline,2022-07-28,True,-7.086,-0.126,-0.045,1.379,-6.426,0.978,2022,2.038,False
2022-07-28,RCL,Cruise,2022-07-28,True,7.421,-0.126,-0.045,1.379,8.45,0.978,2022,2.038,False
2022-08-02,SABR,Distribution,2022-08-02,True,9.458,5.035,1.823,4.622,8.946,-0.298,2022,-3.119,False
2022-08-02,MAR,Hotel,2022-08-02,True,-0.694,5.035,1.823,4.622,-0.833,-0.298,2022,-3.119,False
2022-08-04,CHH,Hotel,2022-08-04,True,-4.73,2.905,1.062,3.652,-4.351,0.468,2022,1.936,False
2022-08-04,BKNG,OTA,2022-08-03,False,-1.387,2.905,1.062,3.652,-0.978,0.468,2022,1.936,False
2022-08-05,TRIP,OTA,2022-08-04,False,19.969,-0.573,-0.21,-1.77,18.943,-0.817,2022,2.077,False
2022-08-05,EXPE,OTA,2022-08-04,False,1.188,-0.573,-0.21,-1.77,0.313,-0.817,2022,2.077,False
2022-08-09,H,Hotel,2022-08-09,True,3.635,0.491,0.182,-1.192,2.7,-1.132,2022,1.074,False
2022-08-09,HGV,Timeshare,2022-08-09,True,-1.65,0.491,0.182,-1.192,-2.653,-1.132,2022,1.074,False
2022-08-09,VAC,Timeshare,2022-08-08,False,3.547,0.491,0.182,-1.192,2.587,-1.132,2022,1.074,False
2022-09-30,CCL,Cruise,2022-09-30,True,-20.69,0.882,0.351,-1.519,-23.253,-1.696,2022,2.246,False
2022-10-13,DAL,Airline,2022-10-13,True,1.686,-3.111,-1.237,0.267,4.006,2.345,2022,3.626,False
2022-10-19,UAL,Airline,2022-10-18,False,5.36,-0.422,-0.167,-0.907,4.966,-0.365,2022,-5.493,False
2022-10-26,HLT,Hotel,2022-10-26,True,1.344,0.427,0.165,-2.651,-0.498,-2.21,2022,-12.829,False
2022-10-26,WH,Hotel,2022-10-25,False,4.209,0.427,0.165,-2.651,2.432,-2.21,2022,-12.829,False
2022-10-27,TNL,Timeshare,2022-10-27,True,-5.607,-0.298,-0.116,-2.818,-7.37,-1.821,2022,-12.359,False
2022-10-27,LUV,Airline,2022-10-27,True,4.086,-0.298,-0.116,-2.818,2.677,-1.821,2022,-12.359,False
2022-11-01,VAC,Timeshare,2022-10-31,False,-0.595,3.373,1.319,2.002,-1.414,-1.022,2022,-6.146,False
2022-11-02,SABR,Distribution,2022-11-02,True,-9.944,-8.623,-3.389,-13.425,-15.126,-3.428,2022,2.564,True
