date,ar_abnb,z_abnb
2021-11-10,-0.157,
2021-11-11,-0.574,
2021-11-12,6.935,
2021-11-15,0.298,
2021-11-16,-0.744,
2021-11-17,-3.97,
2021-11-18,1.711,
2021-11-19,-4.401,
2021-11-22,-6.639,
2021-11-23,-1.641,
2021-11-24,0.534,
2021-11-26,-1.911,
2021-11-29,1.711,
2021-11-30,-3.075,
2021-12-01,-4.173,
2021-12-02,3.339,
2021-12-03,-0.243,
2021-12-06,7.73,
2021-12-07,-1.371,
2021-12-08,1.397,
2021-12-09,-1.411,
2021-12-10,-1.578,
2021-12-13,-3.885,
2021-12-14,-0.864,
2021-12-15,-2.091,
2021-12-16,-4.654,
2021-12-17,1.392,
2021-12-21,3.175,
2021-12-22,0.921,
2021-12-23,0.426,
2021-12-27,-1.348,
2021-12-28,-0.647,
2021-12-29,-1.271,
2021-12-30,1.144,
2021-12-31,-0.703,
2022-01-03,2.761,
2022-01-04,0.232,
2022-01-05,-1.884,
2022-01-06,-1.469,
2022-01-07,5.047,
2022-01-10,-3.302,
2022-01-11,3.436,
2022-01-12,0.144,
2022-01-14,-1.828,
2022-01-18,-3.209,
2022-01-19,1.018,
2022-01-21,2.021,
2022-01-24,-6.042,
2022-01-25,0.041,
2022-01-26,-1.494,
2022-01-28,-0.003,
2022-01-31,4.625,
2022-02-01,1.319,
2022-02-02,-4.031,
2022-02-03,2.973,
2022-02-07,2.493,
2022-02-08,1.589,
2022-02-09,2.113,
2022-02-10,4.121,1.444
2022-02-11,0.571,0.2
2022-02-14,1.849,0.646
2022-02-18,-3.364,-1.175
2022-02-22,-4.348,-1.529
2022-02-25,-3.691,-1.292
2022-02-28,-2.628,-0.925
2022-03-02,2.518,0.875
2022-03-03,-2.156,-0.73
2022-03-04,-4.232,-1.439
2022-03-07,-3.406,-1.154
2022-03-08,8.628,2.929
2022-03-09,0.358,0.122
2022-03-10,3.703,1.265
2022-03-11,-1.924,-0.659
2022-03-14,-2.191,-0.746
2022-03-15,0.145,0.049
2022-03-16,3.6,1.169
2022-03-17,-0.231,-0.075
2022-03-18,3.579,1.166
2022-03-21,-2.658,-0.869
2022-03-23,0.547,0.18
2022-03-24,1.386,0.456
2022-03-25,-1.911,-0.632
2022-03-28,-1.651,-0.545
2022-03-29,2.513,0.831
2022-03-30,0.42,0.139
2022-03-31,0.59,0.197
2022-04-01,1.056,0.354
2022-04-04,-0.362,-0.122
2022-04-05,-0.29,-0.098
2022-04-06,-0.908,-0.307
2022-04-07,0.508,0.173
2022-04-08,-0.098,-0.034
2022-04-11,1.798,0.617
2022-04-12,0.506,0.174
2022-04-14,2.424,0.843
2022-04-18,-2.991,-1.045
2022-04-19,-0.361,-0.127
2022-04-20,-1.284,-0.452
2022-04-22,2.39,0.839
2022-04-25,-0.304,-0.107
2022-04-26,1.698,0.597
2022-04-29,2.068,0.735
2022-05-02,-2.586,-0.921
2022-05-11,3.935,1.403
2022-05-12,0.103,0.037
2022-05-13,-0.359,-0.127
2022-05-16,-4.219,-1.525
2022-05-17,-0.966,-0.341
2022-05-18,-0.976,-0.341
2022-05-19,6.445,2.25
2022-05-20,-1.003,-0.351
2022-05-23,-1.74,-0.614
2022-05-24,-3.25,-1.164
2022-05-25,1.926,0.69
2022-05-26,-0.441,-0.158
2022-05-27,0.721,0.253
2022-05-31,0.639,0.225
2022-06-01,-2.423,-0.854
2022-06-02,-0.072,-0.025
2022-06-03,2.577,0.916
2022-06-06,1.322,0.47
2022-06-07,-0.537,-0.197
2022-06-08,1.761,0.647
2022-06-09,-2.634,-0.965
2022-06-10,-0.779,-0.286
2022-06-13,-2.439,-0.893
2022-06-14,-0.332,-0.123
2022-06-15,-0.978,-0.361
2022-06-16,-2.321,-0.857
2022-06-17,4.912,1.83
2022-06-21,-0.873,-0.325
2022-06-22,-2.472,-0.918
2022-06-23,-6.017,-2.247
2022-06-27,-0.854,-0.318
2022-06-28,0.618,0.227
2022-06-29,-3.847,-1.414
2022-06-30,-3.323,-1.218
2022-07-01,1.623,0.584
2022-07-05,2.439,0.873
2022-07-06,-4.153,-1.492
2022-07-07,1.75,0.628
2022-07-08,-0.337,-0.12
2022-07-11,0.909,0.323
2022-07-12,3.005,1.081
2022-07-14,-5.362,-1.929
2022-07-15,1.213,0.436
2022-07-18,4.47,1.606
2022-07-19,-0.035,-0.013
2022-07-20,2.992,1.076
2022-07-22,-1.239,-0.442
2022-07-25,1.782,0.637
2022-07-26,0.047,0.017
