abnb_reaction_date,abnb_ar,n_peer_prints_30d,n_ota_prints_30d,drift_all_peers,drift_ota,drift_hotels,ota_peers,quarter,rev_beat_pct
2022-02-16,3.79,5,0,11.72,0.0,3.48,,2022Q1,4.4
2022-05-04,3.09,8,1,-12.62,-5.25,-5.65,EXPE-5.2,2022Q1,4.4
2022-08-03,-5.3,9,0,5.13,0.0,2.93,,2022Q2,1.2
2022-11-02,-8.62,7,0,0.1,0.0,0.85,,2022Q3,1.9
2023-02-15,12.25,6,1,0.19,-4.39,2.76,EXPE-4.4,2023Q1,1.8
2023-05-10,-12.39,16,2,-8.38,-1.91,0.18,BKNG-1.0 EXPE-1.0,2023Q1,1.8
2023-08-04,-0.0,14,1,-13.49,-2.41,-3.83,EXPE-2.4,2023Q2,3.5
2023-11-02,-5.62,7,0,-2.89,0.0,0.39,,2023Q3,1.4
2024-02-14,-2.97,7,1,-0.78,-3.07,0.88,EXPE-3.1,2023Q4,3.2
2024-05-09,-7.12,14,2,-1.74,-2.81,-0.39,EXPE-1.4 BKNG-1.4,2024Q1,4.5
2024-08-07,-12.11,11,1,-8.27,-2.4,-1.19,BKNG-2.4,2024Q2,1.4
2024-11-08,-8.71,15,1,12.73,1.43,1.63,BKNG+1.4,2024Q3,0.9
2025-02-14,14.17,8,1,0.98,3.09,0.03,EXPE+3.1,2024Q4,2.7
2025-05-02,-0.37,10,1,7.12,-2.7,2.26,BKNG-2.7,2025Q1,1.0
2025-08-07,-8.31,13,1,-3.23,-1.59,0.14,BKNG-1.6,2025Q2,2.5
2025-11-07,0.73,15,1,-3.95,-1.56,-1.96,BKNG-1.6,2025Q3,0.9
2026-02-13,4.49,7,0,-0.27,0.0,-1.95,,2025Q4,3.3
2026-05-08,-1.38,15,1,-4.79,0.35,-4.54,BKNG+0.4,2026Q1,2.6
2026-08-07,16.72,16,2,4.14,1.92,2.38,BKNG+2.3 EXPE-0.4,2026Q2,1.1
